part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
DIN53LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,640,100,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,ABARTH,124,2016,2019,1.4 (348) Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,,552 53 268,125,No
DIN53LH EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,560,100,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,ABARTH,124,2016,2019,1.4 (348) Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,,552 53 268,125,No
DIN53LH EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,560,100,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,ABARTH,500 / 595 / 695,2014,2026,"1.4 (312.AXF11, 312.AXF1A) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,,"312 A3.000,312 B3.000",132,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,ABARTH,500 / 595 / 695,2014,2026,"1.4 (312.AXF11, 312.AXF1A) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,,"312 A3.000,312 B3.000",132,No
DIN53LH EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,560,100,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,ABARTH,500 / 595 / 695,2016,2021,"1.4 (312.AXY11, 312.AXY1A) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,,312 B4.000,107,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,ABARTH,500 / 595 / 695,2016,2021,"1.4 (312.AXY11, 312.AXY1A) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,,312 B4.000,107,No
DIN53LH EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,560,100,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,ABARTH,500 / 595 / 695,2016,2021,1.4 (312.AXZ11) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,,312 B3.000,121,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,ABARTH,500 / 595 / 695,2016,2021,1.4 (312.AXZ11) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,,312 B3.000,121,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,ABARTH,500 / 595 / 695,2011,2016,"1.4 (312.AXF11, 312.AXF1A, 312.AXD1A) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,,"312 A1.000,312 A3.000,312 B4.000",118,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,ABARTH,500 / 595 / 695,2010,2016,"1.4 (312.AXF1A, 312.AXD1A) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,,312 A3.000,103,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,ABARTH,500 / 595 / 695,2008,2016,1.4 (312.AXD1A) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,,312 A1.000,99,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,ABARTH,500 / 595 / 695,2008,2016,1.4 (312.AXT1A) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,,"312 A1.000,312 A9.000",140,No
LN0 MF,Hybrid Auxiliary (Car & Passenger Vehicle),12,35,174,174,190,C Polarity STD Terminal,280,55,24,Car & Passenger Vehicles,Hybrid Auxiliary,ABARTH,500E,2023,2026,Scorpionissima Electric Motor Front-Wheel Drive Hatchback,Electric Motor,Front-Wheel Drive,Hatchback,332_,463 54 481,114,No
DIN53LH EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,560,100,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,ABARTH,500C / 595C / 695C,2016,2021,"1.4 (312.AXY1A, 312.AXY11) Petrol Front-Wheel Drive Convertible",Petrol,Front-Wheel Drive,Convertible,,312 B4.000,107,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,ABARTH,500C / 595C / 695C,2016,2021,"1.4 (312.AXY1A, 312.AXY11) Petrol Front-Wheel Drive Convertible",Petrol,Front-Wheel Drive,Convertible,,312 B4.000,107,No
DIN53LH EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,560,100,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,ABARTH,500C / 595C / 695C,2013,2020,"1.4 (312.AXF11, 312.AXF1A) Petrol Front-Wheel Drive Convertible",Petrol,Front-Wheel Drive,Convertible,,312 A3.000,132,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,ABARTH,500C / 595C / 695C,2013,2020,"1.4 (312.AXF11, 312.AXF1A) Petrol Front-Wheel Drive Convertible",Petrol,Front-Wheel Drive,Convertible,,312 A3.000,132,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,ABARTH,500C / 595C / 695C,2014,2016,"1.4 (312.AXF1A, 312.AXD1A) Petrol Front-Wheel Drive Convertible",Petrol,Front-Wheel Drive,Convertible,,"312 A1.000,312 A3.000,312 B4.000",118,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,ABARTH,500C / 595C / 695C,2009,2016,"1.4 (312.AXF1A, 312.AXF11, 312.AXD1A) Petrol Front-Wheel Drive Convertible",Petrol,Front-Wheel Drive,Convertible,,"312 A1.000,312 A3.000",103,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,ABARTH,500C / 595C / 695C,2008,2011,1.4 (312.AXD1A) Petrol Front-Wheel Drive Convertible,Petrol,Front-Wheel Drive,Convertible,,312 A1.000,99,No
