part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
DIN85LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,92,353,175,190,C Polarity STD Terminal,850,160,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,ASTON MARTIN,DB7,1999,2003,5.9 Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,,AM2,309,No
DIN85LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,105,351,175,190,C Polarity STD Terminal,900,190,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,ASTON MARTIN,DB7,1999,2003,5.9 Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,,AM2,309,No
DIN85LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,88,353,175,190,C Polarity STD Terminal,760,165,30,Car & Passenger Vehicles,Hi Performance DIN,ASTON MARTIN,DB7,1999,2003,5.9 Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,,AM2,309,No
DIN85LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,92,353,175,190,C Polarity STD Terminal,850,160,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,ASTON MARTIN,DB7,1999,2003,5.9 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,,AM2,309,No
DIN85LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,105,351,175,190,C Polarity STD Terminal,900,190,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,ASTON MARTIN,DB7,1999,2003,5.9 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,,AM2,309,No
DIN85LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,88,353,175,190,C Polarity STD Terminal,760,165,30,Car & Passenger Vehicles,Hi Performance DIN,ASTON MARTIN,DB7,1999,2003,5.9 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,,AM2,309,No
DIN65LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,77,277,175,190,C Polarity STD Terminal,760,145,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,ASTON MARTIN,DB7,1996,2003,3.2 Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,,AJ6HT,250,No
DIN65LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,75,277,175,190,C Polarity STD Terminal,650,130,30,Car & Passenger Vehicles,Hi Performance DIN,ASTON MARTIN,DB7,1996,2003,3.2 Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,,AJ6HT,250,No
DIN85LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,105,351,175,190,C Polarity STD Terminal,900,190,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,ASTON MARTIN,DB7,1994,1999,3.2 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,,AJ6HT,250,No
DIN85LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,88,353,175,190,C Polarity STD Terminal,760,165,30,Car & Passenger Vehicles,Hi Performance DIN,ASTON MARTIN,DB7,1994,1999,3.2 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,,AJ6HT,250,No
