part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
DIN65L MF,Hi Performance DIN (Car & Passenger Vehicle),12,63,277,175,175,C Polarity STD Terminal,580,120,30,Car & Passenger Vehicles,Hi Performance DIN,AUDI,200,1986,1991,2.3 Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,"447,448",NF,100,No
DIN65L MF,Hi Performance DIN (Car & Passenger Vehicle),12,63,277,175,175,C Polarity STD Terminal,580,120,30,Car & Passenger Vehicles,Hi Performance DIN,AUDI,200,1985,1991,2.2 Turbo Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,"447,448",MC,121,No
DIN65L MF,Hi Performance DIN (Car & Passenger Vehicle),12,63,277,175,175,C Polarity STD Terminal,580,120,30,Car & Passenger Vehicles,Hi Performance DIN,AUDI,200,1985,1991,2.2 Turbo quattro Petrol All-wheel Drive Sedan,Petrol,All-wheel Drive,Sedan,"447,448",MC,121,No
DIN65L MF,Hi Performance DIN (Car & Passenger Vehicle),12,63,277,175,175,C Polarity STD Terminal,580,120,30,Car & Passenger Vehicles,Hi Performance DIN,AUDI,200,1989,1990,2.2 20V Turbo quattro Petrol All-wheel Drive Sedan,Petrol,All-wheel Drive,Sedan,"447,448",3B,162,No
DIN65L MF,Hi Performance DIN (Car & Passenger Vehicle),12,63,277,175,175,C Polarity STD Terminal,580,120,30,Car & Passenger Vehicles,Hi Performance DIN,AUDI,200,1983,1988,2.1 Turbo Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,"447,448",KG,134,No
DIN65L MF,Hi Performance DIN (Car & Passenger Vehicle),12,63,277,175,175,C Polarity STD Terminal,580,120,30,Car & Passenger Vehicles,Hi Performance DIN,AUDI,200,1979,1982,2.1 5T Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,"437,438",WJ,125,No
DIN53LX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,175,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,AUDI,80,1992,1996,2.6 Petrol Front-Wheel Drive Wagon,Petrol,Front-Wheel Drive,Wagon,8C5,ABC,110,No
DIN53L MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,AUDI,80,1992,1996,2.6 Petrol Front-Wheel Drive Wagon,Petrol,Front-Wheel Drive,Wagon,8C5,ABC,110,No
DIN53LX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,175,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,AUDI,80,1994,1995,RS2 quattro Petrol All-wheel Drive Wagon,Petrol,All-wheel Drive,Wagon,8C5,ADU,232,No
DIN53L MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,AUDI,80,1994,1995,RS2 quattro Petrol All-wheel Drive Wagon,Petrol,All-wheel Drive,Wagon,8C5,ADU,232,No
