part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
DIN53LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,BMW,2.5-3.2,1974,1976,2.5 CS Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,E9,M30 B25,110,No
DIN53LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,55,242,175,190,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,BMW,2.5-3.2,1974,1976,2.5 CS Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,E9,M30 B25,110,No
DIN53LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,BMW,2.5-3.2,1971,1976,3.0 CS Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,E9,M30 B30,132,No
DIN53LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,55,242,175,190,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,BMW,2.5-3.2,1971,1976,3.0 CS Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,E9,M30 B30,132,No
DIN53LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,BMW,2.5-3.2,1971,1976,3.0 CSi Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,E9,M30 B30,147,No
DIN53LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,55,242,175,190,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,BMW,2.5-3.2,1971,1976,3.0 CSi Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,E9,M30 B30,147,No
DIN53LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,BMW,2.5-3.2,1974,1975,3.0 CSiL Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,E9,M30 B32 (315/1A),152,No
DIN53LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,55,242,175,190,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,BMW,2.5-3.2,1974,1975,3.0 CSiL Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,E9,M30 B32 (315/1A),152,No
DIN53LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,BMW,2.5-3.2,1969,1971,2800 CS Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,E9,M30 B28,125,No
DIN53LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,55,242,175,190,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,BMW,2.5-3.2,1969,1971,2800 CS Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,E9,M30 B28,125,No
DIN65LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,70,276,175,190,C Polarity STD Terminal,720,120,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2020,2026,128 ti Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,F40,B48 A20 B,180,No
DIN75LH EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,80,313,175,190,C Polarity STD Terminal,730,145,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,BMW,1,2020,2026,128 ti Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,F40,B48 A20 B,180,No
DIN65LH EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,70,275,175,190,C Polarity STD Terminal,650,120,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,BMW,1,2020,2026,128 ti Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,F40,B48 A20 B,180,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2019,2026,118 i Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,F40,"B38A15F,B38 A15 A",103,No
DIN65LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,70,276,175,190,C Polarity STD Terminal,720,120,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2019,2026,118 i Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,F40,"B38A15F,B38 A15 A",103,No
DIN75LH EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,80,313,175,190,C Polarity STD Terminal,730,145,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,BMW,1,2019,2026,118 i Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,F40,"B38A15F,B38 A15 A",103,No
DIN65LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,70,276,175,190,C Polarity STD Terminal,720,120,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2019,2026,M 135 i xDrive Petrol All-wheel Drive Hatchback,Petrol,All-wheel Drive,Hatchback,F40,B48 A20 E,225,No
DIN65LH EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,70,275,175,190,C Polarity STD Terminal,650,120,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,BMW,1,2019,2026,M 135 i xDrive Petrol All-wheel Drive Hatchback,Petrol,All-wheel Drive,Hatchback,F40,B48 A20 E,225,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2016,2019,120 i Petrol Rear-Wheel Drive Hatchback,Petrol,Rear-Wheel Drive,Hatchback,F20,B48 B20 A,135,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2016,2019,125 i Petrol Rear-Wheel Drive Hatchback,Petrol,Rear-Wheel Drive,Hatchback,F20,B48 B20 B,165,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2016,2019,M 140 i Petrol Rear-Wheel Drive Hatchback,Petrol,Rear-Wheel Drive,Hatchback,F20,B58 B30 A,250,No
DIN85LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,92,353,175,190,C Polarity STD Terminal,850,160,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2015,2019,118 d Diesel Rear-Wheel Drive Hatchback,Diesel,Rear-Wheel Drive,Hatchback,F20,B47 D20 A,110,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2015,2019,118 d Diesel Rear-Wheel Drive Hatchback,Diesel,Rear-Wheel Drive,Hatchback,F20,B47 D20 A,110,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2015,2019,118 i Petrol Rear-Wheel Drive Hatchback,Petrol,Rear-Wheel Drive,Hatchback,F20,B38 B15 A,100,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2015,2016,120 i Petrol Rear-Wheel Drive Hatchback,Petrol,Rear-Wheel Drive,Hatchback,F20,N13 B16 A,130,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2015,2016,M 135 i Petrol Rear-Wheel Drive Hatchback,Petrol,Rear-Wheel Drive,Hatchback,F20,N55 B30 A,240,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2012,2016,125 i Petrol Rear-Wheel Drive Hatchback,Petrol,Rear-Wheel Drive,Hatchback,F20,N20 B20 A,160,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2015,2015,118 i Petrol Rear-Wheel Drive Hatchback,Petrol,Rear-Wheel Drive,Hatchback,F20,N13 B16 A,100,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2012,2015,118 i Petrol Rear-Wheel Drive Hatchback,Petrol,Rear-Wheel Drive,Hatchback,F21,N13 B16 A,125,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2012,2015,M 135 i Petrol Rear-Wheel Drive Hatchback,Petrol,Rear-Wheel Drive,Hatchback,F20,N55 B30 A,235,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2011,2015,116 i Petrol Rear-Wheel Drive Hatchback,Petrol,Rear-Wheel Drive,Hatchback,F20,N13 B16 A,100,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2011,2015,116 i Petrol Rear-Wheel Drive Hatchback,Petrol,Rear-Wheel Drive,Hatchback,F21,N13 B16 A,100,No
DIN85LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,92,353,175,190,C Polarity STD Terminal,850,160,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2011,2015,118 d Diesel Rear-Wheel Drive Hatchback,Diesel,Rear-Wheel Drive,Hatchback,F20,N47 D20 C,105,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2011,2015,118 d Diesel Rear-Wheel Drive Hatchback,Diesel,Rear-Wheel Drive,Hatchback,F20,N47 D20 C,105,No
DIN85LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,92,353,175,190,C Polarity STD Terminal,850,160,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2011,2015,118 d Diesel Rear-Wheel Drive Hatchback,Diesel,Rear-Wheel Drive,Hatchback,F21,N47 D20 C,105,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2011,2015,118 d Diesel Rear-Wheel Drive Hatchback,Diesel,Rear-Wheel Drive,Hatchback,F21,N47 D20 C,105,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2011,2015,118 i Petrol Rear-Wheel Drive Hatchback,Petrol,Rear-Wheel Drive,Hatchback,F20,N13 B16 A,125,No
DIN65LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,70,276,175,190,C Polarity STD Terminal,720,120,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2009,2013,120 i Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,E82,N46 B20 B,115,No
DIN65LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,77,277,175,190,C Polarity STD Terminal,760,145,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,BMW,1,2009,2013,120 i Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,E82,N46 B20 B,115,No
DIN65LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,75,277,175,190,C Polarity STD Terminal,650,130,30,Car & Passenger Vehicles,Hi Performance DIN,BMW,1,2009,2013,120 i Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,E82,N46 B20 B,115,No
DIN85LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,92,353,175,190,C Polarity STD Terminal,850,160,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2008,2013,118 d Diesel Rear-Wheel Drive Convertible,Diesel,Rear-Wheel Drive,Convertible,E88,"N47 D20 A,N47 D20 C",105,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2008,2013,118 d Diesel Rear-Wheel Drive Convertible,Diesel,Rear-Wheel Drive,Convertible,E88,"N47 D20 A,N47 D20 C",105,No
DIN75L EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,75,313,175,175,C Polarity STD Terminal,730,135,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,BMW,1,2008,2013,118 d Diesel Rear-Wheel Drive Convertible,Diesel,Rear-Wheel Drive,Convertible,E88,"N47 D20 A,N47 D20 C",105,No
DIN65LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,70,276,175,190,C Polarity STD Terminal,720,120,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,1,2008,2013,120 i Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,E88,N43 B20 A,120,No
DIN65LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,77,277,175,190,C Polarity STD Terminal,760,145,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,BMW,1,2008,2013,120 i Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,E88,N43 B20 A,120,No
DIN65LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,75,277,175,190,C Polarity STD Terminal,650,130,30,Car & Passenger Vehicles,Hi Performance DIN,BMW,1,2008,2013,120 i Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,E88,N43 B20 A,120,No
