part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
41,Hi Performance (Car & Passenger Vehicle),12,40,230,133,180,D Polarity STD Terminal,330,60,30,Car & Passenger Vehicles,Hi Performance,DATSUN,1200,1970,1974,B110 1.2 Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,B110,A12,51,No
41,Hi Performance (Car & Passenger Vehicle),12,40,230,133,180,D Polarity STD Terminal,330,60,30,Car & Passenger Vehicles,Hi Performance,DATSUN,1200,1970,1974,B110 1.2 Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,B110,A12,51,No
41,Hi Performance (Car & Passenger Vehicle),12,40,230,133,180,D Polarity STD Terminal,330,60,30,Car & Passenger Vehicles,Hi Performance,DATSUN,1200,1970,1974,KB110 1.2 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,KB110,,51,No
41,Hi Performance (Car & Passenger Vehicle),12,40,230,133,180,D Polarity STD Terminal,330,60,30,Car & Passenger Vehicles,Hi Performance,DATSUN,120Y,1974,1979,B210 1.2 Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,B210,A12,51,No
41,Hi Performance (Car & Passenger Vehicle),12,40,230,133,180,D Polarity STD Terminal,330,60,30,Car & Passenger Vehicles,Hi Performance,DATSUN,120Y,1974,1979,KB210 1.2 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,KB210,A12,51,No
41,Hi Performance (Car & Passenger Vehicle),12,40,230,133,180,D Polarity STD Terminal,330,60,30,Car & Passenger Vehicles,Hi Performance,DATSUN,120Y,1974,1979,VB210 1.2 Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,VB210,A12,51,No
41,Hi Performance (Car & Passenger Vehicle),12,40,230,133,180,D Polarity STD Terminal,330,60,30,Car & Passenger Vehicles,Hi Performance,DATSUN,120Y,1974,1979,VB210 1.2 Runner Petrol Rear-Wheel Drive Wagon Van,Petrol,Rear-Wheel Drive,Wagon Van,VB210,A12,51,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,1600,1971,1972,510 1.6 Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,510,L16,72,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,1600,1971,1972,510 1.6 Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,510,L16,72,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,1600,1968,1972,510 1.6 Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,510,L16,72,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,1600,1968,1972,510 1.6 Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,510,L16,72,No
41,Hi Performance (Car & Passenger Vehicle),12,40,230,133,180,D Polarity STD Terminal,330,60,30,Car & Passenger Vehicles,Hi Performance,DATSUN,1000,1969,1970,B10 1.0 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,B10,A10,46,No
41,Hi Performance (Car & Passenger Vehicle),12,40,230,133,180,D Polarity STD Terminal,330,60,30,Car & Passenger Vehicles,Hi Performance,DATSUN,1000,1967,1970,B10 1.0 Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,B10,A10,46,No
41,Hi Performance (Car & Passenger Vehicle),12,40,230,133,180,D Polarity STD Terminal,330,60,30,Car & Passenger Vehicles,Hi Performance,DATSUN,1000,1967,1970,VB10 1.0 Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,VB10,A10,46,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,240C,1972,1972,230 GL / Deluxe (P230) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,230,L24,96,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,240C,1972,1972,230 GL / Deluxe (P230) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,230,L24,96,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,240C,1971,1972,230 GL (KP230) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,230,L24,96,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,240C,1971,1972,230 GL (KP230) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,230,L24,96,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,240C,1971,1972,230 GL / Deluxe (VP230) Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,230,L24,96,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,240C,1971,1972,230 GL / Deluxe (VP230) Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,230,L24,96,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,180B,1975,1977,WP610 1.8 (WP610) Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,WP610,L18,78,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,180B,1975,1977,WP610 1.8 (WP610) Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,WP610,L18,78,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,180B,1974,1977,KP610 1.8 SSS (KP610) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,KP610,L18 (TWIN),82,No
