part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,125,1967,1974,1.6 (TA) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,125_,125 A.000,66,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FIAT,125,1967,1974,1.6 (TA) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,125_,125 A.000,66,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,125,1968,1973,1.6 (TA) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,125_,125 B.000,74,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FIAT,125,1968,1973,1.6 (TA) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,125_,125 B.000,74,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,127,1975,1977,0.9 Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,127_,100 GL.048,29,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FIAT,127,1975,1977,0.9 Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,127_,100 GL.048,29,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,124,1973,1976,1800 Sport (CC1) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,124_,124B21,87,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,124,1973,1976,1800 Sport Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,124_,124B21,82,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,124,1972,1975,1600 Sport Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,124_,132 AC.000,76,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,124,1967,1975,1200 (124A) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,124_,124 A.000,48,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FIAT,124,1967,1975,1200 (124A) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,124_,124 A.000,48,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,124,1970,1973,1600 (BC 1) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,124_,"125 BC.000,125 B.000",81,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,124,1966,1973,1200 (TA) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,124_,124 A.000,44,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FIAT,124,1966,1973,1200 (TA) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,124_,124 A.000,44,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,124,1968,1972,1400 Special Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,124_,124 B2.000,51,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FIAT,124,1968,1972,1400 Special Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,124_,124 B2.000,51,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,124,1967,1972,1400 Sport Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,124_,124 AC.000,66,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,130,1971,1978,3.2 (B) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,130_,130 B.000,121,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,130,1971,1978,3.2 (BC) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,130_,130 B.000,121,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,128,1974,1984,1.3 (128A) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,128_,128 A1.000,44,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FIAT,128,1974,1984,1.3 (128A) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,128_,128 A1.000,44,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,128,1969,1984,1.1 (128A) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,128_,128 A.000,40,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FIAT,128,1969,1984,1.1 (128A) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,128_,128 A.000,40,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,128,1975,1981,1.1 (AC 5) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,128_,128 AC5.000,48,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FIAT,128,1975,1981,1.1 (AC 5) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,128_,128 AC5.000,48,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,128,1975,1981,1.1 Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,128_,128 A.048,33,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FIAT,128,1975,1981,1.1 Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,128_,128 A.048,33,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,128,1972,1981,1.1 (AC 5) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,128_,128 AC5.000,47,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FIAT,128,1972,1981,1.1 (AC 5) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,128_,128 AC5.000,47,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,128,1975,1979,1.3 Berlinetta (AC) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,128_,128 AC.000,54,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FIAT,128,1975,1979,1.3 Berlinetta (AC) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,128_,128 AC.000,54,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,128,1972,1979,1.3 (AC) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,128_,"128 A1.000,128 AC.000",55,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FIAT,128,1972,1979,1.3 (AC) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,128_,"128 A1.000,128 AC.000",55,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,128,1971,1976,1.3 Rally (128A) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,128_,128 AR.000,49,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FIAT,128,1971,1976,1.3 Rally (128A) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,128_,128 AR.000,49,No
NS70X MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,D Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,FIAT,1500,1964,1967,1.5 Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,116_,115 C.005,55,No
NS70 MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,D Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,FIAT,1500,1964,1967,1.5 Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,116_,115 C.005,55,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,132,1980,1982,2.0 i.e. Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,132_,132 C3.000,90,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,132,1976,1981,2.0 Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,132_,132 C2.000,83,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,132,1975,1977,1.7 GLS (A1) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,132_,132 B1.000,82,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,132,1976,1976,2.0 (132A) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,132_,132 C2.000,84,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FIAT,132,1976,1976,2.0 (132A) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,132_,132 C2.000,84,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,132,1974,1975,1.7 GLS (A1) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,132_,132 B1.000,79,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,132,1972,1974,1.7 Special (A1) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,132_,132 B1.000,77,No
NS70X MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,D Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,FIAT,1500-2300,1963,1970,1500 L Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,118_,115B1000,55,No
NS70 MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,D Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,FIAT,1500-2300,1963,1970,1500 L Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,118_,115B1000,55,No
NS60SX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,D Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,500 B,1948,1949,0.6 Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,,F570B,12,No
NS60S MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,D Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,FIAT,500 B,1948,1949,0.6 Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,,F570B,12,No
DIN53LH EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,560,100,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,FIAT,500,2007,2026,1.2 (312AXA1A) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,312_,169 A4.000,51,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,500,2007,2026,1.2 (312AXA1A) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,312_,169 A4.000,51,No
DIN53LH EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,560,100,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,FIAT,500,2007,2017,"1.4 (312AXC1B, 312CXC1B) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,312_,169 A3.000,74,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,500,2007,2017,"1.4 (312AXC1B, 312CXC1B) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,312_,169 A3.000,74,No
DIN53LH EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,560,100,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,FIAT,500,2010,2015,"0.9 (312AXG1A, 312.AXG11) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,312_,312 A2.000,63,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,500,2010,2015,"0.9 (312AXG1A, 312.AXG11) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,312_,312 A2.000,63,No
DIN44LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,50,208,175,190,C Polarity STD Terminal,420,85,30,Car & Passenger Vehicles,Hi Performance DIN,FIAT,500,2007,2009,1.3 D Multijet (312AXB1A) Diesel Front-Wheel Drive Hatchback,Diesel,Front-Wheel Drive,Hatchback,312_,169 A1.000,55,No
NS60SX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,D Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,500,1968,1976,0.6 Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,"101_,111_,110_",111A000,13,No
NS60S MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,D Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,FIAT,500,1968,1976,0.6 Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,"101_,111_,110_",111A000,13,No
NS60SX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,D Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,FIAT,500,1965,1975,0.5 (110F) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,"101_,111_,110_","110 F.000,120.000",13,No
