part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
67EF MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FPV,F6X,2008,2009,4.0 F6X 4WD Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,SY,BARRA 270T,270,No
57EF MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FPV,F6X,2008,2009,4.0 F6X 4WD Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,SY,BARRA 270T,270,No
67EF MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FPV,FALCON,2014,2014,5.0 GT-F Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,FG,Boss 335,351,No
57EF MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FPV,FALCON,2014,2014,5.0 GT-F Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,FG,Boss 335,351,No
67EF MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FPV,FALCON,2010,2014,5.0 GS Supercharged Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,FG,Boss 315 50,315,No
57EF MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FPV,FALCON,2010,2014,5.0 GS Supercharged Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,FG,Boss 315 50,315,No
67EF MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FPV,FALCON,2010,2014,5.0 GS/PURSUIT Petrol Rear-Wheel Drive Ute,Petrol,Rear-Wheel Drive,Ute,FG,Boss 315 50,315,No
57EF MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FPV,FALCON,2010,2014,5.0 GS/PURSUIT Petrol Rear-Wheel Drive Ute,Petrol,Rear-Wheel Drive,Ute,FG,Boss 315 50,315,No
67EF MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FPV,FALCON,2010,2014,5.0 GT-E/GT-P Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,FG,Boss 335,335,No
57EF MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FPV,FALCON,2010,2014,5.0 GT-E/GT-P Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,FG,Boss 335,335,No
67EF MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FPV,FALCON,2009,2014,5.4 GS Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,FG,Boss 302,302,No
57EF MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FPV,FALCON,2009,2014,5.4 GS Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,FG,Boss 302,302,No
67EF MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FPV,FALCON,2009,2014,5.4 GS Petrol Rear-Wheel Drive Ute,Petrol,Rear-Wheel Drive,Ute,FG,Boss 302,302,No
57EF MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FPV,FALCON,2009,2014,5.4 GS Petrol Rear-Wheel Drive Ute,Petrol,Rear-Wheel Drive,Ute,FG,Boss 302,302,No
67EF MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FPV,FALCON,2008,2014,4.0 F6 Petrol Rear-Wheel Drive Ute,Petrol,Rear-Wheel Drive,Ute,FG,BARRA 310T,310,No
57EF MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FPV,FALCON,2008,2014,4.0 F6 Petrol Rear-Wheel Drive Ute,Petrol,Rear-Wheel Drive,Ute,FG,BARRA 310T,310,No
67EF MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FPV,FALCON,2008,2014,4.0 F6/F6-E Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,FG,BARRA 310T,310,No
57EF MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FPV,FALCON,2008,2014,4.0 F6/F6-E Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,FG,BARRA 310T,310,No
67EF MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,FPV,FALCON,2008,2014,5.4 GT Petrol Rear-Wheel Drive Ute,Petrol,Rear-Wheel Drive,Ute,FG,Boss 302,302,No
57EF MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,FPV,FALCON,2008,2014,5.4 GT Petrol Rear-Wheel Drive Ute,Petrol,Rear-Wheel Drive,Ute,FG,Boss 302,302,No
