part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
NS60SX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,D Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,ACTY,1982,1986,0.6 (TN) Petrol Rear-Wheel Drive Van,Petrol,Rear-Wheel Drive,Van,TN,EH,23,No
NS60S MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,D Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,HONDA,ACTY,1982,1986,0.6 (TN) Petrol Rear-Wheel Drive Van,Petrol,Rear-Wheel Drive,Van,TN,EH,23,No
NS40ZLX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,42,195,127,200,C Polarity SP Terminal,400,70,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,CITY,2014,2026,1.5 Hybrid (GM4) Full Hybrid Front-Wheel Drive Sedan,Full Hybrid,Front-Wheel Drive,Sedan,"GM,GM4,GM5,GM6,GM7,GM9",LEB-HI,81,No
NS40ZL MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,C Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,HONDA,CITY,2014,2026,1.5 Hybrid (GM4) Full Hybrid Front-Wheel Drive Sedan,Full Hybrid,Front-Wheel Drive,Sedan,"GM,GM4,GM5,GM6,GM7,GM9",LEB-HI,81,No
NS40ZLX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,42,195,127,200,C Polarity SP Terminal,400,70,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,CITY,2014,2020,1.5 i-VTEC (GM6) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,"GM,GM4,GM5,GM6,GM7,GM9","L15-A7,L15Z1",88,No
NS40ZL MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,C Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,HONDA,CITY,2014,2020,1.5 i-VTEC (GM6) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,"GM,GM4,GM5,GM6,GM7,GM9","L15-A7,L15Z1",88,No
NS40ZLX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,42,195,127,200,C Polarity SP Terminal,400,70,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,CITY,2009,2014,1.5 i-VTEC (GM2) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,"GM2,GM3",L15-A7,88,No
NS40ZL MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,C Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,HONDA,CITY,2009,2014,1.5 i-VTEC (GM2) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,"GM2,GM3",L15-A7,88,No
NS60SX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,D Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,CITY,1984,1986,1.2 (VF) Petrol Front-Wheel Drive Van,Petrol,Front-Wheel Drive,Van,VF,ER4,56,No
NS60S MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,D Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,HONDA,CITY,1984,1986,1.2 (VF) Petrol Front-Wheel Drive Van,Petrol,Front-Wheel Drive,Van,VF,ER4,56,No
