part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
LN2 EFB,Hybrid Auxiliary (Car & Passenger Vehicle),12,67,241,174,190,C Polarity STD Terminal,699,117,24,Car & Passenger Vehicles,Hybrid Auxiliary,JEEP,AVENGER,2022,2026,Electric Electric Motor Front-Wheel Drive SUV,Electric Motor,Front-Wheel Drive,SUV,J2,ZKW (ZK02),115,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,CHEROKEE,2013,2022,3.2 V6 4x4 Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,KL,"EHB,EHK",200,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,CHEROKEE,2013,2021,2.4 Petrol Front-Wheel Drive SUV,Petrol,Front-Wheel Drive,SUV,KL,"EDD,ED6",130,No
DIN65LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,77,277,175,190,C Polarity STD Terminal,760,145,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,JEEP,CHEROKEE,2013,2021,2.4 Petrol Front-Wheel Drive SUV,Petrol,Front-Wheel Drive,SUV,KL,"EDD,ED6",130,No
DIN65LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,75,277,175,190,C Polarity STD Terminal,650,130,30,Car & Passenger Vehicles,Hi Performance DIN,JEEP,CHEROKEE,2013,2021,2.4 Petrol Front-Wheel Drive SUV,Petrol,Front-Wheel Drive,SUV,KL,"EDD,ED6",130,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,CHEROKEE,2014,2018,2.0 CRD 4x4 Diesel All-wheel Drive SUV,Diesel,All-wheel Drive,SUV,KL,"EBS,EBT",125,No
N70ZZXHDMF,"Overlander (SUV, 4x4 & Light Commercial)",12,100,305,171,202,D Polarity STD/WNUT Terminal,760,180,36,"SUV, 4x4 & Light Commercial",Overlander 4x4,JEEP,CHEROKEE,2010,2013,2.8 CRD 4x4 Diesel All-wheel Drive ,Diesel,All-wheel Drive,,KK,ENS,147,No
N70ZZX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,95,305,171,202,D Polarity STD Terminal,810,185,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,JEEP,CHEROKEE,2010,2013,2.8 CRD 4x4 Diesel All-wheel Drive ,Diesel,All-wheel Drive,,KK,ENS,147,No
N70ZZ MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,85,305,171,202,D Polarity STD Terminal,720,170,20,"SUV, 4x4 & Light Commercial",Hi Performance,JEEP,CHEROKEE,2010,2013,2.8 CRD 4x4 Diesel All-wheel Drive ,Diesel,All-wheel Drive,,KK,ENS,147,No
NS70X MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,D Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,JEEP,CHEROKEE,2008,2013,3.7 V6 Petrol Rear-Wheel Drive ,Petrol,Rear-Wheel Drive,,KK,EKG,151,No
NS70 MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,D Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,JEEP,CHEROKEE,2008,2013,3.7 V6 Petrol Rear-Wheel Drive ,Petrol,Rear-Wheel Drive,,KK,EKG,151,No
N70ZZXHDMF,"Overlander (SUV, 4x4 & Light Commercial)",12,100,305,171,202,D Polarity STD/WNUT Terminal,760,180,36,"SUV, 4x4 & Light Commercial",Overlander 4x4,JEEP,CHEROKEE,2008,2012,2.8 CRD 4x4 Diesel All-wheel Drive ,Diesel,All-wheel Drive,,KK,ENS,130,No
N70ZZX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,95,305,171,202,D Polarity STD Terminal,810,185,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,JEEP,CHEROKEE,2008,2012,2.8 CRD 4x4 Diesel All-wheel Drive ,Diesel,All-wheel Drive,,KK,ENS,130,No
N70ZZ MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,85,305,171,202,D Polarity STD Terminal,720,170,20,"SUV, 4x4 & Light Commercial",Hi Performance,JEEP,CHEROKEE,2008,2012,2.8 CRD 4x4 Diesel All-wheel Drive ,Diesel,All-wheel Drive,,KK,ENS,130,No
NS70X MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,D Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,JEEP,CHEROKEE,2008,2012,3.7 V6 4x4 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,KK,EKG,151,No
NS70 MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,D Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,JEEP,CHEROKEE,2008,2012,3.7 V6 4x4 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,KK,EKG,151,No
34,Red Top (Optima),12,50,254,173,199,D Polarity STD Terminal,800,100,36,Optima,Red Top,JEEP,CHEROKEE,2004,2008,2.4 4x4 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,KJ,ED1,108,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,JEEP,CHEROKEE,2004,2008,2.4 4x4 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,KJ,ED1,108,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,JEEP,CHEROKEE,2004,2008,2.4 4x4 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,KJ,ED1,108,No
34,Red Top (Optima),12,50,254,173,199,D Polarity STD Terminal,800,100,36,Optima,Red Top,JEEP,CHEROKEE,2004,2008,2.8 CRD 4x4 Diesel All-wheel Drive ,Diesel,All-wheel Drive,,KJ,ENR,120,No
NS70X MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,D Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,JEEP,CHEROKEE,2004,2008,2.8 CRD 4x4 Diesel All-wheel Drive ,Diesel,All-wheel Drive,,KJ,ENR,120,No
NS70 MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,D Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,JEEP,CHEROKEE,2004,2008,2.8 CRD 4x4 Diesel All-wheel Drive ,Diesel,All-wheel Drive,,KJ,ENR,120,No
34,Red Top (Optima),12,50,254,173,199,D Polarity STD Terminal,800,100,36,Optima,Red Top,JEEP,CHEROKEE,2004,2008,3.7 4x4 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,KJ,EKG,150,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,JEEP,CHEROKEE,2004,2008,3.7 4x4 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,KJ,EKG,150,No
