part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
DIN53LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,60,242,175,190,C Polarity STD Terminal,640,100,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,KIA,CARNIVAL,2023,2026,1.6 T-GDi Hybrid Full Hybrid Front-Wheel Drive MPV,Full Hybrid,Front-Wheel Drive,MPV,KA4,G4FT,180,No
DIN75LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,90,315,175,190,C Polarity STD Terminal,910,180,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,KIA,CARNIVAL,2020,2026,2.2 CRDi VGT Diesel Front-Wheel Drive MPV,Diesel,Front-Wheel Drive,MPV,KA4,D4HE,148,No
DIN75LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,90,315,175,190,C Polarity STD Terminal,750,160,30,Car & Passenger Vehicles,Hi Performance DIN,KIA,CARNIVAL,2020,2026,2.2 CRDi VGT Diesel Front-Wheel Drive MPV,Diesel,Front-Wheel Drive,MPV,KA4,D4HE,148,No
DIN75LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,90,315,175,190,C Polarity STD Terminal,910,180,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,KIA,CARNIVAL,2020,2026,3.5 GDI Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,KA4,G6DT,216,No
DIN75LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,90,315,175,190,C Polarity STD Terminal,750,160,30,Car & Passenger Vehicles,Hi Performance DIN,KIA,CARNIVAL,2020,2026,3.5 GDI Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,KA4,G6DT,216,No
N70ZZLX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,95,305,171,202,C Polarity STD Terminal,810,185,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,KIA,CARNIVAL,2015,2020,2.2 TD Diesel Front-Wheel Drive MPV,Diesel,Front-Wheel Drive,MPV,YP,D4HB,147,No
N70ZZL MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,85,305,171,202,C Polarity STD Terminal,720,170,20,"SUV, 4x4 & Light Commercial",Hi Performance,KIA,CARNIVAL,2015,2020,2.2 TD Diesel Front-Wheel Drive MPV,Diesel,Front-Wheel Drive,MPV,YP,D4HB,147,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,KIA,CARNIVAL,2014,2020,3.3 GDI Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,YP,"G6DH,G6DM",206,No
NS70L MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,C Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,KIA,CARNIVAL,2014,2020,3.3 GDI Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,YP,"G6DH,G6DM",206,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,KIA,CARNIVAL,2001,2006,2.5 V6 Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,GQ,KV6,132,No
