part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
NS40Z MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,D Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,MAZDA,1300,1971,1977,1.3 Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,FA3,TC,44,No
68 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,C Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,MAZDA,121 METRO,1996,2002,1.5 i 16V (DW5W) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,DW,B5C5,64,No
58 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,C Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,MAZDA,121 METRO,1996,2002,1.5 i 16V (DW5W) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,DW,B5C5,64,No
NS60LSX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,C Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,MAZDA,121 METRO,1996,2000,1.3 i 16V (DW3W) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,DW,"B33L,B34P,B35J",53,No
NS60LS MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,C Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,MAZDA,121 METRO,1996,2000,1.3 i 16V (DW3W) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,DW,"B33L,B34P,B35J",53,No
75D23L MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,C Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MAZDA,323 ASTINA,2000,2004,"2.0 SP20 (BJ10S, BJFW) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BJ,FS,98,No
55D23L MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,C Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MAZDA,323 ASTINA,2000,2004,"2.0 SP20 (BJ10S, BJFW) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BJ,FS,98,No
75D23L MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,C Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MAZDA,323 ASTINA,1998,2004,"1.8 Astina (BJ10, BJ8S) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BJ,FP-DE,92,No
55D23L MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,C Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MAZDA,323 ASTINA,1998,2004,"1.8 Astina (BJ10, BJ8S) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BJ,FP-DE,92,No
75D23L MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,C Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MAZDA,323 ASTINA,1998,2002,1.6 (BJ10M) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,BJ,ZM,72,No
