part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
75D23R MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,D Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MITSUBISHI,380,2007,2008,TMR380 (DB4) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,DB,6G75 (SC),230,No
55D23R MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,D Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MITSUBISHI,380,2007,2008,TMR380 (DB4) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,DB,6G75 (SC),230,No
75D23R MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,D Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MITSUBISHI,380,2005,2008,"3.8 i (DB1, DB4) Petrol Front-Wheel Drive Sedan",Petrol,Front-Wheel Drive,Sedan,DB,6G75,175,No
55D23R MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,D Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MITSUBISHI,380,2005,2008,"3.8 i (DB1, DB4) Petrol Front-Wheel Drive Sedan",Petrol,Front-Wheel Drive,Sedan,DB,6G75,175,No
NS70X MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,D Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,MITSUBISHI,3000 GT,1992,1998,3.0 Turbo 4WD (Z16A) Petrol All-wheel Drive Coupe,Petrol,All-wheel Drive,Coupe,Z1_A,6G72-T,210,No
NS70 MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,D Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,MITSUBISHI,3000 GT,1992,1998,3.0 Turbo 4WD (Z16A) Petrol All-wheel Drive Coupe,Petrol,All-wheel Drive,Coupe,Z1_A,6G72-T,210,No
75D23L MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,C Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MITSUBISHI,COLT,2006,2012,1.5 (Z23) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,"Z2_A,Z3_A,RG",4A91,77,No
55D23L MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,C Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MITSUBISHI,COLT,2006,2012,1.5 (Z23) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,"Z2_A,Z3_A,RG",4A91,77,No
75D23L MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,C Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MITSUBISHI,COLT,2006,2012,"1.5 Ralliart (Z27A, Z37A) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,"Z2_A,Z3_A,RG",4G15T,113,No
55D23L MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,C Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MITSUBISHI,COLT,2006,2012,"1.5 Ralliart (Z27A, Z37A) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,"Z2_A,Z3_A,RG",4G15T,113,No
