part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,NISSAN,280ZX,1978,1984,HGS130 2.8 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,HGS130,L28E,103,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,NISSAN,280ZX,1978,1984,HGS130 2.8 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,HGS130,L28E,103,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,NISSAN,300ZX,1989,2002,Z32 Z32 (GREY IMPORT) Petrol Rear-Wheel Drive Targa,Petrol,Rear-Wheel Drive,Targa,Z32,VG30DETT,208,No
NS70L MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,C Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,NISSAN,300ZX,1989,2002,Z32 Z32 (GREY IMPORT) Petrol Rear-Wheel Drive Targa,Petrol,Rear-Wheel Drive,Targa,Z32,VG30DETT,208,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,NISSAN,300ZX,1990,1997,Z32 3.0 Twin Turbo Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,Z32,VG30DETT,197,No
NS70L MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,C Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,NISSAN,300ZX,1990,1997,Z32 3.0 Twin Turbo Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,Z32,VG30DETT,197,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,NISSAN,300ZX,1989,1997,Z32 3.0 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,Z32,VG30DE,168,No
NS70L MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,C Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,NISSAN,300ZX,1989,1997,Z32 3.0 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,Z32,VG30DE,168,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,NISSAN,300ZX,1989,1997,Z32 3.0 Twin Turbo Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,Z32,VG30DETT,208,No
NS70L MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,C Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,NISSAN,300ZX,1989,1997,Z32 3.0 Twin Turbo Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,Z32,VG30DETT,208,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,NISSAN,300ZX,1992,1996,Z32 3.0 Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,Z32,VG30DE,166,No
NS70L MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,C Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,NISSAN,300ZX,1992,1996,Z32 3.0 Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,Z32,VG30DE,166,No
NS70X MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,D Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,NISSAN,300ZX,1987,1990,Z31 3.0 Turbo Petrol Rear-Wheel Drive Targa,Petrol,Rear-Wheel Drive,Targa,Z31,VG30ET,149,No
NS70 MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,D Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,NISSAN,300ZX,1987,1990,Z31 3.0 Turbo Petrol Rear-Wheel Drive Targa,Petrol,Rear-Wheel Drive,Targa,Z31,VG30ET,149,No
N70ZZX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,95,305,171,202,D Polarity STD Terminal,810,185,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,NISSAN,300ZX,1984,1987,Z31 3.0 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,Z31,VG30E,125,No
N70ZZ MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,85,305,171,202,D Polarity STD Terminal,720,170,20,"SUV, 4x4 & Light Commercial",Hi Performance,NISSAN,300ZX,1984,1987,Z31 3.0 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,Z31,VG30E,125,No
N70ZZX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,95,305,171,202,D Polarity STD Terminal,810,185,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,NISSAN,300ZX,1984,1987,Z31 3.0 Petrol Rear-Wheel Drive Targa,Petrol,Rear-Wheel Drive,Targa,Z31,VG30E,125,No
N70ZZ MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,85,305,171,202,D Polarity STD Terminal,720,170,20,"SUV, 4x4 & Light Commercial",Hi Performance,NISSAN,300ZX,1984,1987,Z31 3.0 Petrol Rear-Wheel Drive Targa,Petrol,Rear-Wheel Drive,Targa,Z31,VG30E,125,No
NS40ZLX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,42,195,127,200,C Polarity SP Terminal,400,70,40,Car & Passenger Vehicles,Ultra Hi Performance,NISSAN,180SX,1992,1997,S13 2.0 Turbo Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,S13,SR20DET,153,No
NS40ZL MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,C Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,NISSAN,180SX,1992,1997,S13 2.0 Turbo Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,S13,SR20DET,153,No
NS40ZLSX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,42,195,127,200,C Polarity STD Terminal,400,70,40,Car & Passenger Vehicles,Ultra Hi Performance,NISSAN,180SX,1991,1994,S13 2.0 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,S13,SR20DE,119,No
NS40ZLS MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,C Polarity STD Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,NISSAN,180SX,1991,1994,S13 2.0 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,S13,SR20DE,119,No
NS40ZLSX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,42,195,127,200,C Polarity STD Terminal,400,70,40,Car & Passenger Vehicles,Ultra Hi Performance,NISSAN,180SX,1991,1994,S13 2.0 Turbo Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,S13,SR20DET,147,No
NS40ZLS MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,C Polarity STD Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,NISSAN,180SX,1991,1994,S13 2.0 Turbo Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,S13,SR20DET,147,No
NS40ZLSX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,42,195,127,200,C Polarity STD Terminal,400,70,40,Car & Passenger Vehicles,Ultra Hi Performance,NISSAN,180SX,1989,1992,S13 1.8 Turbo Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,S13,CA18DET,148,No
NS40ZLS MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,C Polarity STD Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,NISSAN,180SX,1989,1992,S13 1.8 Turbo Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,S13,CA18DET,148,No
