part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
NS60 MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,D Polarity SP Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,SUZUKI,APV,2003,2017,1.6 16V (GD416) Petrol Rear-Wheel Drive Van,Petrol,Rear-Wheel Drive,Van,"GC,GD",G16A (16V),68,No
NS40Z MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,D Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,SUZUKI,APV,2003,2017,1.6 16V (GD416) Petrol Rear-Wheel Drive Van,Petrol,Rear-Wheel Drive,Van,"GC,GD",G16A (16V),68,No
NS60L MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,C Polarity SP Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,SUZUKI,BALENO,2016,2026,1.4 Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,"EW,FW",K14B,68,No
NS60L MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,C Polarity SP Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,SUZUKI,BALENO,2016,2018,1.0 (A1K310) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,"EW,FW",K10C-T,82,No
NS40ZLX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,42,195,127,200,C Polarity SP Terminal,400,70,40,Car & Passenger Vehicles,Ultra Hi Performance,SUZUKI,BALENO,1995,2002,1.6 i 16V (SY416) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,EG,G16B,72,No
NS40ZL MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,C Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,SUZUKI,BALENO,1995,2002,1.6 i 16V (SY416) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,EG,G16B,72,No
NS40ZLX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,42,195,127,200,C Polarity SP Terminal,400,70,40,Car & Passenger Vehicles,Ultra Hi Performance,SUZUKI,BALENO,1996,2001,1.6 i 16V (SY416) Petrol Front-Wheel Drive Wagon,Petrol,Front-Wheel Drive,Wagon,EG,G16B,72,No
NS40ZL MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,C Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,SUZUKI,BALENO,1996,2001,1.6 i 16V (SY416) Petrol Front-Wheel Drive Wagon,Petrol,Front-Wheel Drive,Wagon,EG,G16B,72,No
NS40ZLX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,42,195,127,200,C Polarity SP Terminal,400,70,40,Car & Passenger Vehicles,Ultra Hi Performance,SUZUKI,BALENO,1996,2001,1.8 GTX (SY418) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,EG,J18A,89,No
NS40ZL MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,C Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,SUZUKI,BALENO,1996,2001,1.8 GTX (SY418) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,EG,J18A,89,No
NS40ZLX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,42,195,127,200,C Polarity SP Terminal,400,70,40,Car & Passenger Vehicles,Ultra Hi Performance,SUZUKI,BALENO,1996,2001,1.8 GTX (SY418) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,EG,J18A,89,No
NS40ZL MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,C Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,SUZUKI,BALENO,1996,2001,1.8 GTX (SY418) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,EG,J18A,89,No
