brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
AC,ACE,10/98,>,4.6 (1NMBCFN),10/98,>,240,326,Brake discs,Prime,09.5708.10,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
AC,ACE,10/98,>,4.6 (1NMBCFN),10/98,>,240,326,Brake discs,Max,09.5708.75,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
AC,ACE,10/98,>,4.9 (1NMBCFL),10/98,>,179,243,Brake discs,Prime,09.5708.10,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
AC,ACE,10/98,>,4.9 (1NMBCFL),10/98,>,179,243,Brake discs,Max,09.5708.75,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
AC,ACE,10/98,>,4.9 Super Charger (1NMBCFL),10/98,>,239,325,Brake discs,Prime,09.5708.10,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
AC,ACE,10/98,>,4.9 Super Charger (1NMBCFL),10/98,>,239,325,Brake discs,Max,09.5708.75,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
AC,ACE,01/95,10/98,4.9 (1NMBCFL),01/95,10/98,191,260,Brake discs,Prime,09.5708.10,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
AC,ACE,01/95,10/98,4.9 (1NMBCFL),01/95,10/98,191,260,Brake discs,Max,09.5708.75,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
AC,COBRA IV,01/90,>,4.9 (291F),01/90,10/97,184,250,Brake discs,Prime,09.5708.10,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
AC,COBRA IV,01/90,>,4.9 (291F),01/90,10/97,184,250,Brake discs,Max,09.5708.75,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
AC,COBRA IV,01/90,>,4.9 (291F),01/90,10/97,250,340,Brake discs,Prime,09.5708.10,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
AC,COBRA IV,01/90,>,4.9 (291F),01/90,10/97,250,340,Brake discs,Max,09.5708.75,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
AC,COBRA IV,01/90,>,4.9 Super Charger (291N),10/97,>,239,325,Brake discs,Prime,09.5708.10,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
AC,COBRA IV,01/90,>,4.9 Super Charger (291N),10/97,>,239,325,Brake discs,Max,09.5708.75,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
AC,COBRA IV,01/90,>,5.8 (291F),01/90,10/97,412,560,Brake discs,Prime,09.5708.10,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
AC,COBRA IV,01/90,>,5.8 (291F),01/90,10/97,412,560,Brake discs,Max,09.5708.75,253mm,20mm,44mm,,4,Ventilated,64mm,18mm,100Nm,2,,,,,,
