brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
ALPINA,B6 (E21),03/78,03/83,2.8,03/78,08/81,147,200,Brake pads,Prime,P 06 008,,20mm,57mm,158mm,,,,,,,Teves,Prepared for wear indicator,"20629, 20757","D253 7160, D394 7284, D395 7285",With accessoriesWith anti-squeal shimWith piston clip,
ALPINA,B6 (E21),03/78,03/83,2.8,03/78,08/81,147,200,Brake pads,Prime,P 06 009,,17mm,38mm,125mm,,,,,,,Teves,Prepared for wear indicator,"20675, 20756",D279 7182,With accessoriesWith anti-squeal shimWith piston clip,
ALPINA,B6 (E21),03/78,03/83,2.8,03/78,08/81,147,200,Brake pads,Prime Ceramic,P06009N,,17mm,38mm,125mm,,,,,,,Teves,Prepared for wear indicator,"20675, 20756",D279 7182,With accessoriesWith anti-squeal shimWith piston clip,
ALPINA,B6 (E21),03/78,03/83,2.8,09/81,03/83,160,218,Brake pads,Prime,P 06 008,,20mm,57mm,158mm,,,,,,,Teves,Prepared for wear indicator,"20629, 20757","D253 7160, D394 7284, D395 7285",With accessoriesWith anti-squeal shimWith piston clip,
ALPINA,B6 (E21),03/78,03/83,2.8,09/81,03/83,160,218,Brake pads,Prime,P 06 009,,17mm,38mm,125mm,,,,,,,Teves,Prepared for wear indicator,"20675, 20756",D279 7182,With accessoriesWith anti-squeal shimWith piston clip,
ALPINA,B6 (E21),03/78,03/83,2.8,09/81,03/83,160,218,Brake pads,Prime Ceramic,P06009N,,17mm,38mm,125mm,,,,,,,Teves,Prepared for wear indicator,"20675, 20756",D279 7182,With accessoriesWith anti-squeal shimWith piston clip,
ALPINA,B6 (E30),11/83,12/90,2.8,11/83,07/86,154,209,Brake pads,Prime,P 06 008,,20mm,57mm,158mm,,,,,,,Teves,Prepared for wear indicator,"20629, 20757","D253 7160, D394 7284, D395 7285",With accessoriesWith anti-squeal shimWith piston clip,
ALPINA,B6 (E30),11/83,12/90,2.8,11/83,07/86,154,209,Brake pads,Prime,P 06 009,,17mm,38mm,125mm,,,,,,,Teves,Prepared for wear indicator,"20675, 20756",D279 7182,With accessoriesWith anti-squeal shimWith piston clip,
ALPINA,B6 (E30),11/83,12/90,2.8,11/83,07/86,154,209,Brake pads,Prime Ceramic,P06009N,,17mm,38mm,125mm,,,,,,,Teves,Prepared for wear indicator,"20675, 20756",D279 7182,With accessoriesWith anti-squeal shimWith piston clip,
ALPINA,B7 (G12),02/16,>,BITURBO All-wheel Drive,02/16,>,447,608,Brake pads,Prime,P 06 106,,20mm,117mm,125mm,,,,,,,Brembo,Prepared for wear indicator,22392,D1868 9098,With anti-squeal shimWith counterweights,
ALPINA,B7 (G12),02/16,>,BITURBO All-wheel Drive,02/16,>,447,608,Brake pads,Prime Ceramic,P06106N,,20mm,117mm,125mm,,,,,,,Brembo,Prepared for wear indicator,22392,D1868 9098,With anti-squeal shimWith counterweights,
ALPINA,B7 (G12),02/16,>,BITURBO All-wheel Drive,02/16,>,447,608,Brake pads,Xtra Ceramic,P06106NX,,20mm,117mm,125mm,,,,,,,Brembo,Prepared for wear indicator,22392,D1868 9098,With anti-squeal shimWith counterweights,
ALPINA,B7 (G12),02/16,>,BITURBO All-wheel Drive,02/16,>,447,608,Brake pads,Prime,P 06 101,,18mm,66 - 73mm,116mm,,,,,,,TRW,Prepared for wear indicator,"24704, 25636",D1850 9077,With accessoriesWith anti-squeal shimWith brake caliper bolts,
ALPINA,B7 (G12),02/16,>,BITURBO All-wheel Drive,02/16,>,447,608,Brake pads,Prime Ceramic,P06101N,,18mm,66 - 73mm,116mm,,,,,,,TRW,Prepared for wear indicator,"24704, 25636",D1850 9077,With accessoriesWith anti-squeal shimWith brake caliper bolts,
