brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
ALPINE,A110 II,12/17,>,1.8,12/17,>,185,252,Brake pads,Prime,P 68 036,,15mm,71mm,125mm,,,,,,,Brembo,Without,24162,D1651 8489,With anti-squeal shim,
ALPINE,A110 II,12/17,>,1.8,12/17,>,185,252,Brake pads,Prime Ceramic,P68036N,,15mm,71mm,125mm,,,,,,,Brembo,Without,24162,D1651 8489,With anti-squeal shim,
ALPINE,A110 II,12/17,>,1.8 S,10/19,>,215,292,Brake pads,Prime,P 68 036,,15mm,71mm,125mm,,,,,,,Brembo,Without,24162,D1651 8489,With anti-squeal shim,
ALPINE,A110 II,12/17,>,1.8 S,10/19,>,215,292,Brake pads,Prime Ceramic,P68036N,,15mm,71mm,125mm,,,,,,,Brembo,Without,24162,D1651 8489,With anti-squeal shim,
ALPINE,A310,01/71,12/84,1.6,01/71,12/77,93,127,Brake discs,Prime,08.2284.10,254mm,12mm,40mm,,3,Solid,84mm,11mm,,2,,,,,,
ALPINE,A310,01/71,12/84,1.6 Injection,01/76,12/77,94,127,Brake discs,Prime,08.2284.10,254mm,12mm,40mm,,3,Solid,84mm,11mm,,2,,,,,,
ALPINE,A310,01/71,12/84,1.7,01/71,12/77,70,95,Brake discs,Prime,08.2284.10,254mm,12mm,40mm,,3,Solid,84mm,11mm,,2,,,,,,
ALPINE,V6,01/85,03/92,GT,01/85,12/90,116,158,Brake pads,Prime,P 68 008,,18mm,65mm,100mm,,,,,,,Lucas,Electric,21463,"D1146 8256, D292 7194, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
ALPINE,V6,01/85,03/92,GT,01/85,12/90,116,158,Brake pads,Prime Ceramic,P68008N,,18mm,65mm,100mm,,,,,,,Lucas,Electric,21463,"D1146 8256, D292 7194, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
ALPINE,V6,01/85,03/92,GT,01/85,12/90,116,158,Brake pads,Prime,P 68 038,,18mm,65mm,100mm,,,,,,,Lucas,Without,21463,"D1146 8256, D1579 8256, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
ALPINE,V6,01/85,03/92,GT,01/85,12/90,116,158,Brake pads,Prime Ceramic,P68038N,,18mm,65mm,100mm,,,,,,,Lucas,Without,21463,"D1146 8256, D1579 8256, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
ALPINE,V6,01/85,03/92,Assembly kit,01/85,12/90,116,158,Brake pad accessories,Prime,A 02 215,,,,,,,,,,,Bendix,,,,,
ALPINE,V6,01/85,03/92,TURBO,01/85,12/90,136,185,Brake pads,Prime,P 68 008,,18mm,65mm,100mm,,,,,,,Lucas,Electric,21463,"D1146 8256, D292 7194, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
ALPINE,V6,01/85,03/92,TURBO,01/85,12/90,136,185,Brake pads,Prime Ceramic,P68008N,,18mm,65mm,100mm,,,,,,,Lucas,Electric,21463,"D1146 8256, D292 7194, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
ALPINE,V6,01/85,03/92,TURBO,01/85,12/90,136,185,Brake pads,Prime,P 68 038,,18mm,65mm,100mm,,,,,,,Lucas,Without,21463,"D1146 8256, D1579 8256, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
ALPINE,V6,01/85,03/92,TURBO,01/85,12/90,136,185,Brake pads,Prime Ceramic,P68038N,,18mm,65mm,100mm,,,,,,,Lucas,Without,21463,"D1146 8256, D1579 8256, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
ALPINE,V6,01/85,03/92,Assembly kit,01/85,12/90,136,185,Brake pad accessories,Prime,A 02 215,,,,,,,,,,,Bendix,,,,,
ALPINE,V6,01/85,03/92,TURBO,01/88,12/90,147,200,Brake pads,Prime,P 68 008,,18mm,65mm,100mm,,,,,,,Lucas,Electric,21463,"D1146 8256, D292 7194, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
ALPINE,V6,01/85,03/92,TURBO,01/88,12/90,147,200,Brake pads,Prime Ceramic,P68008N,,18mm,65mm,100mm,,,,,,,Lucas,Electric,21463,"D1146 8256, D292 7194, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
ALPINE,V6,01/85,03/92,TURBO,01/88,12/90,147,200,Brake pads,Prime,P 68 038,,18mm,65mm,100mm,,,,,,,Lucas,Without,21463,"D1146 8256, D1579 8256, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
ALPINE,V6,01/85,03/92,TURBO,01/88,12/90,147,200,Brake pads,Prime Ceramic,P68038N,,18mm,65mm,100mm,,,,,,,Lucas,Without,21463,"D1146 8256, D1579 8256, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
ALPINE,V6,01/85,03/92,Assembly kit,01/88,12/90,147,200,Brake pad accessories,Prime,A 02 215,,,,,,,,,,,Bendix,,,,,
