brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
AUDI,"100 C1 Saloon (801, 803, 805, 807, 811, 813, F104)",11/68,07/76,1.8,10/70,07/76,74,100,Brake discs,Prime,08.2134.10,279mm,"10,5mm",42mm,,4,Solid,108mm,"8,5mm",,2,,,,,,
AUDI,"100 C1 Saloon (801, 803, 805, 807, 811, 813, F104)",11/68,07/76,Assembly kit,10/70,07/76,74,100,Brake pad accessories,Prime,A 02 216,,,,,,,,,,,Trw-Lucas,,,,,
AUDI,"100 C1 Saloon (801, 803, 805, 807, 811, 813, F104)",11/68,07/76,1.9,09/71,07/76,82,112,Brake discs,Prime,08.2134.10,279mm,"10,5mm",42mm,,4,Solid,108mm,"8,5mm",,2,,,,,,
AUDI,"100 C3 Avant (445, 446)",08/82,11/90,2.1,08/82,07/84,96,131,Brake discs,Prime,08.4874.10,245mm,10mm,59mm,,4,Solid,68mm,8mm,120Nm,2,,,,,,
AUDI,"100 C3 Avant (445, 446)",08/82,11/90,2.1,08/82,07/84,96,131,Brake pads,Prime,P 85 016,,20mm,70mm,119mm,,,,,,,TRW,Electric,"20669, 20901","D227 7143, D290 7143, D684 7571",With accessoriesWith anti-squeal shimWith brake caliper bolts,
AUDI,"100 C3 Avant (445, 446)",08/82,11/90,2.1,08/82,07/84,96,131,Brake pads,Prime Ceramic,P85016N,,20mm,70mm,119mm,,,,,,,TRW,Electric,"20669, 20901","D227 7143, D290 7143, D684 7571",With accessoriesWith anti-squeal shimWith brake caliper bolts,
AUDI,"100 C3 Avant (445, 446)",08/82,11/90,2.1,08/82,07/84,96,131,Brake pads,Prime,P 85 013,,17mm,68mm,193mm,,,,,,,Lucas,Without,21144,"D228 7144, D228 7309, D228 7498, D851 7727",With accessoriesWith anti-squeal shimWith brake caliper bolts,
AUDI,"100 C3 Avant (445, 446)",08/82,11/90,2.1,08/82,07/84,96,131,Brake pads,Prime Ceramic,P85013N,,17mm,68mm,193mm,,,,,,,Lucas,Without,21144,"D228 7144, D228 7309, D228 7498, D851 7727",With accessoriesWith anti-squeal shimWith brake caliper bolts,
AUDI,"100 C3 Avant (445, 446)",08/82,11/90,2.2,08/84,12/88,101,137,Brake discs,Prime,09.5734.10,276mm,25mm,46mm,,5,Ventilated,68mm,23mm,,2,,,,,,
AUDI,"100 C3 Avant (445, 446)",08/82,11/90,2.2,08/84,12/88,101,137,Brake discs,Prime,09.4964.10,280mm,22mm,46mm,,5,Ventilated,68mm,20mm,,2,,,,,,
AUDI,"100 C3 Avant (445, 446)",08/82,11/90,2.2,08/84,12/88,101,137,Brake discs,Prime,08.4874.20,245mm,10mm,59mm,,5,Solid,68mm,8mm,120Nm,2,,,,,,
AUDI,"100 C3 Avant (445, 446)",08/82,11/90,2.2,08/84,12/88,101,137,Brake pads,Prime,P 85 016,,20mm,70mm,119mm,,,,,,,TRW,Electric,"20669, 20901","D227 7143, D290 7143, D684 7571",With accessoriesWith anti-squeal shimWith brake caliper bolts,
AUDI,"100 C3 Avant (445, 446)",08/82,11/90,2.2,08/84,12/88,101,137,Brake pads,Prime Ceramic,P85016N,,20mm,70mm,119mm,,,,,,,TRW,Electric,"20669, 20901","D227 7143, D290 7143, D684 7571",With accessoriesWith anti-squeal shimWith brake caliper bolts,
AUDI,"100 C3 Avant (445, 446)",08/82,11/90,2.2,08/84,12/88,101,137,Brake pads,Prime,P 61 049,,19mm,64mm,156mm,,,,,,,Teves,Prepared for wear indicator,"21211, 21212",D394 7397,With anti-squeal shim,
AUDI,"100 C3 Avant (445, 446)",08/82,11/90,2.2,08/84,12/88,101,137,Brake pads,Prime,P 85 013,,17mm,68mm,193mm,,,,,,,Lucas,Without,21144,"D228 7144, D228 7309, D228 7498, D851 7727",With accessoriesWith anti-squeal shimWith brake caliper bolts,
