brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
BENTLEY,ARNAGE (RBS_),03/98,12/13,4.4 V8,03/98,12/13,260,354,Brake pads,Prime,P 06 019,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,4.4 V8,03/98,12/13,260,354,Brake pads,Prime Ceramic,P06019N,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,4.4 V8,03/98,12/13,260,354,Brake pads,Prime,P 06 026,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,4.4 V8,03/98,12/13,260,354,Brake pads,Prime Ceramic,P06026N,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.7 V8,09/99,08/03,298,405,Brake pads,Prime,P 06 019,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.7 V8,09/99,08/03,298,405,Brake pads,Prime Ceramic,P06019N,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.7 V8,09/99,08/03,298,405,Brake pads,Prime,P 06 026,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.7 V8,09/99,08/03,298,405,Brake pads,Prime Ceramic,P06026N,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.7 V8 T,02/02,08/05,336,457,Brake pads,Prime,P 06 019,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.7 V8 T,02/02,08/05,336,457,Brake pads,Prime Ceramic,P06019N,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.7 V8 T,02/02,08/05,336,457,Brake pads,Prime,P 06 026,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.7 V8 T,02/02,08/05,336,457,Brake pads,Prime Ceramic,P06026N,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.8 V8 T,02/02,10/09,336,457,Brake pads,Prime,P 06 019,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.8 V8 T,02/02,10/09,336,457,Brake pads,Prime Ceramic,P06019N,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.8 V8 T,02/02,10/09,336,457,Brake pads,Prime,P 06 026,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.8 V8 T,02/02,10/09,336,457,Brake pads,Prime Ceramic,P06026N,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.8 V8 T,02/02,10/09,373,507,Brake pads,Prime,P 06 019,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.8 V8 T,02/02,10/09,373,507,Brake pads,Prime Ceramic,P06019N,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.8 V8 T,02/02,10/09,373,507,Brake pads,Prime,P 06 026,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE (RBS_),03/98,12/13,6.8 V8 T,02/02,10/09,373,507,Brake pads,Prime Ceramic,P06026N,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE Coupe,09/05,>,6.8,09/06,>,373,507,Brake pads,Prime,P 06 019,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE Coupe,09/05,>,6.8,09/06,>,373,507,Brake pads,Prime Ceramic,P06019N,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE Coupe,09/05,>,6.8,09/06,>,373,507,Brake pads,Prime,P 06 026,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE Coupe,09/05,>,6.8,09/06,>,373,507,Brake pads,Prime Ceramic,P06026N,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE Coupe,09/05,>,6.8,09/05,>,336,457,Brake pads,Prime,P 06 019,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE Coupe,09/05,>,6.8,09/05,>,336,457,Brake pads,Prime Ceramic,P06019N,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE Coupe,09/05,>,6.8,09/05,>,336,457,Brake pads,Prime,P 06 026,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,ARNAGE Coupe,09/05,>,6.8,09/05,>,336,457,Brake pads,Prime Ceramic,P06026N,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,AZURE,09/95,06/06,6.75 V8,09/95,08/99,286,389,Brake pads,Prime,P 69 001,,15mm,67mm,78mm,,,,,,,AP Lockheed,Without,"20230, 20406",,With anti-squeal shim,
BENTLEY,AZURE,09/95,06/06,6.75 V8,08/99,06/06,300,408,Brake pads,Prime,P 06 019,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,AZURE,09/95,06/06,6.75 V8,08/99,06/06,300,408,Brake pads,Prime Ceramic,P06019N,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,AZURE,09/95,06/06,6.75 V8,08/99,06/06,300,408,Brake pads,Prime,P 06 026,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,AZURE,09/95,06/06,6.75 V8,08/99,06/06,300,408,Brake pads,Prime Ceramic,P06026N,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,AZURE,09/95,06/06,6.75 V8 Mulliner,08/99,06/06,313,426,Brake pads,Prime,P 06 019,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,AZURE,09/95,06/06,6.75 V8 Mulliner,08/99,06/06,313,426,Brake pads,Prime Ceramic,P06019N,,21mm,74mm,195mm,,,,,,,Teves,Prepared for wear indicator,"21484, 21485","D1115 7561, D682 7561",With accessoriesWith anti-squeal shimWith piston clip,
BENTLEY,AZURE,09/95,06/06,6.75 V8 Mulliner,08/99,06/06,313,426,Brake pads,Prime,P 06 026,,17mm,67mm,140mm,,,,,,,Teves,Prepared for wear indicator,"23730, 23731",D919 7820,With accessoriesWith anti-squeal shimWith piston clip,
