brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,length
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake discs,Prime,09.9750.11,284mm,22mm,73mm,,5,Ventilated,79mm,"20,4mm",120Nm,2,,,,,,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake discs,Xtra,09.9750.1X,284mm,22mm,73mm,,5,Ventilated,79mm,"20,4mm",120Nm,2,,,,,,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake discs,Prime,09.C420.13,338mm,26mm,73mm,,5,Ventilated,79mm,"24,4mm",,1,,,,,,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake discs,Prime,08.9787.11,280mm,10mm,65mm,,5,Solid,75mm,"8,4mm",120Nm,2,,,,,,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake discs,Prime,09.9793.11,300mm,20mm,66mm,,5,Ventilated,75mm,"18,4mm",120Nm,2,,,,,,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake discs,Xtra,09.9793.1X,300mm,20mm,66mm,,5,Ventilated,75mm,"18,4mm",120Nm,2,,,,,,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake pads,Prime,P 06 034,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake pads,Prime Ceramic,P06034N,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake pads,Xtra,P 06 034X,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake pads,Prime,P 06 041,,17mm,74mm,165mm,,,,,,,Brembo,Prepared for wear indicator,24316,D1371 8483,With anti-squeal shim,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake pads,Prime Ceramic,P06041N,,17mm,74mm,165mm,,,,,,,Brembo,Prepared for wear indicator,24316,D1371 8483,With anti-squeal shim,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake pads,Prime,P 06 037,,17mm,45 - 52mm,95mm,,,,,,,Lucas,Prepared for wear indicator,"23623, 23624",D1226 8345,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake pads,Prime Ceramic,P06037N,,17mm,45 - 52mm,95mm,,,,,,,Lucas,Prepared for wear indicator,"23623, 23624",D1226 8345,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake pads,Xtra,P 06 037X,,17mm,45 - 52mm,95mm,,,,,,,Lucas,Prepared for wear indicator,"23623, 23624",D1226 8345,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake pads,Prime,P 06 038,,17mm,48 - 51mm,123mm,,,,,,,Teves,Prepared for wear indicator,"23926, 23927, 24226","D1171 7286, D1267 7286",With accessoriesWith anti-squeal shimWith piston clip,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake pads,Prime Ceramic,P06038N,,17mm,48 - 51mm,123mm,,,,,,,Teves,Prepared for wear indicator,"23926, 23927, 24226","D1171 7286, D1267 7286",With accessoriesWith anti-squeal shimWith piston clip,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake pads,Xtra,P 06 038X,,17mm,48 - 51mm,123mm,,,,,,,Teves,Prepared for wear indicator,"23926, 23927, 24226","D1171 7286, D1267 7286",With accessoriesWith anti-squeal shimWith piston clip,,
BMW,1 (E87),02/03,01/13,116 i,06/04,06/11,85,115,Brake pads,Xtra Ceramic,P06038NX,,17mm,48 - 51mm,123mm,,,,,,,Teves,Prepared for wear indicator,"23926, 23927, 24226","D1171 7286, D1267 7286",With accessoriesWith anti-squeal shimWith piston clip,,
BMW,1 (E87),02/03,01/13,Wear indicator,06/04,06/11,85,115,Brake pad accessories,Prime,A 00 211,,,,,,,,,,,,,,,,,635mm
BMW,1 (E87),02/03,01/13,Wear indicator,06/04,06/11,85,115,Brake pad accessories,Prime,A 00 213,,,,,,,,,,,,,,,,,692mm
BMW,1 (E87),02/03,01/13,Wear indicator,06/04,06/11,85,115,Brake pad accessories,Prime,A 00 435,,,,,,,,,,,,,,,,,650mm
BMW,1 (E87),02/03,01/13,Wear indicator,06/04,06/11,85,115,Brake pad accessories,Prime,A 00 212,,,,,,,,,,,,,,,,,1093mm
BMW,1 (E87),02/03,01/13,Wear indicator,06/04,06/11,85,115,Brake pad accessories,Prime,A 00 437,,,,,,,,,,,,,,,,,1110mm
BMW,1 (E87),02/03,01/13,118 d,06/04,02/07,90,122,Brake discs,Prime,09.9750.11,284mm,22mm,73mm,,5,Ventilated,79mm,"20,4mm",120Nm,2,,,,,,,
BMW,1 (E87),02/03,01/13,118 d,06/04,02/07,90,122,Brake discs,Xtra,09.9750.1X,284mm,22mm,73mm,,5,Ventilated,79mm,"20,4mm",120Nm,2,,,,,,,
BMW,1 (E87),02/03,01/13,118 d,06/04,02/07,90,122,Brake discs,Prime,09.C420.13,338mm,26mm,73mm,,5,Ventilated,79mm,"24,4mm",,1,,,,,,,
BMW,1 (E87),02/03,01/13,118 d,06/04,02/07,90,122,Brake discs,Prime,08.9787.11,280mm,10mm,65mm,,5,Solid,75mm,"8,4mm",120Nm,2,,,,,,,
BMW,1 (E87),02/03,01/13,118 d,06/04,02/07,90,122,Brake discs,Prime,09.9793.11,300mm,20mm,66mm,,5,Ventilated,75mm,"18,4mm",120Nm,2,,,,,,,
BMW,1 (E87),02/03,01/13,118 d,06/04,02/07,90,122,Brake discs,Xtra,09.9793.1X,300mm,20mm,66mm,,5,Ventilated,75mm,"18,4mm",120Nm,2,,,,,,,
BMW,1 (E87),02/03,01/13,118 d,06/04,02/07,90,122,Brake pads,Prime,P 06 034,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
BMW,1 (E87),02/03,01/13,118 d,06/04,02/07,90,122,Brake pads,Prime Ceramic,P06034N,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
BMW,1 (E87),02/03,01/13,118 d,06/04,02/07,90,122,Brake pads,Xtra,P 06 034X,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
BMW,1 (E87),02/03,01/13,118 d,06/04,02/07,90,122,Brake pads,Prime,P 06 041,,17mm,74mm,165mm,,,,,,,Brembo,Prepared for wear indicator,24316,D1371 8483,With anti-squeal shim,,
BMW,1 (E87),02/03,01/13,118 d,06/04,02/07,90,122,Brake pads,Prime Ceramic,P06041N,,17mm,74mm,165mm,,,,,,,Brembo,Prepared for wear indicator,24316,D1371 8483,With anti-squeal shim,,
BMW,1 (E87),02/03,01/13,118 d,06/04,02/07,90,122,Brake pads,Prime,P 06 037,,17mm,45 - 52mm,95mm,,,,,,,Lucas,Prepared for wear indicator,"23623, 23624",D1226 8345,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
BMW,1 (E87),02/03,01/13,118 d,06/04,02/07,90,122,Brake pads,Prime Ceramic,P06037N,,17mm,45 - 52mm,95mm,,,,,,,Lucas,Prepared for wear indicator,"23623, 23624",D1226 8345,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
BMW,1 (E87),02/03,01/13,118 d,06/04,02/07,90,122,Brake pads,Xtra,P 06 037X,,17mm,45 - 52mm,95mm,,,,,,,Lucas,Prepared for wear indicator,"23623, 23624",D1226 8345,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
BMW,1 (E87),02/03,01/13,Wear indicator,06/04,02/07,90,122,Brake pad accessories,Prime,A 00 211,,,,,,,,,,,,,,,,,635mm
BMW,1 (E87),02/03,01/13,Wear indicator,06/04,02/07,90,122,Brake pad accessories,Prime,A 00 213,,,,,,,,,,,,,,,,,692mm
BMW,1 (E87),02/03,01/13,Wear indicator,06/04,02/07,90,122,Brake pad accessories,Prime,A 00 212,,,,,,,,,,,,,,,,,1093mm
BMW,1 (E87),02/03,01/13,118 d,03/07,06/11,105,143,Brake discs,Prime,09.9752.11,292mm,22mm,73mm,,5,Ventilated,79mm,"20,4mm",120Nm,2,,,,,,,
BMW,1 (E87),02/03,01/13,118 d,03/07,06/11,105,143,Brake discs,Max,09.9752.75,292mm,22mm,73mm,,5,Ventilated,79mm,"20,4mm",120Nm,2,,,,,,,
BMW,1 (E87),02/03,01/13,118 d,03/07,06/11,105,143,Brake discs,Xtra,09.9752.1X,292mm,22mm,73mm,,5,Ventilated,79mm,"20,4mm",120Nm,2,,,,,,,
BMW,1 (E87),02/03,01/13,118 d,03/07,06/11,105,143,Brake discs,Prime,09.C420.13,338mm,26mm,73mm,,5,Ventilated,79mm,"24,4mm",,1,,,,,,,
BMW,1 (E87),02/03,01/13,118 d,03/07,06/11,105,143,Brake discs,Prime,09.9793.11,300mm,20mm,66mm,,5,Ventilated,75mm,"18,4mm",120Nm,2,,,,,,,
BMW,1 (E87),02/03,01/13,118 d,03/07,06/11,105,143,Brake discs,Xtra,09.9793.1X,300mm,20mm,66mm,,5,Ventilated,75mm,"18,4mm",120Nm,2,,,,,,,
BMW,1 (E87),02/03,01/13,118 d,03/07,06/11,105,143,Brake pads,Prime,P 06 034,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
