brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
CADILLAC,ALLANTE Convertible (V),09/85,09/93,4.6,10/92,09/93,220,299,Brake pads,Prime,P 56 027,,17mm,48mm,109mm,,,,,,,Sumitomo,Acoustic,"21657, 21658, 21659",D510 7389,With anti-squeal shim,
CADILLAC,ALLANTE Convertible (V),09/85,09/93,4.6,10/92,09/93,220,299,Brake pads,Prime Ceramic,P56027N,,17mm,48mm,109mm,,,,,,,Sumitomo,Acoustic,"21657, 21658, 21659",D510 7389,With anti-squeal shim,
CADILLAC,ALLANTE Convertible (V),09/85,09/93,4.6,10/92,09/93,220,299,Brake pads,Prime Ceramic,P59062N,,17mm,67 - 69mm,148 - 212mm,,,,,,,Delco Moraine,Acoustic,,D623 7384,With accessoriesWith anti-squeal shimWith piston clip,
CADILLAC,ALLANTE Convertible (V),09/85,09/93,4.6,10/92,09/93,220,299,Brake pads,Prime,P 59 027,,15mm,41mm,108mm,,,,,,,Akebono,Acoustic,"23361, 23362, 23363","D508 7387, D698 7387, D714 7387",With anti-squeal shim,
CADILLAC,ALLANTE Convertible (V),09/85,09/93,4.6,10/92,09/93,220,299,Brake pads,Prime Ceramic,P59027N,,15mm,41mm,108mm,,,,,,,Akebono,Acoustic,"23361, 23362, 23363","D508 7387, D698 7387, D714 7387",With anti-squeal shim,
CADILLAC,CTS,03/02,12/07,2.8,03/05,09/07,158,215,Brake discs,Prime,09.E283.11,298mm,26mm,48mm,,5,Ventilated,71mm,24mm,,1,,,,,,
CADILLAC,CTS,03/02,12/07,2.8,03/05,09/07,158,215,Brake discs,Prime,09.D997.11,320mm,26mm,48mm,,5,Ventilated,71mm,"24,6mm",,1,,,,,,
CADILLAC,CTS,03/02,12/07,2.8,03/05,09/07,158,215,Brake pads,Prime,P 09 011,,15mm,57mm,183mm,,,,,,,,Acoustic,"22045, 22046",D921 7822,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,2.8,03/05,09/07,158,215,Brake pads,Prime Ceramic,P09011N,,15mm,57mm,183mm,,,,,,,,Acoustic,"22045, 22046",D921 7822,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,2.8,03/05,09/07,158,215,Brake pads,Prime Ceramic,P09006N,,15mm,57mm,183mm,,,,,,,Wagner,Acoustic,"23957, 24303",D921 7822,With anti-squeal shim,
CADILLAC,CTS,03/02,12/07,2.8,03/05,09/07,158,215,Brake pads,Prime,P 09 007,,14mm,37mm,123mm,,,,,,,Wagner,Acoustic,"24304, 24305",D922 8207,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,2.8,03/05,09/07,158,215,Brake pads,Prime Ceramic,P09007N,,14mm,37mm,123mm,,,,,,,Wagner,Acoustic,"24304, 24305",D922 8207,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,2.8,03/05,09/07,158,215,Brake pads,Prime Ceramic,P09031N,,15mm,38mm,123mm,,,,,,,Wagner,Acoustic,"24304, 24305","D922 7823, D922 7822",With anti-squeal shim,
CADILLAC,CTS,03/02,12/07,3.2,09/02,12/04,164,223,Brake pads,Prime,P 09 011,,15mm,57mm,183mm,,,,,,,,Acoustic,"22045, 22046",D921 7822,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,3.2,09/02,12/04,164,223,Brake pads,Prime Ceramic,P09011N,,15mm,57mm,183mm,,,,,,,,Acoustic,"22045, 22046",D921 7822,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,3.2,09/02,12/04,164,223,Brake pads,Prime Ceramic,P09006N,,15mm,57mm,183mm,,,,,,,Wagner,Acoustic,"23957, 24303",D921 7822,With anti-squeal shim,
CADILLAC,CTS,03/02,12/07,3.2,09/02,12/04,164,223,Brake pads,Prime,P 09 007,,14mm,37mm,123mm,,,,,,,Wagner,Acoustic,"24304, 24305",D922 8207,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,3.2,09/02,12/04,164,223,Brake pads,Prime Ceramic,P09007N,,14mm,37mm,123mm,,,,,,,Wagner,Acoustic,"24304, 24305",D922 8207,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,3.6,03/05,09/07,189,257,Brake discs,Prime,09.E283.11,298mm,26mm,48mm,,5,Ventilated,71mm,24mm,,1,,,,,,
CADILLAC,CTS,03/02,12/07,3.6,03/05,09/07,189,257,Brake discs,Prime,09.D997.11,320mm,26mm,48mm,,5,Ventilated,71mm,"24,6mm",,1,,,,,,
CADILLAC,CTS,03/02,12/07,3.6,03/05,09/07,189,257,Brake pads,Prime,P 09 011,,15mm,57mm,183mm,,,,,,,,Acoustic,"22045, 22046",D921 7822,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,3.6,03/05,09/07,189,257,Brake pads,Prime Ceramic,P09011N,,15mm,57mm,183mm,,,,,,,,Acoustic,"22045, 22046",D921 7822,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,3.6,03/05,09/07,189,257,Brake pads,Prime Ceramic,P09006N,,15mm,57mm,183mm,,,,,,,Wagner,Acoustic,"23957, 24303",D921 7822,With anti-squeal shim,
CADILLAC,CTS,03/02,12/07,3.6,03/05,09/07,189,257,Brake pads,Prime,P 09 007,,14mm,37mm,123mm,,,,,,,Wagner,Acoustic,"24304, 24305",D922 8207,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,3.6,03/05,09/07,189,257,Brake pads,Prime Ceramic,P09007N,,14mm,37mm,123mm,,,,,,,Wagner,Acoustic,"24304, 24305",D922 8207,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,3.6,03/05,09/07,189,257,Brake pads,Prime Ceramic,P09031N,,15mm,38mm,123mm,,,,,,,Wagner,Acoustic,"24304, 24305","D922 7823, D922 7822",With anti-squeal shim,
CADILLAC,CTS,03/02,12/07,3.6,09/03,12/07,190,258,Brake discs,Prime,09.E283.11,298mm,26mm,48mm,,5,Ventilated,71mm,24mm,,1,,,,,,
CADILLAC,CTS,03/02,12/07,3.6,09/03,12/07,190,258,Brake discs,Prime,09.D997.11,320mm,26mm,48mm,,5,Ventilated,71mm,"24,6mm",,1,,,,,,
CADILLAC,CTS,03/02,12/07,3.6,09/03,12/07,190,258,Brake pads,Prime,P 09 011,,15mm,57mm,183mm,,,,,,,,Acoustic,"22045, 22046",D921 7822,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,3.6,09/03,12/07,190,258,Brake pads,Prime Ceramic,P09011N,,15mm,57mm,183mm,,,,,,,,Acoustic,"22045, 22046",D921 7822,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,3.6,09/03,12/07,190,258,Brake pads,Prime Ceramic,P09006N,,15mm,57mm,183mm,,,,,,,Wagner,Acoustic,"23957, 24303",D921 7822,With anti-squeal shim,
CADILLAC,CTS,03/02,12/07,3.6,09/03,12/07,190,258,Brake pads,Prime,P 09 007,,14mm,37mm,123mm,,,,,,,Wagner,Acoustic,"24304, 24305",D922 8207,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,3.6,09/03,12/07,190,258,Brake pads,Prime Ceramic,P09007N,,14mm,37mm,123mm,,,,,,,Wagner,Acoustic,"24304, 24305",D922 8207,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CADILLAC,CTS,03/02,12/07,5.7 V8,03/05,09/07,294,400,Brake pads,Prime,P 09 004,,15mm,78mm,132mm,,,,,,,Brembo,Acoustic,23325,"D1001 7919, D1050 7953",With anti-squeal shim,
CADILLAC,CTS,03/02,12/07,5.7 V8,03/05,09/07,294,400,Brake pads,Prime Ceramic,P09004N,,15mm,78mm,132mm,,,,,,,Brembo,Acoustic,23325,"D1001 7919, D1050 7953",With anti-squeal shim,
CADILLAC,CTS,03/02,12/07,5.7 V8,03/05,09/07,294,400,Brake pads,Prime,P 09 003,,14mm,74mm,120mm,,,,,,,Brembo,Acoustic,23143,"D1053 7858, D960 7858, D960 7954",With anti-squeal shim,
CADILLAC,CTS,03/02,12/07,5.7 V8,03/05,09/07,294,400,Brake pads,Prime Ceramic,P09003N,,14mm,74mm,120mm,,,,,,,Brembo,Acoustic,23143,"D1053 7858, D960 7858, D960 7954",With anti-squeal shim,
CADILLAC,CTS,03/02,12/07,6.0,09/05,09/07,298,405,Brake pads,Prime,P 09 004,,15mm,78mm,132mm,,,,,,,Brembo,Acoustic,23325,"D1001 7919, D1050 7953",With anti-squeal shim,
