brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
CHERY,A1,08/06,>,1.3,04/07,12/14,61,83,Brake pads,Prime Ceramic,P79011N,,15mm,50mm,106mm,,,,,,,Teves,Electric,23662,,With anti-squeal shim,
CHERY,TIGGO,03/02,07/17,2.0,09/06,10/16,102,139,Brake discs,Prime,09.5252.10,264mm,24mm,47mm,,5,Ventilated,64mm,22mm,100Nm,2,,,,,,
CHERY,TIGGO,03/02,07/17,2.0,09/06,10/16,102,139,Brake discs,Prime,08.A333.11,303mm,9mm,63mm,,5,Solid,62mm,8mm,103Nm,2,,,,,,
CHERY,TIGGO,03/02,07/17,2.0,09/06,10/16,102,139,Brake pads,Prime,P 83 057,,14mm,54mm,78mm,,,,,,,Akebono,Acoustic,"23656, 23657, 23658","D1051 7955, D1091 7955",With anti-squeal shim,
CHERY,TIGGO,03/02,07/17,2.0,09/06,10/16,102,139,Brake pads,Prime Ceramic,P83057N,,14mm,54mm,78mm,,,,,,,Akebono,Acoustic,"23656, 23657, 23658","D1051 7955, D1091 7955",With anti-squeal shim,
CHERY,TIGGO,02/10,>,1.6,06/11,12/14,93,126,Brake discs,Prime,09.5252.10,264mm,24mm,47mm,,5,Ventilated,64mm,22mm,100Nm,2,,,,,,
CHERY,TIGGO,02/10,>,1.6,06/11,12/14,93,126,Brake discs,Prime,08.A333.11,303mm,9mm,63mm,,5,Solid,62mm,8mm,103Nm,2,,,,,,
CHERY,TIGGO,02/10,>,1.6,06/11,12/14,93,126,Brake pads,Prime,P 85 011,,20mm,69mm,119mm,,,,,,,Lucas,Without,20168,D684 7571,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CHERY,TIGGO,02/10,>,1.6,06/11,12/14,93,126,Brake pads,Prime Ceramic,P85011N,,20mm,69mm,119mm,,,,,,,Lucas,Without,20168,D684 7571,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CHERY,TIGGO,02/10,>,1.6,06/11,12/14,93,126,Brake pads,Prime,P 83 057,,14mm,54mm,78mm,,,,,,,Akebono,Acoustic,"23656, 23657, 23658","D1051 7955, D1091 7955",With anti-squeal shim,
CHERY,TIGGO,02/10,>,1.6,06/11,12/14,93,126,Brake pads,Prime Ceramic,P83057N,,14mm,54mm,78mm,,,,,,,Akebono,Acoustic,"23656, 23657, 23658","D1051 7955, D1091 7955",With anti-squeal shim,
CHERY,TIGGO,02/10,>,2.0,04/10,>,101,137,Brake pads,Prime,P 83 057,,14mm,54mm,78mm,,,,,,,Akebono,Acoustic,"23656, 23657, 23658","D1051 7955, D1091 7955",With anti-squeal shim,
CHERY,TIGGO,02/10,>,2.0,04/10,>,101,137,Brake pads,Prime Ceramic,P83057N,,14mm,54mm,78mm,,,,,,,Akebono,Acoustic,"23656, 23657, 23658","D1051 7955, D1091 7955",With anti-squeal shim,
CHERY,TIGGO 5x,09/17,>,1.5,09/17,>,108,147,Brake pads,Prime,P 20 002,,18mm,63mm,148mm,,,,,,,,Acoustic,,D2294 9530,With anti-squeal shim,
CHERY,TIGGO 5x,09/17,>,1.5,09/17,>,108,147,Brake pads,Prime Ceramic,P20002N,,18mm,63mm,148mm,,,,,,,,Acoustic,,D2294 9530,With anti-squeal shim,
CHERY,TIGGO 5x,09/17,>,1.5,09/17,>,108,147,Brake pads,Prime,P 20 003,,16mm,50mm,108mm,,,,,,,,Acoustic,,,With anti-squeal shim,
CHERY,TIGGO 5x,09/17,>,1.5,09/17,>,108,147,Brake pads,Prime Ceramic,P20003N,,16mm,50mm,108mm,,,,,,,,Acoustic,,,With anti-squeal shim,
