brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
CHEVROLET,ASTRO Extended Cargo Van,09/94,12/05,4.3,09/94,12/05,142,193,Brake pads,Prime Ceramic,P10017N,,15mm,59 - 66mm,183 - 197mm,,,,,,,Kelsey Hayes,Acoustic,20215,"D52 7214A, D52 728A",With anti-squeal shim,
CHEVROLET,ASTRO Extended Cargo Van,09/94,12/05,4.3,09/94,12/05,142,193,Brake pads,Prime Ceramic,P10026N,,19mm,67mm,216mm,,,,,,,Akebono,Acoustic,24628,"D784 7652, D784 8454",With anti-squeal shim,
CHEVROLET,ASTRO Extended Cargo Van,09/94,12/05,4.3 AWD,09/94,12/05,142,193,Brake pads,Prime Ceramic,P10021N,,17mm,59 - 76mm,126 - 147mm,,,,,,,Bendix,Acoustic,25373,D369 7259,With accessoriesWith anti-squeal shim,
CHEVROLET,ASTRO Extended Cargo Van,09/94,12/05,4.3 AWD,09/94,12/05,142,193,Brake pads,Prime Ceramic,P18004N,,16mm,59 - 76mm,126 - 147mm,,,,,,,Bendix,Acoustic,,D789 7659,With accessoriesWith anti-squeal shimWith piston clip,
CHEVROLET,ASTRO Extended Cargo Van,09/94,12/05,4.3 AWD,09/94,12/05,142,193,Brake pads,Prime Ceramic,P59061N,,17mm,59 - 85mm,126 - 147mm,,,,,,,,Acoustic,,D459 7339,With anti-squeal shim,
CHEVROLET,ASTRO Extended Passenger Van,09/94,12/05,4.3,09/94,12/05,142,193,Brake pads,Prime Ceramic,P10017N,,15mm,59 - 66mm,183 - 197mm,,,,,,,Kelsey Hayes,Acoustic,20215,"D52 7214A, D52 728A",With anti-squeal shim,
CHEVROLET,ASTRO Extended Passenger Van,09/94,12/05,4.3,09/94,12/05,142,193,Brake pads,Prime Ceramic,P10026N,,19mm,67mm,216mm,,,,,,,Akebono,Acoustic,24628,"D784 7652, D784 8454",With anti-squeal shim,
CHEVROLET,ASTRO Extended Passenger Van,09/84,12/94,4.3,09/89,12/92,112,152,Brake pads,Prime Ceramic,P10017N,,15mm,59 - 66mm,183 - 197mm,,,,,,,Kelsey Hayes,Acoustic,20215,"D52 7214A, D52 728A",With anti-squeal shim,
CHEVROLET,ASTRO Extended Passenger Van,09/84,12/94,4.3 AWD,09/89,12/92,112,152,Brake pads,Prime Ceramic,P10021N,,17mm,59 - 76mm,126 - 147mm,,,,,,,Bendix,Acoustic,25373,D369 7259,With accessoriesWith anti-squeal shim,
CHEVROLET,ASTRO Extended Passenger Van,09/84,12/94,4.3 AWD,09/89,12/92,112,152,Brake pads,Prime Ceramic,P18004N,,16mm,59 - 76mm,126 - 147mm,,,,,,,Bendix,Acoustic,,D789 7659,With accessoriesWith anti-squeal shimWith piston clip,
CHEVROLET,ASTRO Standard Passenger Van,09/84,12/94,4.3,09/87,12/92,112,152,Brake pads,Prime Ceramic,P10017N,,15mm,59 - 66mm,183 - 197mm,,,,,,,Kelsey Hayes,Acoustic,20215,"D52 7214A, D52 728A",With anti-squeal shim,
CHEVROLET,ASTRO Standard Passenger Van,09/84,12/94,4.3 AWD,09/89,12/92,112,152,Brake pads,Prime Ceramic,P10021N,,17mm,59 - 76mm,126 - 147mm,,,,,,,Bendix,Acoustic,25373,D369 7259,With accessoriesWith anti-squeal shim,
CHEVROLET,ASTRO Standard Passenger Van,09/84,12/94,4.3 AWD,09/89,12/92,112,152,Brake pads,Prime Ceramic,P18004N,,16mm,59 - 76mm,126 - 147mm,,,,,,,Bendix,Acoustic,,D789 7659,With accessoriesWith anti-squeal shimWith piston clip,
CHEVROLET,ASTRO Van,10/84,09/94,4.3,10/84,09/94,119,162,Brake pads,Prime Ceramic,P10017N,,15mm,59 - 66mm,183 - 197mm,,,,,,,Kelsey Hayes,Acoustic,20215,"D52 7214A, D52 728A",With anti-squeal shim,
CHEVROLET,ASTRO Van,10/94,05/05,4.3,10/94,09/95,127,173,Brake pads,Prime Ceramic,P10017N,,15mm,59 - 66mm,183 - 197mm,,,,,,,Kelsey Hayes,Acoustic,20215,"D52 7214A, D52 728A",With anti-squeal shim,
CHEVROLET,AVALANCHE,06/05,12/13,5.3 Flex-Fuel AWD,01/07,12/13,231,314,Brake pads,Prime Ceramic,P09015N,,19mm,60 - 64mm,184mm,,,,,,,Akebono,Acoustic,"22982, 22983, 22984","D1363 8472, D1363 8803",With accessoriesWith anti-squeal shim,,,,
CHEVROLET,AVALANCHE,06/05,12/13,5.3 Flex-Fuel AWD,01/07,12/13,231,314,Brake pads,Prime Ceramic,P10058N,,19mm,60 - 64mm,184mm,,,,,,,Akebono,Acoustic,,D1363 8472,With accessoriesWith anti-squeal shim,,,,
CHEVROLET,AVALANCHE,06/05,12/13,5.3 Flex-Fuel AWD,01/07,12/13,231,314,Brake pads,Prime Ceramic,P10065N,,19mm,60 - 64mm,184mm,,,,,,,Akebono,Acoustic,,"D1363 8472, D1367 8472",With accessoriesWith anti-squeal shim,,,,
CHEVROLET,AVALANCHE,06/05,12/13,5.3 Flex-Fuel AWD,01/07,12/13,231,314,Brake pads,Prime Ceramic,P10045N,,18mm,46mm,143mm,,,,,,,Akebono,Acoustic,,D1194 8312,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
CHEVROLET,AVALANCHE,06/05,12/13,5.3 Flex-Fuel AWD,01/07,12/13,231,314,UPGRADE GT kit,GT | A6 | D,1J1.9017A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,AVALANCHE,06/05,12/13,5.3 Flex-Fuel AWD,01/07,12/13,231,314,UPGRADE GT kit,GT | A6 | TY1,1J2.9017A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,AVALANCHE,06/05,12/13,5.3 Flex-Fuel AWD,01/07,12/13,231,314,UPGRADE GT kit,GT | A6 | TY3,1J3.9017A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,AVALANCHE,06/05,12/13,5.3 Flex-Fuel AWD,01/07,12/13,231,314,UPGRADE GT kit,GT | BM8 | D,1Q1.9602A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
CHEVROLET,AVALANCHE,06/05,12/13,5.3 Flex-Fuel AWD,01/07,12/13,231,314,UPGRADE GT kit,GT | BM8 | TY1,1Q2.9602A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
CHEVROLET,AVALANCHE,06/05,12/13,5.3 Flex-Fuel AWD,01/07,12/13,231,314,UPGRADE GT kit,GT | A4 | D,2H1.9002A_,380mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,AVALANCHE,06/05,12/13,5.3 Flex-Fuel AWD,01/07,12/13,231,314,UPGRADE GT kit,GT | A4 | TY1,2H2.9002A_,380mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,AVALANCHE,06/05,12/13,5.3 Flex-Fuel AWD,01/07,12/13,231,314,UPGRADE GT kit,GT | A4 | TY3,2H3.9002A_,380mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
CHEVROLET,AVALANCHE 1500 Crew Cab Pickup,09/01,12/06,5.3,09/01,12/03,213,290,Brake discs,Prime,09.8192.81,305mm,29mm,58mm,,6,Ventilated,79mm,"27,2mm",,1,,,,,,
CHEVROLET,AVALANCHE 1500 Crew Cab Pickup,09/01,12/06,5.3,09/01,12/03,213,290,Brake discs,Prime,09.8608.81,330mm,30mm,96mm,,6,Ventilated,79mm,"28,5mm",,1,,,,,,
CHEVROLET,AVALANCHE 1500 Crew Cab Pickup,09/01,12/06,5.3,09/01,12/03,213,290,Brake pads,Prime Ceramic,P10027N,,19mm,59mm,178mm,,,,,,,,Acoustic,,D785 7653,With anti-squeal shim,
CHEVROLET,AVALANCHE 1500 Crew Cab Pickup,09/01,12/06,5.3,09/01,12/03,213,290,Brake pads,Prime Ceramic,P10040N,,17mm,61mm,184mm,,,,,,,,Acoustic,23992,D975 7707,With anti-squeal shim,
CHEVROLET,AVALANCHE 1500 Crew Cab Pickup,09/01,12/06,5.3 4WD,09/01,12/03,213,290,Brake discs,Prime,09.8192.81,305mm,29mm,58mm,,6,Ventilated,79mm,"27,2mm",,1,,,,,,
CHEVROLET,AVALANCHE 1500 Crew Cab Pickup,09/01,12/06,5.3 4WD,09/01,12/03,213,290,Brake discs,Prime,09.8608.81,330mm,30mm,96mm,,6,Ventilated,79mm,"28,5mm",,1,,,,,,
CHEVROLET,AVALANCHE 1500 Crew Cab Pickup,09/01,12/06,5.3 4WD,09/01,12/03,213,290,Brake pads,Prime Ceramic,P10027N,,19mm,59mm,178mm,,,,,,,,Acoustic,,D785 7653,With anti-squeal shim,
CHEVROLET,AVALANCHE 1500 Crew Cab Pickup,09/01,12/06,5.3 4WD,09/01,12/03,213,290,Brake pads,Prime Ceramic,P10040N,,17mm,61mm,184mm,,,,,,,,Acoustic,23992,D975 7707,With anti-squeal shim,
CHEVROLET,AVALANCHE 1500 Crew Cab Pickup,09/01,12/06,5.3 Flexfuel,09/01,12/06,219,298,Brake pads,Prime Ceramic,P10027N,,19mm,59mm,178mm,,,,,,,,Acoustic,,D785 7653,With anti-squeal shim,
CHEVROLET,AVALANCHE 1500 Crew Cab Pickup,09/01,12/06,5.3 Flexfuel,09/01,12/06,219,298,Brake pads,Prime Ceramic,P10040N,,17mm,61mm,184mm,,,,,,,,Acoustic,23992,D975 7707,With anti-squeal shim,
CHEVROLET,AVALANCHE 1500 Crew Cab Pickup,09/01,12/06,5.3 Flexfuel 4WD,09/01,12/06,219,298,Brake pads,Prime Ceramic,P10027N,,19mm,59mm,178mm,,,,,,,,Acoustic,,D785 7653,With anti-squeal shim,
CHEVROLET,AVALANCHE 1500 Crew Cab Pickup,09/01,12/06,5.3 Flexfuel 4WD,09/01,12/06,219,298,Brake pads,Prime Ceramic,P10040N,,17mm,61mm,184mm,,,,,,,,Acoustic,23992,D975 7707,With anti-squeal shim,
CHEVROLET,AVALANCHE 2500 Crew Cab Pickup,09/01,12/06,8.1 4WD,09/01,12/03,254,345,Brake pads,Prime Ceramic,P10040N,,17mm,61mm,184mm,,,,,,,,Acoustic,23992,D975 7707,With anti-squeal shim,,,,
CHEVROLET,AVALANCHE 2500 Crew Cab Pickup,09/01,12/06,8.1 4WD,09/01,12/03,254,345,UPGRADE GT kit,GT | A6 | D,1J1.9001A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,AVALANCHE 2500 Crew Cab Pickup,09/01,12/06,8.1 4WD,09/01,12/03,254,345,UPGRADE GT kit,GT | A6 | TY1,1J2.9001A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,AVALANCHE 2500 Crew Cab Pickup,09/01,12/06,8.1 4WD,09/01,12/03,254,345,UPGRADE GT kit,GT | A6 | TY3,1J3.9001A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
CHEVROLET,AVALANCHE 2500 Crew Cab Pickup,09/01,12/06,8.1 4WD,09/03,12/05,239,325,Brake pads,Prime Ceramic,P10027N,,19mm,59mm,178mm,,,,,,,,Acoustic,,D785 7653,With anti-squeal shim,,,,
