brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
CHRYSLER,300C (LX),09/10,>,3.0 CRD,09/11,12/23,176,239,Brake discs,Prime,09.A402.11,320mm,28mm,55mm,,5,Ventilated,73mm,"26,5mm",,1,,,,,,
CHRYSLER,300C (LX),09/10,>,3.0 CRD,09/11,12/23,176,239,Brake discs,Prime,09.A404.11,345mm,28mm,55mm,,5,Ventilated,73mm,"26,5mm",,1,,,,,,
CHRYSLER,300C (LX),09/10,>,3.0 CRD,09/11,12/23,176,239,Brake discs,Prime,09.A183.21,360mm,32mm,58mm,,5,Ventilated,73mm,30mm,,1,,,,,,
CHRYSLER,300C (LX),09/10,>,3.0 CRD,09/11,12/23,176,239,Brake discs,Prime,08.A403.11,320mm,10mm,67mm,,5,Solid,73mm,"8,5mm",,2,,,,,,
CHRYSLER,300C (LX),09/10,>,3.0 CRD,09/11,12/23,176,239,Brake discs,Prime,09.A405.11,320mm,22mm,67mm,,5,Ventilated,73mm,"20,5mm",,2,,,,,,
CHRYSLER,300C (LX),09/10,>,3.0 CRD,09/11,12/23,176,239,Brake discs,Prime,09.A182.11,350mm,28mm,68mm,,5,Ventilated,73mm,26mm,,1,,,,,,
CHRYSLER,300C (LX),09/10,>,3.0 CRD,09/11,12/23,176,239,Brake discs,Prime,09.A182.21,350mm,28mm,68mm,,5,Ventilated,73mm,26mm,,1,,,,,,
CHRYSLER,300C (LX),09/10,>,3.0 CRD,09/11,12/23,176,239,Brake pads,Prime,P 11 019,,19mm,56mm,150mm,,,,,,,Bosch,Acoustic,24166,D1056 7962,With anti-squeal shim,
CHRYSLER,300C (LX),09/10,>,3.0 CRD,09/11,12/23,176,239,Brake pads,Prime Ceramic,P11019N,,19mm,56mm,150mm,,,,,,,Bosch,Acoustic,24166,D1056 7962,With anti-squeal shim,
CHRYSLER,300C (LX),09/10,>,3.0 CRD,09/11,12/23,176,239,Brake pads,Prime,P 11 017,,18mm,55mm,183mm,,,,,,,Bosch,Acoustic,24164,"D1058 7965, D1058 8236",With anti-squeal shim,
CHRYSLER,300C (LX),09/10,>,3.0 CRD,09/11,12/23,176,239,Brake pads,Prime Ceramic,P11017N,,18mm,55mm,183mm,,,,,,,Bosch,Acoustic,24164,"D1058 7965, D1058 8236",With anti-squeal shim,
