brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
CITROËN,AMI,01/63,12/77,10 Super (AM3),03/73,12/77,40,54,Brake discs,Prime,08.2613.10,269mm,9mm,29mm,,3,Solid,87mm,7mm,,2,,,,,,
CITROËN,AMI Break,05/68,12/77,10 Super (AM3),03/73,12/77,40,54,Brake discs,Prime,08.2613.10,269mm,9mm,29mm,,3,Solid,87mm,7mm,,2,,,,,,
CITROËN,AX (ZA-_),07/86,12/98,14 (ZA),04/87,04/97,55,75,Brake discs,Max,08.4929.75,238mm,8mm,29mm,,3,Solid,57mm,6mm,90Nm,2,,,,,,
CITROËN,AX (ZA-_),07/86,12/98,14 (ZA),04/87,04/97,55,75,Brake discs,Prime,08.5265.10,258mm,10mm,29mm,,3,Solid,57mm,9mm,,2,,,,,,
CITROËN,AX (ZA-_),07/86,12/98,Assembly kit,04/87,04/97,55,75,Brake pad accessories,Prime,A 02 229,,,,,,,,,,,Teves,,,,,
CITROËN,AX (ZA-_),07/86,12/98,Assembly kit,04/87,04/97,55,75,Brake pad accessories,Prime,A 02 230,,,,,,,,,,,Bendix,,,,,
CITROËN,AX (ZA-_),07/86,12/98,14 GT,01/89,12/91,59,80,Brake discs,Prime,09.5196.11,247mm,"20,4mm",34mm,,4,Ventilated,66mm,"18,5mm",90Nm,2,,,,,,
CITROËN,AX (ZA-_),07/86,12/98,14 GT,01/89,12/91,59,80,Brake discs,Prime,09.9610.11,247mm,"20,4mm",34mm,,4,Ventilated,66mm,"18,5mm",85Nm,2,,,,,,
CITROËN,BERLINGO / BERLINGO FIRST Box Body/MPV (M_),07/96,12/11,"1.4 BiFuel (MBKFXB, MCKFXB)",07/96,10/02,55,75,Brake discs,Prime,08.7238.11,266mm,13mm,27mm,,4,Solid,66mm,11mm,90Nm,2,,,,,,
CITROËN,BERLINGO / BERLINGO FIRST Box Body/MPV (M_),07/96,12/11,"1.4 BiFuel (MBKFXB, MCKFXB)",07/96,10/02,55,75,Brake discs,Prime,09.4987.21,266mm,"20,5mm",27mm,,4,Ventilated,66mm,"18,6mm",90Nm,2,,,,,,
CITROËN,BERLINGO / BERLINGO FIRST Box Body/MPV (M_),07/96,12/11,"1.4 BiFuel (MBKFXB, MCKFXB)",07/96,10/02,55,75,Brake discs,Prime,09.8695.11,266mm,22mm,34mm,,4,Ventilated,66mm,20mm,90Nm,2,,,,,,
CITROËN,BERLINGO / BERLINGO FIRST Box Body/MPV (M_),07/96,12/11,"1.4 BiFuel (MBKFXB, MCKFXB)",07/96,10/02,55,75,Brake discs,Max,09.8695.75,266mm,22mm,34mm,,4,Ventilated,66mm,20mm,90Nm,2,,,,,,
