brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,directional,length
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,09/18,>,221,300,Brake discs,Prime,09.A200.11,310mm,22mm,48mm,,5,Ventilated,65mm,20mm,120Nm,2,,,,,,,,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,09/18,>,221,300,Brake discs,Xtra,09.A200.1X,310mm,22mm,48mm,,5,Ventilated,65mm,20mm,120Nm,2,,,,,,,,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,09/18,>,221,300,Brake discs,Prime,09.C306.11,340mm,30mm,50mm,,5,Ventilated,65mm,27mm,,1,,,,,,,,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,09/18,>,221,300,Brake discs,Xtra,09.C306.1X,340mm,30mm,50mm,,5,Ventilated,65mm,27mm,,1,,,,,,,,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,09/18,>,221,300,Brake pads,Prime,P 85 159,,16mm,77mm,132mm,,,,,,,Brembo,Prepared for wear indicator,25145,,With anti-squeal shim,,Yes,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,09/18,>,221,300,Brake pads,Prime Ceramic,P85159N,,16mm,77mm,132mm,,,,,,,Brembo,Prepared for wear indicator,25145,,With anti-squeal shim,,Yes,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,09/18,>,221,300,Brake pads,Prime,P 85 144,,20mm,70mm,175mm,,,,,,,TRW,Electric,"24738, 25217",D1633 8849,With accessoriesWith anti-squeal shimWith brake caliper bolts,,Yes,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,09/18,>,221,300,Brake pads,Prime Ceramic,P85144N,,20mm,70mm,175mm,,,,,,,TRW,Electric,"24738, 25217",D1633 8849,With accessoriesWith anti-squeal shimWith brake caliper bolts,,Yes,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,09/18,>,221,300,Brake pads,Xtra,P 85 144X,,20mm,70mm,175mm,,,,,,,TRW,Electric,"24738, 25217",D1633 8849,With accessoriesWith anti-squeal shimWith brake caliper bolts,,Yes,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,09/18,>,221,300,Brake pads,Prime,P 85 124,,16mm,56 - 61mm,123mm,,,,,,,Teves,Without,"25009, 25011",D1761 8996,With accessoriesWith anti-squeal shim,,,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,09/18,>,221,300,Brake pads,Prime Ceramic,P85124N,,16mm,56 - 61mm,123mm,,,,,,,Teves,Without,"25009, 25011",D1761 8996,With accessoriesWith anti-squeal shim,,,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,09/18,>,221,300,Brake pads,Xtra,P 85 124X,,16mm,56 - 61mm,123mm,,,,,,,Teves,Without,"25009, 25011",D1761 8996,With accessoriesWith anti-squeal shim,,,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,09/18,>,221,300,Brake pads,Xtra Ceramic,P85124NX,,16mm,56 - 61mm,123mm,,,,,,,Teves,Without,"25009, 25011",D1761 8996,With accessoriesWith anti-squeal shim,,,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,Wear indicator,09/18,>,221,300,Brake pad accessories,Prime,A 00 492,,,,,,,,,,,,,,,,,,170mm
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,06/23,>,140,190,Brake discs,Prime,09.A200.11,310mm,22mm,48mm,,5,Ventilated,65mm,20mm,120Nm,2,,,,,,,,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,06/23,>,140,190,Brake discs,Xtra,09.A200.1X,310mm,22mm,48mm,,5,Ventilated,65mm,20mm,120Nm,2,,,,,,,,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,06/23,>,140,190,Brake discs,Prime,09.C306.11,340mm,30mm,50mm,,5,Ventilated,65mm,27mm,,1,,,,,,,,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,06/23,>,140,190,Brake discs,Xtra,09.C306.1X,340mm,30mm,50mm,,5,Ventilated,65mm,27mm,,1,,,,,,,,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,06/23,>,140,190,Brake pads,Prime,P 85 126,,20mm,65mm,160mm,,,,,,,TRW,Electric,"25683, 25684",D1760 8989,With accessoriesWith anti-squeal shimWith brake caliper bolts,,Yes,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,06/23,>,140,190,Brake pads,Prime Ceramic,P85126N,,20mm,65mm,160mm,,,,,,,TRW,Electric,"25683, 25684",D1760 8989,With accessoriesWith anti-squeal shimWith brake caliper bolts,,Yes,
CUPRA,"ATECA (KH7, KHP, KBP)",09/18,>,2.0 TSI 4Drive,06/23,>,140,190,Brake pads,Xtra,P 85 126X,,20mm,65mm,160mm,,,,,,,TRW,Electric,"25683, 25684",D1760 8989,With accessoriesWith anti-squeal shimWith brake caliper bolts,,Yes,
