brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
DAEWOO,CIELO,06/94,12/07,1.5,06/94,07/98,66,90,Brake pads,Prime,P 59 017,,18mm,53mm,156mm,,,,,,,Teves,Prepared for wear indicator,"21190, 21862",D796 7666,With accessoriesWith anti-squeal shimWith piston clip,
DAEWOO,CIELO,06/94,12/07,1.5,06/94,07/98,66,90,Brake pads,Prime Ceramic,P59017N,,18mm,53mm,156mm,,,,,,,Teves,Prepared for wear indicator,"21190, 21862",D796 7666,With accessoriesWith anti-squeal shimWith piston clip,
DAEWOO,CIELO,06/94,12/07,1.5,04/95,12/02,55,75,Brake pads,Prime,P 59 017,,18mm,53mm,156mm,,,,,,,Teves,Prepared for wear indicator,"21190, 21862",D796 7666,With accessoriesWith anti-squeal shimWith piston clip,
DAEWOO,CIELO,06/94,12/07,1.5,04/95,12/02,55,75,Brake pads,Prime Ceramic,P59017N,,18mm,53mm,156mm,,,,,,,Teves,Prepared for wear indicator,"21190, 21862",D796 7666,With accessoriesWith anti-squeal shimWith piston clip,
DAEWOO,ESPERO (KLEJ),10/91,09/99,2.0,02/95,06/99,77,105,Brake discs,Prime,09.7820.10,256mm,24mm,47mm,,4,Ventilated,60mm,22mm,80Nm,2,,,,,,,
DAEWOO,ESPERO (KLEJ),10/91,09/99,2.0,02/95,06/99,77,105,Brake pads,Prime,P 10 032,,17mm,51mm,143mm,,,,,,,Akebono,Acoustic,20065,D1035 7779,With anti-squeal shim,,
DAEWOO,ESPERO (KLEJ),10/91,09/99,2.0,02/95,06/99,77,105,Brake pads,Prime Ceramic,P10032N,,17mm,51mm,143mm,,,,,,,Akebono,Acoustic,20065,D1035 7779,With anti-squeal shim,,
DAEWOO,ESPERO (KLEJ),10/91,09/99,2.0,02/95,06/99,77,105,Brake pads,Prime,P 15 002,,17mm,51mm,143mm,,,,,,,Akebono,Acoustic,"23234, 23235, 23236","D1035 8935, D797 7667, D797 7668, D902 7779",With anti-squeal shim,,
DAEWOO,ESPERO (KLEJ),10/91,09/99,2.0,02/95,06/99,77,105,Brake pads,Prime Ceramic,P15002N,,17mm,51mm,143mm,,,,,,,Akebono,Acoustic,"23234, 23235, 23236","D1035 8935, D797 7667, D797 7668, D902 7779",With anti-squeal shim,,
DAEWOO,ESPERO (KLEJ),10/91,09/99,2.0,02/95,06/99,77,105,Brake pads,Prime,P 59 017,,18mm,53mm,156mm,,,,,,,Teves,Prepared for wear indicator,"21190, 21862",D796 7666,With accessoriesWith anti-squeal shimWith piston clip,,
DAEWOO,ESPERO (KLEJ),10/91,09/99,2.0,02/95,06/99,77,105,Brake pads,Prime Ceramic,P59017N,,18mm,53mm,156mm,,,,,,,Teves,Prepared for wear indicator,"21190, 21862",D796 7666,With accessoriesWith anti-squeal shimWith piston clip,,
DAEWOO,ESPERO (KLEJ),10/91,09/99,Wear indicator,02/95,06/99,77,105,Brake pad accessories,Prime,A 00 260,,,,,,,,,,,,,,,,,660mm
DAEWOO,KALOS (KLAS),09/02,>,1.5,11/02,12/04,62,84,Brake discs,Prime,09.3090.21,236mm,20mm,41mm,,4,Ventilated,59mm,18mm,120Nm,2,,,,,,
DAEWOO,KALOS (KLAS),09/02,>,1.5,11/02,12/04,62,84,Brake pads,Prime,P 10 057,,18mm,49mm,133mm,,,,,,,Akebono,Acoustic,"23974, 25295, 25296",,With anti-squeal shim,
DAEWOO,KALOS (KLAS),09/02,>,1.5,11/02,12/04,62,84,Brake pads,Prime Ceramic,P10057N,,18mm,49mm,133mm,,,,,,,Akebono,Acoustic,"23974, 25295, 25296",,With anti-squeal shim,
DAEWOO,KALOS (KLAS),09/02,>,1.5,11/02,12/04,62,84,Brake pads,Prime,P 24 048,,18mm,49mm,133mm,,,,,,,Akebono,Without,23974,D1269 8385,With anti-squeal shim,
DAEWOO,KALOS (KLAS),09/02,>,1.5,11/02,12/04,62,84,Brake pads,Prime Ceramic,P24048N,,18mm,49mm,133mm,,,,,,,Akebono,Without,23974,D1269 8385,With anti-squeal shim,
DAEWOO,KALOS Saloon (KLAS),11/02,12/04,1.5,11/02,12/04,62,84,Brake discs,Prime,09.3090.21,236mm,20mm,41mm,,4,Ventilated,59mm,18mm,120Nm,2,,,,,,
DAEWOO,KALOS Saloon (KLAS),11/02,12/04,1.5,11/02,12/04,62,84,Brake pads,Prime,P 10 057,,18mm,49mm,133mm,,,,,,,Akebono,Acoustic,"23974, 25295, 25296",,With anti-squeal shim,
DAEWOO,KALOS Saloon (KLAS),11/02,12/04,1.5,11/02,12/04,62,84,Brake pads,Prime Ceramic,P10057N,,18mm,49mm,133mm,,,,,,,Akebono,Acoustic,"23974, 25295, 25296",,With anti-squeal shim,
DAEWOO,KALOS Saloon (KLAS),11/02,12/04,1.5,11/02,12/04,62,84,Brake pads,Prime,P 24 048,,18mm,49mm,133mm,,,,,,,Akebono,Without,23974,D1269 8385,With anti-squeal shim,
DAEWOO,KALOS Saloon (KLAS),11/02,12/04,1.5,11/02,12/04,62,84,Brake pads,Prime Ceramic,P24048N,,18mm,49mm,133mm,,,,,,,Akebono,Without,23974,D1269 8385,With anti-squeal shim,
DAEWOO,KORANDO (KJ),11/98,>,3.2 4x4,01/99,>,156,212,Brake discs,Prime,09.A330.11,278mm,24mm,40mm,,6,Ventilated,88mm,22mm,110Nm,2,,,,,,
DAEWOO,KORANDO (KJ),11/98,>,3.2 4x4,01/99,>,156,212,Brake discs,Prime,08.A329.11,299mm,"10,4mm",68mm,,6,Solid,106mm,"8,5mm",110Nm,2,,,,,,
DAEWOO,KORANDO (KJ),11/98,>,3.2 4x4,01/99,>,156,212,Brake pads,Prime,P 15 003,,16mm,50 - 59mm,170mm,,,,,,,Lucas,Electric,"23230, 23231, 23232, 23233",,With accessoriesWith anti-squeal shimWith piston clip,
DAEWOO,KORANDO (KJ),11/98,>,3.2 4x4,01/99,>,156,212,Brake pads,Prime Ceramic,P15003N,,16mm,50 - 59mm,170mm,,,,,,,Lucas,Electric,"23230, 23231, 23232, 23233",,With accessoriesWith anti-squeal shimWith piston clip,
DAEWOO,KORANDO (KJ),11/98,>,3.2 4x4,01/99,>,156,212,Brake pads,Prime,P 15 004,,14mm,55mm,114mm,,,,,,,Lucas,Acoustic,"23242, 23243, 23244","D217 7138, D413 7301",With accessoriesWith anti-squeal shimWith brake caliper bolts,
DAEWOO,KORANDO (KJ),11/98,>,3.2 4x4,01/99,>,156,212,Brake pads,Prime Ceramic,P15004N,,14mm,55mm,114mm,,,,,,,Lucas,Acoustic,"23242, 23243, 23244","D217 7138, D413 7301",With accessoriesWith anti-squeal shimWith brake caliper bolts,
DAEWOO,KORANDO (KJ),11/98,>,3.2 4x4,01/99,>,156,212,Brake pads,Prime,P 15 005,,15mm,55mm,114mm,,,,,,,Lucas,Without,23237,"D724 7591, D724 7669",With accessoriesWith anti-squeal shimWith brake caliper bolts,
DAEWOO,KORANDO (KJ),11/98,>,3.2 4x4,01/99,>,156,212,Brake pads,Prime Ceramic,P15005N,,15mm,55mm,114mm,,,,,,,Lucas,Without,23237,"D724 7591, D724 7669",With accessoriesWith anti-squeal shimWith brake caliper bolts,
DAEWOO,KORANDO (KJ),11/98,>,3.2 4x4,11/98,12/00,161,219,Brake discs,Prime,09.A330.11,278mm,24mm,40mm,,6,Ventilated,88mm,22mm,110Nm,2,,,,,,
DAEWOO,KORANDO (KJ),11/98,>,3.2 4x4,11/98,12/00,161,219,Brake discs,Prime,08.A329.11,299mm,"10,4mm",68mm,,6,Solid,106mm,"8,5mm",110Nm,2,,,,,,
DAEWOO,LACETTI Saloon (J200),06/02,12/09,1.8 CDX,08/03,12/04,90,122,Brake discs,Prime,09.9483.11,256mm,24mm,48mm,,4,Ventilated,60mm,22mm,110Nm,2,,,,,,
DAEWOO,LACETTI Saloon (J200),06/02,12/09,1.8 CDX,08/03,12/04,90,122,Brake discs,Prime,08.A872.11,258mm,"10,5mm",57mm,,4,Solid,60mm,8mm,100Nm,2,,,,,,
DAEWOO,LACETTI Saloon (J200),06/02,12/09,1.8 CDX,08/03,12/04,90,122,Brake pads,Prime,P 15 002,,17mm,51mm,143mm,,,,,,,Akebono,Acoustic,"23234, 23235, 23236","D1035 8935, D797 7667, D797 7668, D902 7779",With anti-squeal shim,
