brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
DAIHATSU,55 WIDE Pick-up,04/80,04/83,0.5 (S60),04/80,04/83,20,27,Brake pads,Prime,P 16 003,,13mm,64mm,79mm,,,,,,,Sumitomo,Without,20780,D456 7336,With anti-squeal shim,
DAIHATSU,55 WIDE Pick-up,04/80,04/83,0.5 (S60),04/80,04/83,20,27,Brake pads,Prime Ceramic,P16003N,,13mm,64mm,79mm,,,,,,,Sumitomo,Without,20780,D456 7336,With anti-squeal shim,
DAIHATSU,55 WIDE Platform/Chassis,04/80,04/83,0.5 (S60),04/80,04/83,20,27,Brake pads,Prime,P 16 003,,13mm,64mm,79mm,,,,,,,Sumitomo,Without,20780,D456 7336,With anti-squeal shim,
DAIHATSU,55 WIDE Platform/Chassis,04/80,04/83,0.5 (S60),04/80,04/83,20,27,Brake pads,Prime Ceramic,P16003N,,13mm,64mm,79mm,,,,,,,Sumitomo,Without,20780,D456 7336,With anti-squeal shim,
DAIHATSU,55 WIDE Van,09/77,04/83,0.5 (S60),09/77,04/83,20,27,Brake pads,Prime,P 16 003,,13mm,64mm,79mm,,,,,,,Sumitomo,Without,20780,D456 7336,With anti-squeal shim,
DAIHATSU,55 WIDE Van,09/77,04/83,0.5 (S60),09/77,04/83,20,27,Brake pads,Prime Ceramic,P16003N,,13mm,64mm,79mm,,,,,,,Sumitomo,Without,20780,D456 7336,With anti-squeal shim,
DAIHATSU,"APPLAUSE I Hatchback (A101, A111)",06/89,07/97,1.6 16V (A101),06/89,07/97,77,105,Brake discs,Prime,09.6748.10,234mm,18mm,47mm,,4,Ventilated,56mm,17mm,103Nm,2,,,,,,
DAIHATSU,"APPLAUSE I Hatchback (A101, A111)",06/89,07/97,1.6 16V (A101),06/89,07/97,77,105,Brake pads,Prime Ceramic,P16005N,,14mm,47mm,103mm,,,,,,,Akebono,Acoustic,"21338, 21339, 21340",D456 7336,With accessoriesWith anti-squeal shimWith piston clip,
DAIHATSU,"APPLAUSE I Hatchback (A101, A111)",06/89,07/97,1.6 16V (A101),06/89,07/97,77,105,Brake pads,Prime,P 49 015,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
DAIHATSU,"APPLAUSE I Hatchback (A101, A111)",06/89,07/97,1.6 16V (A101),06/89,07/97,77,105,Brake pads,Prime Ceramic,P49015N,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
DAIHATSU,APPLAUSE II Hatchback (A101),07/97,05/00,1.6 16V (A101),07/97,05/00,73,99,Brake discs,Prime,09.6748.10,234mm,18mm,47mm,,4,Ventilated,56mm,17mm,103Nm,2,,,,,,
DAIHATSU,APPLAUSE II Hatchback (A101),07/97,05/00,1.6 16V (A101),07/97,05/00,73,99,Brake pads,Prime Ceramic,P16005N,,14mm,47mm,103mm,,,,,,,Akebono,Acoustic,"21338, 21339, 21340",D456 7336,With accessoriesWith anti-squeal shimWith piston clip,
DAIHATSU,APPLAUSE II Hatchback (A101),07/97,05/00,1.6 16V (A101),07/97,05/00,73,99,Brake pads,Prime,P 49 015,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
DAIHATSU,APPLAUSE II Hatchback (A101),07/97,05/00,1.6 16V (A101),07/97,05/00,73,99,Brake pads,Prime Ceramic,P49015N,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
DAIHATSU,CHARADE I (G10),10/77,05/84,1.0,02/81,02/83,38,52,Brake discs,Prime,08.5876.10,208mm,10mm,39mm,,4,Solid,47mm,9mm,,2,,,,,,
DAIHATSU,"CHARADE II (G11, G30)",01/83,05/87,1.0 (G11),10/83,03/87,38,52,Brake discs,Prime,08.5877.10,208mm,11mm,28mm,,4,Solid,47mm,10mm,,2,,,,,,
DAIHATSU,"CHARADE II (G11, G30)",01/83,05/87,"1.0 Turbo (G11, G11R)",10/83,03/87,50,68,Brake discs,Prime,08.5877.10,208mm,11mm,28mm,,4,Solid,47mm,10mm,,2,,,,,,
DAIHATSU,"CHARADE III (G100, G101, G102)",01/87,07/93,1.0 (G100),03/87,12/92,38,52,Brake discs,Prime,08.5878.20,234mm,11mm,47mm,,4,Solid,56mm,10mm,103Nm,2,,,,,,
DAIHATSU,"CHARADE III (G100, G101, G102)",01/87,07/93,1.0 (G100),03/87,12/92,38,52,Brake discs,Prime,09.D134.10,234mm,16mm,37mm,,4,Ventilated,70mm,15mm,,2,,,,,,
DAIHATSU,"CHARADE III (G100, G101, G102)",01/87,07/93,1.0 (G100),03/87,12/92,38,52,Brake pads,Prime Ceramic,P16005N,,14mm,47mm,103mm,,,,,,,Akebono,Acoustic,"21338, 21339, 21340",D456 7336,With accessoriesWith anti-squeal shimWith piston clip,
DAIHATSU,"CHARADE III (G100, G101, G102)",01/87,07/93,1.0 Turbo (G100),03/87,10/90,50,68,Brake discs,Prime,08.5878.20,234mm,11mm,47mm,,4,Solid,56mm,10mm,103Nm,2,,,,,,
DAIHATSU,"CHARADE III (G100, G101, G102)",01/87,07/93,1.0 Turbo (G100),03/87,10/90,50,68,Brake discs,Prime,09.D134.10,234mm,16mm,37mm,,4,Ventilated,70mm,15mm,,2,,,,,,
DAIHATSU,"CHARADE III (G100, G101, G102)",01/87,07/93,1.0 Turbo (G100),03/87,10/90,50,68,Brake pads,Prime Ceramic,P16005N,,14mm,47mm,103mm,,,,,,,Akebono,Acoustic,"21338, 21339, 21340",D456 7336,With accessoriesWith anti-squeal shimWith piston clip,
DAIHATSU,"CHARADE III (G100, G101, G102)",01/87,07/93,1.3 i (G102),06/88,12/92,66,90,Brake discs,Prime,08.5878.20,234mm,11mm,47mm,,4,Solid,56mm,10mm,103Nm,2,,,,,,
DAIHATSU,"CHARADE III (G100, G101, G102)",01/87,07/93,1.3 i (G102),06/88,12/92,66,90,Brake discs,Prime,09.6748.10,234mm,18mm,47mm,,4,Ventilated,56mm,17mm,103Nm,2,,,,,,
DAIHATSU,"CHARADE III (G100, G101, G102)",01/87,07/93,1.3 i (G102),06/88,12/92,66,90,Brake discs,Prime,09.D134.10,234mm,16mm,37mm,,4,Ventilated,70mm,15mm,,2,,,,,,
DAIHATSU,"CHARADE III (G100, G101, G102)",01/87,07/93,1.3 i (G102),06/88,12/92,66,90,Brake pads,Prime Ceramic,P16005N,,14mm,47mm,103mm,,,,,,,Akebono,Acoustic,"21338, 21339, 21340",D456 7336,With accessoriesWith anti-squeal shimWith piston clip,
DAIHATSU,CHARADE III Saloon (G102),01/87,07/93,1.3,11/90,02/93,66,90,Brake discs,Prime,09.6748.10,234mm,18mm,47mm,,4,Ventilated,56mm,17mm,103Nm,2,,,,,,
DAIHATSU,CHARADE III Saloon (G102),01/87,07/93,1.3,11/90,02/93,66,90,Brake discs,Prime,09.D134.10,234mm,16mm,37mm,,4,Ventilated,70mm,15mm,,2,,,,,,
