brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
DAIMLER,2.8 - 5.3,10/69,02/93,3.6,10/86,09/89,156,212,Brake discs,Prime,09.3825.10,284mm,"24,2mm",60mm,,5,Ventilated,83mm,"22,9mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,3.6,10/86,09/89,156,212,Brake discs,Prime,08.2557.40,264mm,13mm,26mm,,4,Solid,70mm,"11,4mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,3.6,10/86,09/89,156,212,Brake pads,Prime Ceramic,P68012N,,16mm,71mm,120mm,,,,,,,Lucas,Electric,"20380, 21110",D135 7067,With anti-squeal shim,
DAIMLER,2.8 - 5.3,10/69,02/93,Double Six / Vanden 5.3,07/72,09/73,198,269,Brake pads,Prime Ceramic,P68012N,,16mm,71mm,120mm,,,,,,,Lucas,Electric,"20380, 21110",D135 7067,With anti-squeal shim,
DAIMLER,2.8 - 5.3,10/69,02/93,Double Six / Vanden 5.3,09/73,05/75,186,253,Brake discs,Prime,09.3825.10,284mm,"24,2mm",60mm,,5,Ventilated,83mm,"22,9mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,Double Six / Vanden 5.3,09/73,05/75,186,253,Brake discs,Prime,08.2557.10,264mm,"12,7mm",26mm,,4,Solid,70mm,"11,4mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,Double Six / Vanden 5.3,09/73,05/75,186,253,Brake pads,Prime Ceramic,P68012N,,16mm,71mm,120mm,,,,,,,Lucas,Electric,"20380, 21110",D135 7067,With anti-squeal shim,
DAIMLER,2.8 - 5.3,10/69,02/93,Double Six 5.3,05/75,07/81,211,287,Brake discs,Prime,09.3825.10,284mm,"24,2mm",60mm,,5,Ventilated,83mm,"22,9mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,Double Six 5.3,05/75,07/81,211,287,Brake discs,Prime,08.2557.10,264mm,"12,7mm",26mm,,4,Solid,70mm,"11,4mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,Double Six 5.3,05/75,07/81,211,287,Brake pads,Prime Ceramic,P68012N,,16mm,71mm,120mm,,,,,,,Lucas,Electric,"20380, 21110",D135 7067,With anti-squeal shim,
DAIMLER,2.8 - 5.3,10/69,02/93,Double Six 5.3,10/86,02/93,194,264,Brake discs,Prime,09.3825.10,284mm,"24,2mm",60mm,,5,Ventilated,83mm,"22,9mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,Double Six 5.3,10/86,02/93,194,264,Brake discs,Prime,08.2557.10,264mm,"12,7mm",26mm,,4,Solid,70mm,"11,4mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,Double Six 5.3,10/86,02/93,194,264,Brake pads,Prime Ceramic,P68012N,,16mm,71mm,120mm,,,,,,,Lucas,Electric,"20380, 21110",D135 7067,With anti-squeal shim,
DAIMLER,2.8 - 5.3,10/69,02/93,Double Six 5.3,07/81,02/93,197,268,Brake pads,Prime Ceramic,P68012N,,16mm,71mm,120mm,,,,,,,Lucas,Electric,"20380, 21110",D135 7067,With anti-squeal shim,
DAIMLER,2.8 - 5.3,10/69,02/93,Double Six H.E. 5.3,07/81,10/86,217,295,Brake pads,Prime Ceramic,P68012N,,16mm,71mm,120mm,,,,,,,Lucas,Electric,"20380, 21110",D135 7067,With anti-squeal shim,
DAIMLER,2.8 - 5.3,10/69,02/93,Sovereign 2.8,10/69,05/75,110,149,Brake pads,Prime Ceramic,P68012N,,16mm,71mm,120mm,,,,,,,Lucas,Electric,"20380, 21110",D135 7067,With anti-squeal shim,
DAIMLER,2.8 - 5.3,10/69,02/93,Sovereign 3.4,05/75,12/78,120,163,Brake discs,Prime,09.3825.10,284mm,"24,2mm",60mm,,5,Ventilated,83mm,"22,9mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,Sovereign 3.4,05/75,12/78,120,163,Brake discs,Prime,08.2557.10,264mm,"12,7mm",26mm,,4,Solid,70mm,"11,4mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,Sovereign 3.4,05/75,12/78,120,163,Brake pads,Prime Ceramic,P68012N,,16mm,71mm,120mm,,,,,,,Lucas,Electric,"20380, 21110",D135 7067,With anti-squeal shim,
DAIMLER,2.8 - 5.3,10/69,02/93,Sovereign 4.2,10/69,09/73,137,186,Brake pads,Prime Ceramic,P68012N,,16mm,71mm,120mm,,,,,,,Lucas,Electric,"20380, 21110",D135 7067,With anti-squeal shim,
DAIMLER,2.8 - 5.3,10/69,02/93,Sovereign 4.2,06/76,03/79,124,169,Brake discs,Prime,09.3825.10,284mm,"24,2mm",60mm,,5,Ventilated,83mm,"22,9mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,Sovereign 4.2,06/76,03/79,124,169,Brake discs,Prime,08.2557.10,264mm,"12,7mm",26mm,,4,Solid,70mm,"11,4mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,Sovereign 4.2,06/76,03/79,124,169,Brake pads,Prime Ceramic,P68012N,,16mm,71mm,120mm,,,,,,,Lucas,Electric,"20380, 21110",D135 7067,With anti-squeal shim,
DAIMLER,2.8 - 5.3,10/69,02/93,Sovereign 4.2,09/73,03/79,127,173,Brake discs,Prime,09.3825.10,284mm,"24,2mm",60mm,,5,Ventilated,83mm,"22,9mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,Sovereign 4.2,09/73,03/79,127,173,Brake discs,Prime,08.2557.10,264mm,"12,7mm",26mm,,4,Solid,70mm,"11,4mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,Sovereign 4.2,09/73,03/79,127,173,Brake pads,Prime Ceramic,P68012N,,16mm,71mm,120mm,,,,,,,Lucas,Electric,"20380, 21110",D135 7067,With anti-squeal shim,
DAIMLER,2.8 - 5.3,10/69,02/93,Sovereign 4.2,03/79,10/86,151,205,Brake discs,Prime,09.3825.10,284mm,"24,2mm",60mm,,5,Ventilated,83mm,"22,9mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,Sovereign 4.2,03/79,10/86,151,205,Brake discs,Prime,08.2557.10,264mm,"12,7mm",26mm,,4,Solid,70mm,"11,4mm",90Nm,2,,,,,,
DAIMLER,2.8 - 5.3,10/69,02/93,Sovereign 4.2,03/79,10/86,151,205,Brake pads,Prime Ceramic,P68012N,,16mm,71mm,120mm,,,,,,,Lucas,Electric,"20380, 21110",D135 7067,With anti-squeal shim,
DAIMLER,COUPE,09/73,12/77,Double Six 5.3,05/75,12/77,213,289,Brake discs,Prime,09.3825.10,284mm,"24,2mm",60mm,,5,Ventilated,83mm,"22,9mm",90Nm,2,,,,,,
DAIMLER,COUPE,09/73,12/77,Double Six 5.3,05/75,12/77,213,289,Brake discs,Prime,08.2557.10,264mm,"12,7mm",26mm,,4,Solid,70mm,"11,4mm",90Nm,2,,,,,,
DAIMLER,COUPE,09/73,12/77,Double Six 5.3,05/75,12/77,213,289,Brake pads,Prime Ceramic,P68012N,,16mm,71mm,120mm,,,,,,,Lucas,Electric,"20380, 21110",D135 7067,With anti-squeal shim,
DAIMLER,COUPE,09/73,12/77,Sovereign 4.2,09/73,12/77,127,172,Brake discs,Prime,09.3825.10,284mm,"24,2mm",60mm,,5,Ventilated,83mm,"22,9mm",90Nm,2,,,,,,
DAIMLER,COUPE,09/73,12/77,Sovereign 4.2,09/73,12/77,127,172,Brake discs,Prime,08.2557.10,264mm,"12,7mm",26mm,,4,Solid,70mm,"11,4mm",90Nm,2,,,,,,
DAIMLER,COUPE,09/73,12/77,Sovereign 4.2,09/73,12/77,127,172,Brake pads,Prime Ceramic,P68012N,,16mm,71mm,120mm,,,,,,,Lucas,Electric,"20380, 21110",D135 7067,With anti-squeal shim,
DAIMLER,DAIMLER (XJ4_),10/89,09/94,4.0,10/89,09/94,166,226,Brake discs,Prime,09.3825.10,284mm,"24,2mm",60mm,,5,Ventilated,83mm,"22,9mm",90Nm,2,,,,,,
DAIMLER,DAIMLER (XJ4_),10/89,09/94,4.0,10/89,09/94,166,226,Brake discs,Prime,08.2557.10,264mm,"12,7mm",26mm,,4,Solid,70mm,"11,4mm",90Nm,2,,,,,,
DAIMLER,DAIMLER (XJ4_),10/89,09/94,4.0,10/89,09/94,166,226,Brake discs,Prime,08.5698.10,295mm,10mm,68mm,,5,Solid,74mm,"8,8mm",90Nm,2,,,,,,
DAIMLER,DAIMLER (XJ4_),10/89,09/94,4.0,10/89,09/94,166,226,Brake pads,Prime,P 36 007,,18mm,64mm,156mm,,,,,,,Teves,Prepared for wear indicator,"20968, 23126","D394 7395, D901 7778",With accessoriesWith anti-squeal shimWith piston clip,
DAIMLER,DAIMLER (XJ4_),10/89,09/94,4.0,10/89,09/94,166,226,Brake pads,Prime Ceramic,P36007N,,18mm,64mm,156mm,,,,,,,Teves,Prepared for wear indicator,"20968, 23126","D394 7395, D901 7778",With accessoriesWith anti-squeal shimWith piston clip,
DAIMLER,DAIMLER (XJ4_),10/89,09/94,4.0,10/89,09/94,166,226,Brake pads,Prime,P 36 017,,16mm,48 - 58mm,140mm,,,,,,,Teves,Prepared for wear indicator,"20547, 24487","D1701 8925, D688 7563",With accessoriesWith anti-squeal shimWith piston clip,
DAIMLER,DAIMLER (XJ4_),10/89,09/94,4.0,10/89,09/94,166,226,Brake pads,Prime Ceramic,P36017N,,16mm,48 - 58mm,140mm,,,,,,,Teves,Prepared for wear indicator,"20547, 24487","D1701 8925, D688 7563",With accessoriesWith anti-squeal shimWith piston clip,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,4.0 Long,10/97,06/03,216,294,Brake discs,Prime,09.7731.11,305mm,28mm,50mm,,5,Ventilated,74mm,26mm,103Nm,1,,,,,,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,4.0 Long,10/97,06/03,216,294,Brake discs,Prime,09.A603.11,325mm,"28,5mm",50mm,,5,Ventilated,74mm,26mm,103Nm,2,,,,,,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,4.0 Long,10/97,06/03,216,294,Brake discs,Prime,09.7217.21,305mm,20mm,68mm,,5,Ventilated,74mm,"18,5mm",103Nm,2,,,,,,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,4.0 Long,10/97,06/03,216,294,Brake pads,Prime,P 36 007,,18mm,64mm,156mm,,,,,,,Teves,Prepared for wear indicator,"20968, 23126","D394 7395, D901 7778",With accessoriesWith anti-squeal shimWith piston clip,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,4.0 Long,10/97,06/03,216,294,Brake pads,Prime Ceramic,P36007N,,18mm,64mm,156mm,,,,,,,Teves,Prepared for wear indicator,"20968, 23126","D394 7395, D901 7778",With accessoriesWith anti-squeal shimWith piston clip,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,4.0 Long,10/97,06/03,216,294,Brake pads,Prime,P 36 017,,16mm,48 - 58mm,140mm,,,,,,,Teves,Prepared for wear indicator,"20547, 24487","D1701 8925, D688 7563",With accessoriesWith anti-squeal shimWith piston clip,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,4.0 Long,10/97,06/03,216,294,Brake pads,Prime Ceramic,P36017N,,16mm,48 - 58mm,140mm,,,,,,,Teves,Prepared for wear indicator,"20547, 24487","D1701 8925, D688 7563",With accessoriesWith anti-squeal shimWith piston clip,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,Double Six 6.0,10/94,06/03,229,311,Brake discs,Prime,08.5698.10,295mm,10mm,68mm,,5,Solid,74mm,"8,8mm",90Nm,2,,,,,,,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,Double Six 6.0,10/94,06/03,229,311,Brake pads,Prime,P 36 007,,18mm,64mm,156mm,,,,,,,Teves,Prepared for wear indicator,"20968, 23126","D394 7395, D901 7778",With accessoriesWith anti-squeal shimWith piston clip,,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,Double Six 6.0,10/94,06/03,229,311,Brake pads,Prime Ceramic,P36007N,,18mm,64mm,156mm,,,,,,,Teves,Prepared for wear indicator,"20968, 23126","D394 7395, D901 7778",With accessoriesWith anti-squeal shimWith piston clip,,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,Double Six 6.0,10/94,06/03,229,311,Brake pads,Prime,P 36 017,,16mm,48 - 58mm,140mm,,,,,,,Teves,Prepared for wear indicator,"20547, 24487","D1701 8925, D688 7563",With accessoriesWith anti-squeal shimWith piston clip,,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,Double Six 6.0,10/94,06/03,229,311,Brake pads,Prime Ceramic,P36017N,,16mm,48 - 58mm,140mm,,,,,,,Teves,Prepared for wear indicator,"20547, 24487","D1701 8925, D688 7563",With accessoriesWith anti-squeal shimWith piston clip,,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,Wear indicator,10/94,06/03,229,311,Brake pad accessories,Prime,A 00 257,,,,,,,,,,,,,,,,,300mm
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,Six 4.0,10/94,06/03,177,241,Brake discs,Prime,08.5698.10,295mm,10mm,68mm,,5,Solid,74mm,"8,8mm",90Nm,2,,,,,,,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,Six 4.0,10/94,06/03,177,241,Brake pads,Prime,P 36 007,,18mm,64mm,156mm,,,,,,,Teves,Prepared for wear indicator,"20968, 23126","D394 7395, D901 7778",With accessoriesWith anti-squeal shimWith piston clip,,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,Six 4.0,10/94,06/03,177,241,Brake pads,Prime Ceramic,P36007N,,18mm,64mm,156mm,,,,,,,Teves,Prepared for wear indicator,"20968, 23126","D394 7395, D901 7778",With accessoriesWith anti-squeal shimWith piston clip,,
DAIMLER,DAIMLER XJ (X30_),10/94,06/03,Six 4.0,10/94,06/03,177,241,Brake pads,Prime,P 36 017,,16mm,48 - 58mm,140mm,,,,,,,Teves,Prepared for wear indicator,"20547, 24487","D1701 8925, D688 7563",With accessoriesWith anti-squeal shimWith piston clip,,
