brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
FERRARI,208/308 Coupe,09/74,10/89,308 GTB,09/75,06/80,188,255,Brake discs,Prime,09.3800.10,272mm,22mm,78mm,,5,Ventilated,58mm,20mm,,2,,,,,,
FERRARI,208/308 Coupe,09/74,10/89,308 GTB,09/75,06/80,188,255,Brake discs,Prime,09.3799.10,277mm,20mm,73mm,,5,Ventilated,67mm,18mm,,2,,,,,,
FERRARI,208/308 Coupe,09/74,10/89,308 GTB Qv (XW),09/82,06/85,177,240,Brake discs,Prime,09.3800.10,272mm,22mm,78mm,,5,Ventilated,58mm,20mm,,2,,,,,,
FERRARI,208/308 Coupe,09/74,10/89,308 GTB Qv (XW),09/82,06/85,177,240,Brake discs,Prime,09.3799.10,277mm,20mm,73mm,,5,Ventilated,67mm,18mm,,2,,,,,,
FERRARI,208/308 Coupe,09/74,10/89,308 GTS,09/77,06/80,188,255,Brake discs,Prime,09.3800.10,272mm,22mm,78mm,,5,Ventilated,58mm,20mm,,2,,,,,,
FERRARI,208/308 Coupe,09/74,10/89,308 GTS,09/77,06/80,188,255,Brake discs,Prime,09.3799.10,277mm,20mm,73mm,,5,Ventilated,67mm,18mm,,2,,,,,,
FERRARI,208/308 Coupe,09/74,10/89,308 GTS Qv (XV),09/82,06/85,177,240,Brake discs,Prime,09.3800.10,272mm,22mm,78mm,,5,Ventilated,58mm,20mm,,2,,,,,,
FERRARI,208/308 Coupe,09/74,10/89,308 GTS Qv (XV),09/82,06/85,177,240,Brake discs,Prime,09.3799.10,277mm,20mm,73mm,,5,Ventilated,67mm,18mm,,2,,,,,,
FERRARI,328 GTB,09/85,09/89,3.2,09/85,09/89,199,270,Brake discs,Prime,09.4297.20,282mm,22mm,56mm,,5,Ventilated,67mm,20mm,,2,,,,,,
FERRARI,328 GTB,09/85,09/89,3.2,09/85,09/89,199,270,Brake discs,Prime,09.4254.10,280mm,22mm,74mm,,5,Ventilated,67mm,20mm,,2,,,,,,
FERRARI,328 GTB,09/85,09/89,3.2,09/85,09/89,199,270,Brake pads,Prime,P 06 008,,20mm,57mm,158mm,,,,,,,Teves,Prepared for wear indicator,"20629, 20757","D253 7160, D394 7284, D395 7285",With accessoriesWith anti-squeal shimWith piston clip,
FERRARI,328 GTS,09/85,09/89,3.2,09/85,09/89,199,270,Brake discs,Prime,09.4297.20,282mm,22mm,56mm,,5,Ventilated,67mm,20mm,,2,,,,,,
FERRARI,328 GTS,09/85,09/89,3.2,09/85,09/89,199,270,Brake discs,Prime,09.4254.10,280mm,22mm,74mm,,5,Ventilated,67mm,20mm,,2,,,,,,
FERRARI,328 GTS,09/85,09/89,3.2,09/85,09/89,199,270,Brake pads,Prime,P 06 008,,20mm,57mm,158mm,,,,,,,Teves,Prepared for wear indicator,"20629, 20757","D253 7160, D394 7284, D395 7285",With accessoriesWith anti-squeal shimWith piston clip,
FERRARI,348 Spider,03/93,12/95,3.4,03/93,12/95,235,320,Brake discs,Prime,09.4966.10,310mm,24mm,77mm,,5,Ventilated,67mm,22mm,,2,,,,,,
FERRARI,348 Spider,03/93,12/95,3.4,03/93,12/95,235,320,Brake pads,Prime,P 85 094,,18mm,66mm,98mm,,,,,,,Teves,Prepared for wear indicator,20877,D250 7158,With anti-squeal shim,
FERRARI,348 Spider,03/93,12/95,3.4,03/93,12/95,235,320,Brake pads,Prime Ceramic,P85094N,,18mm,66mm,98mm,,,,,,,Teves,Prepared for wear indicator,20877,D250 7158,With anti-squeal shim,
FERRARI,348 tb/GTB,02/90,04/94,3.4,02/90,04/94,221,300,Brake discs,Prime,09.4966.10,310mm,24mm,77mm,,5,Ventilated,67mm,22mm,,2,,,,,,,,,
FERRARI,348 tb/GTB,02/90,04/94,3.4,02/90,04/94,221,300,Brake pads,Prime,P 85 094,,18mm,66mm,98mm,,,,,,,Teves,Prepared for wear indicator,20877,D250 7158,With anti-squeal shim,,,,
FERRARI,348 tb/GTB,02/90,04/94,3.4,02/90,04/94,221,300,Brake pads,Prime Ceramic,P85094N,,18mm,66mm,98mm,,,,,,,Teves,Prepared for wear indicator,20877,D250 7158,With anti-squeal shim,,,,
