brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
FORD AUSTRALIA,"CAPRI Convertible (SA, SB, SC, SE)",09/89,07/94,1.6 16V,09/89,07/94,77,105,Brake pads,Prime,P 49 005,,13mm,42mm,101mm,,,,,,,Akebono,Without,20008,"D366 7257, D573 7453",With anti-squeal shim,
FORD AUSTRALIA,"CAPRI Convertible (SA, SB, SC, SE)",09/89,07/94,1.6 16V,09/89,07/94,77,105,Brake pads,Prime Ceramic,P49005N,,13mm,42mm,101mm,,,,,,,Akebono,Without,20008,"D366 7257, D573 7453",With anti-squeal shim,
FORD AUSTRALIA,"CAPRI Convertible (SA, SB, SC, SE)",09/89,07/94,1.6 Turbo,09/89,07/94,100,136,Brake pads,Prime,P 49 005,,13mm,42mm,101mm,,,,,,,Akebono,Without,20008,"D366 7257, D573 7453",With anti-squeal shim,
FORD AUSTRALIA,"CAPRI Convertible (SA, SB, SC, SE)",09/89,07/94,1.6 Turbo,09/89,07/94,100,136,Brake pads,Prime Ceramic,P49005N,,13mm,42mm,101mm,,,,,,,Akebono,Without,20008,"D366 7257, D573 7453",With anti-squeal shim,
FORD AUSTRALIA,CORSAIR Hatchback (UA),10/89,12/92,2.4 i,10/89,09/92,96,131,Brake pads,Prime,P 30 002,,17mm,54 - 55mm,137mm,,,,,,,Akebono,Acoustic,"21526, 21527, 21528","D449 7329, D462 7342, D462 8314, D485 7342",With anti-squeal shim,
FORD AUSTRALIA,CORSAIR Hatchback (UA),10/89,12/92,2.4 i,10/89,09/92,96,131,Brake pads,Prime Ceramic,P30002N,,17mm,54 - 55mm,137mm,,,,,,,Akebono,Acoustic,"21526, 21527, 21528","D449 7329, D462 7342, D462 8314, D485 7342",With anti-squeal shim,
FORD AUSTRALIA,CORSAIR Hatchback (UA),10/89,12/92,2.4 i,10/89,09/92,96,131,Brake pads,Prime,P 30 003,,14mm,47mm,85mm,,,,,,,Sumitomo,Acoustic,"21553, 21554, 21555","D323 7146, D429 7146, D464 7344",With anti-squeal shim,
FORD AUSTRALIA,CORSAIR Hatchback (UA),10/89,12/92,2.4 i,10/89,09/92,96,131,Brake pads,Prime Ceramic,P30003N,,14mm,47mm,85mm,,,,,,,Sumitomo,Acoustic,"21553, 21554, 21555","D323 7146, D429 7146, D464 7344",With anti-squeal shim,
FORD AUSTRALIA,CORSAIR Saloon (UA),10/89,12/92,2.4 i,10/89,09/92,96,131,Brake pads,Prime,P 30 002,,17mm,54 - 55mm,137mm,,,,,,,Akebono,Acoustic,"21526, 21527, 21528","D449 7329, D462 7342, D462 8314, D485 7342",With anti-squeal shim,
FORD AUSTRALIA,CORSAIR Saloon (UA),10/89,12/92,2.4 i,10/89,09/92,96,131,Brake pads,Prime Ceramic,P30002N,,17mm,54 - 55mm,137mm,,,,,,,Akebono,Acoustic,"21526, 21527, 21528","D449 7329, D462 7342, D462 8314, D485 7342",With anti-squeal shim,
FORD AUSTRALIA,CORSAIR Saloon (UA),10/89,12/92,2.4 i,10/89,09/92,96,131,Brake pads,Prime,P 30 003,,14mm,47mm,85mm,,,,,,,Sumitomo,Acoustic,"21553, 21554, 21555","D323 7146, D429 7146, D464 7344",With anti-squeal shim,
FORD AUSTRALIA,CORSAIR Saloon (UA),10/89,12/92,2.4 i,10/89,09/92,96,131,Brake pads,Prime Ceramic,P30003N,,14mm,47mm,85mm,,,,,,,Sumitomo,Acoustic,"21553, 21554, 21555","D323 7146, D429 7146, D464 7344",With anti-squeal shim,
FORD AUSTRALIA,"COUGAR Coupe (SW, SX)",10/99,03/03,2.5,10/99,03/03,125,170,Brake pads,Prime Ceramic,P24034N,,19mm,59mm,155 - 156mm,,,,,,,Teves,Electric,"21394, 21638, 23071",D801 7672,With accessoriesWith anti-squeal shimWith piston clip,
FORD AUSTRALIA,"COUGAR Coupe (SW, SX)",10/99,03/03,2.5,10/99,03/03,125,170,Brake pads,Prime Ceramic,P24070N,,16mm,54mm,116mm,,,,,,,Bosch,Without,23410,D899 7780,With anti-squeal shim,
FORD AUSTRALIA,COURIER Pickup (PC),11/82,04/96,2.0,06/85,12/89,84,114,Brake pads,Prime,P 49 014,,15mm,52mm,128mm,,,,,,,Sumitomo,Acoustic,"21315, 21316, 21317",D320 7220,With anti-squeal shim,
FORD AUSTRALIA,COURIER Pickup (PC),11/82,04/96,2.0,06/85,12/89,84,114,Brake pads,Prime Ceramic,P49014N,,15mm,52mm,128mm,,,,,,,Sumitomo,Acoustic,"21315, 21316, 21317",D320 7220,With anti-squeal shim,
FORD AUSTRALIA,COURIER Pickup (PC),11/82,04/96,2.0,12/89,12/92,92,125,Brake pads,Prime,P 49 014,,15mm,52mm,128mm,,,,,,,Sumitomo,Acoustic,"21315, 21316, 21317",D320 7220,With anti-squeal shim,
FORD AUSTRALIA,COURIER Pickup (PC),11/82,04/96,2.0,12/89,12/92,92,125,Brake pads,Prime Ceramic,P49014N,,15mm,52mm,128mm,,,,,,,Sumitomo,Acoustic,"21315, 21316, 21317",D320 7220,With anti-squeal shim,
FORD AUSTRALIA,COURIER Pickup (PC),11/82,04/96,2.2,01/89,06/93,68,92,Brake pads,Prime,P 49 014,,15mm,52mm,128mm,,,,,,,Sumitomo,Acoustic,"21315, 21316, 21317",D320 7220,With anti-squeal shim,
