brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
FORD USA,BRONCO II,09/83,08/90,2.9 i V6 4x4,09/85,08/90,104,141,Brake pads,Prime Ceramic,P24134N,,14mm,63 - 67mm,172 - 160mm,,,,,,,Bendix,Without,"21830, 21831",D654 7534A,With anti-squeal shim,
FORD USA,BRONCO SUV,09/91,12/96,5.8 4WD,09/95,12/96,157,214,Brake pads,Prime Ceramic,P24098N,,15mm,54mm,194mm,,,,,,,,Without,,D632 7503,With anti-squeal shim,
FORD USA,EXPEDITION (U553),10/17,>,3.5 Ti-VCT EcoBoost,10/17,>,261,355,UPGRADE GT kit,GT | A6 | D,1J1.9015A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
FORD USA,EXPEDITION (U553),10/17,>,3.5 Ti-VCT EcoBoost,10/17,>,261,355,UPGRADE GT kit,GT | A6 | TY1,1J2.9015A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
FORD USA,EXPEDITION (U553),10/17,>,3.5 Ti-VCT EcoBoost,10/17,>,261,355,UPGRADE GT kit,GT | A6 | TY3,1J3.9015A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
FORD USA,EXPEDITION (U553),10/17,>,3.5 Ti-VCT EcoBoost,10/17,>,261,355,UPGRADE GT kit,GT | BM8 | D,1Q1.9605A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
FORD USA,EXPEDITION (U553),10/17,>,3.5 Ti-VCT EcoBoost,10/17,>,261,355,UPGRADE GT kit,GT | BM8 | TY1,1Q2.9605A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
FORD USA,F-150,10/96,>,4.2,05/97,08/98,150,204,Brake pads,Prime Ceramic,P24102N,,17mm,57mm,166mm,,,,,,,Wagner,Acoustic,"24578, 24757, 24759",D679 7558,With anti-squeal shim,
FORD USA,F-150,10/96,>,4.2,05/97,08/98,150,204,Brake pads,Prime Ceramic,P24083N,,17mm,48mm,142mm,,,,,,,Kelsey Hayes,Without,"24753, 24754",D879 7584,With accessoriesWith anti-squeal shimWith piston clip,
FORD USA,F-150,10/96,>,4.6,05/97,08/98,154,209,Brake pads,Prime Ceramic,P24102N,,17mm,57mm,166mm,,,,,,,Wagner,Acoustic,"24578, 24757, 24759",D679 7558,With anti-squeal shim,
FORD USA,F-150,10/96,>,4.6,05/97,08/98,154,209,Brake pads,Prime Ceramic,P24083N,,17mm,48mm,142mm,,,,,,,Kelsey Hayes,Without,"24753, 24754",D879 7584,With accessoriesWith anti-squeal shimWith piston clip,
FORD USA,F-150,10/96,>,4.6,09/98,10/01,164,223,Brake pads,Prime Ceramic,P24102N,,17mm,57mm,166mm,,,,,,,Wagner,Acoustic,"24578, 24757, 24759",D679 7558,With anti-squeal shim,
FORD USA,F-150,10/96,>,4.6,09/98,10/01,164,223,Brake pads,Prime Ceramic,P24083N,,17mm,48mm,142mm,,,,,,,Kelsey Hayes,Without,"24753, 24754",D879 7584,With accessoriesWith anti-squeal shimWith piston clip,
FORD USA,F-150,10/96,>,4.6,10/96,09/98,162,220,Brake pads,Prime Ceramic,P24102N,,17mm,57mm,166mm,,,,,,,Wagner,Acoustic,"24578, 24757, 24759",D679 7558,With anti-squeal shim,
FORD USA,F-150,10/96,>,4.6,10/96,09/98,162,220,Brake pads,Prime Ceramic,P24083N,,17mm,48mm,142mm,,,,,,,Kelsey Hayes,Without,"24753, 24754",D879 7584,With accessoriesWith anti-squeal shimWith piston clip,
FORD USA,F-150,10/96,>,4.6,10/98,11/03,170,231,Brake pads,Prime Ceramic,P24102N,,17mm,57mm,166mm,,,,,,,Wagner,Acoustic,"24578, 24757, 24759",D679 7558,With anti-squeal shim,
FORD USA,F-150,10/96,>,4.6,10/98,11/03,170,231,Brake pads,Prime Ceramic,P24083N,,17mm,48mm,142mm,,,,,,,Kelsey Hayes,Without,"24753, 24754",D879 7584,With accessoriesWith anti-squeal shimWith piston clip,
FORD USA,F-150,10/96,>,4.6 4x4,10/98,11/03,170,231,Brake discs,Prime,09.7787.11,308mm,26mm,52mm,,5,Ventilated,90mm,"24,5mm",,1,,,,,,,,,
FORD USA,F-150,10/96,>,4.6 4x4,10/98,11/03,170,231,Brake pads,Prime Ceramic,P24102N,,17mm,57mm,166mm,,,,,,,Wagner,Acoustic,"24578, 24757, 24759",D679 7558,With anti-squeal shim,,,,
FORD USA,F-150,10/96,>,4.6 4x4,10/98,11/03,170,231,Brake pads,Prime Ceramic,P24083N,,17mm,48mm,142mm,,,,,,,Kelsey Hayes,Without,"24753, 24754",D879 7584,With accessoriesWith anti-squeal shimWith piston clip,,,,
FORD USA,F-150,10/96,>,4.6 4x4,10/98,11/03,170,231,UPGRADE GT kit,GT | A4 | D,1B1.8005A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FORD USA,F-150,10/96,>,4.6 4x4,10/98,11/03,170,231,UPGRADE GT kit,GT | A4 | TY1,1B2.8005A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FORD USA,F-150,10/96,>,4.6 4x4,10/98,11/03,170,231,UPGRADE GT kit,GT | A4 | TY3,1B3.8005A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FORD USA,F-150,10/96,>,5.4,10/96,11/03,185,252,Brake pads,Prime Ceramic,P24102N,,17mm,57mm,166mm,,,,,,,Wagner,Acoustic,"24578, 24757, 24759",D679 7558,With anti-squeal shim,
FORD USA,F-150,10/96,>,5.4,10/96,11/03,185,252,Brake pads,Prime Ceramic,P24083N,,17mm,48mm,142mm,,,,,,,Kelsey Hayes,Without,"24753, 24754",D879 7584,With accessoriesWith anti-squeal shimWith piston clip,
FORD USA,F-150,10/96,>,5.4,05/01,11/03,280,381,Brake pads,Prime Ceramic,P24102N,,17mm,57mm,166mm,,,,,,,Wagner,Acoustic,"24578, 24757, 24759",D679 7558,With anti-squeal shim,
FORD USA,F-150,10/96,>,5.4,05/01,11/03,280,381,Brake pads,Prime Ceramic,P24083N,,17mm,48mm,142mm,,,,,,,Kelsey Hayes,Without,"24753, 24754",D879 7584,With accessoriesWith anti-squeal shimWith piston clip,
FORD USA,F-150,10/96,>,5.4 4x4,10/96,11/03,185,252,Brake pads,Prime Ceramic,P24102N,,17mm,57mm,166mm,,,,,,,Wagner,Acoustic,"24578, 24757, 24759",D679 7558,With anti-squeal shim,,,,
FORD USA,F-150,10/96,>,5.4 4x4,10/96,11/03,185,252,UPGRADE GT kit,GT | A4 | D,1B1.8005A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FORD USA,F-150,10/96,>,5.4 4x4,10/96,11/03,185,252,UPGRADE GT kit,GT | A4 | TY1,1B2.8005A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FORD USA,F-150,10/96,>,5.4 4x4,10/96,11/03,185,252,UPGRADE GT kit,GT | A4 | TY3,1B3.8005A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
