brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
FPV,FALCON Pickup (BA),03/03,01/06,4.0 TORNADO,10/04,01/06,270,367,Brake pads,Prime Ceramic,P99008N,,15mm,57mm,190mm,,,,,,,,Without,24829,D1587 8798,With anti-squeal shim,
FPV,FALCON Pickup (BA),03/03,01/06,5.4 PURSUIT,03/03,10/05,290,394,Brake pads,Prime,P 11 024,,15mm,69mm,110mm,,,,,,,Brembo,Acoustic,24076,"D1053 7958, D1053 8805, D1270 7831",With anti-squeal shim,
FPV,FALCON Pickup (BA),03/03,01/06,5.4 PURSUIT,03/03,10/05,290,394,Brake pads,Prime Ceramic,P11024N,,15mm,69mm,110mm,,,,,,,Brembo,Acoustic,24076,"D1053 7958, D1053 8805, D1270 7831",With anti-squeal shim,
FPV,FALCON Pickup (BA),03/03,01/06,5.4 SUPER PURSUIT,03/03,10/05,290,394,Brake pads,Prime,P 11 024,,15mm,69mm,110mm,,,,,,,Brembo,Acoustic,24076,"D1053 7958, D1053 8805, D1270 7831",With anti-squeal shim,
FPV,FALCON Pickup (BA),03/03,01/06,5.4 SUPER PURSUIT,03/03,10/05,290,394,Brake pads,Prime Ceramic,P11024N,,15mm,69mm,110mm,,,,,,,Brembo,Acoustic,24076,"D1053 7958, D1053 8805, D1270 7831",With anti-squeal shim,
FPV,FALCON Pickup (BF),04/05,04/08,4.0 F6 TORNADO,05/05,04/08,270,367,Brake pads,Prime,P 11 024,,15mm,69mm,110mm,,,,,,,Brembo,Acoustic,24076,"D1053 7958, D1053 8805, D1270 7831",With anti-squeal shim,
FPV,FALCON Pickup (BF),04/05,04/08,4.0 F6 TORNADO,05/05,04/08,270,367,Brake pads,Prime Ceramic,P11024N,,15mm,69mm,110mm,,,,,,,Brembo,Acoustic,24076,"D1053 7958, D1053 8805, D1270 7831",With anti-squeal shim,
FPV,FALCON Pickup (BF),04/05,04/08,5.4 COBRA,11/05,12/07,290,394,Brake pads,Prime,P 11 024,,15mm,69mm,110mm,,,,,,,Brembo,Acoustic,24076,"D1053 7958, D1053 8805, D1270 7831",With anti-squeal shim,
FPV,FALCON Pickup (BF),04/05,04/08,5.4 COBRA,11/05,12/07,290,394,Brake pads,Prime Ceramic,P11024N,,15mm,69mm,110mm,,,,,,,Brembo,Acoustic,24076,"D1053 7958, D1053 8805, D1270 7831",With anti-squeal shim,
FPV,FALCON Pickup (BF),04/05,04/08,5.4 PURSUIT,04/05,12/07,270,367,Brake pads,Prime,P 11 024,,15mm,69mm,110mm,,,,,,,Brembo,Acoustic,24076,"D1053 7958, D1053 8805, D1270 7831",With anti-squeal shim,
