brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
GREAT WALL,FENGJUN 5 Pickup,07/09,>,2.0 TDI,06/11,>,105,143,Brake discs,Prime,09.6866.10,280mm,26mm,36mm,,6,Ventilated,88mm,"24,6mm",118Nm,2,,,,,,
GREAT WALL,FENGJUN 5 Pickup,07/09,>,2.0 TDI,06/11,>,105,143,Brake pads,Prime,P 34 005,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,
GREAT WALL,FENGJUN 5 Pickup,07/09,>,2.0 TDI,06/11,>,105,143,Brake pads,Prime Ceramic,P34005N,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,
GREAT WALL,FENGJUN 5 Pickup,07/09,>,2.0 TDI 4x4,06/11,>,105,143,Brake discs,Prime,09.6866.10,280mm,26mm,36mm,,6,Ventilated,88mm,"24,6mm",118Nm,2,,,,,,
GREAT WALL,FENGJUN 5 Pickup,07/09,>,2.0 TDI 4x4,06/11,>,105,143,Brake pads,Prime,P 34 005,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,
GREAT WALL,FENGJUN 5 Pickup,07/09,>,2.0 TDI 4x4,06/11,>,105,143,Brake pads,Prime Ceramic,P34005N,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,
GREAT WALL,FENGJUN 5 Pickup,07/09,>,2.0 TDI 4x4,06/11,>,105,143,Brake pads,Prime,P 59 021,,16mm,43mm,110mm,,,,,,,Sumitomo,Acoustic,"21875, 21876, 21877",D580 7460,With anti-squeal shim,
GREAT WALL,FENGJUN 5 Pickup,07/09,>,2.0 TDI 4x4,06/11,>,105,143,Brake pads,Prime Ceramic,P59021N,,16mm,43mm,110mm,,,,,,,Sumitomo,Acoustic,"21875, 21876, 21877",D580 7460,With anti-squeal shim,
GREAT WALL,FENGJUN 5 Pickup,07/09,>,2.4,07/09,>,100,136,Brake discs,Prime,09.6866.10,280mm,26mm,36mm,,6,Ventilated,88mm,"24,6mm",118Nm,2,,,,,,
GREAT WALL,FENGJUN 5 Pickup,07/09,>,2.4,07/09,>,100,136,Brake pads,Prime,P 34 005,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,
GREAT WALL,FENGJUN 5 Pickup,07/09,>,2.4,07/09,>,100,136,Brake pads,Prime Ceramic,P34005N,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,
GREAT WALL,FENGJUN 5 Pickup,07/09,>,2.4 4x4,10/09,12/15,100,136,Brake discs,Prime,09.6866.10,280mm,26mm,36mm,,6,Ventilated,88mm,"24,6mm",118Nm,2,,,,,,
GREAT WALL,FENGJUN 5 Pickup,07/09,>,2.4 4x4,10/09,12/15,100,136,Brake pads,Prime,P 34 005,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,
GREAT WALL,FENGJUN 5 Pickup,07/09,>,2.4 4x4,10/09,12/15,100,136,Brake pads,Prime Ceramic,P34005N,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,
GREAT WALL,HOVER,11/05,04/11,2.4 4x4 (CC6460),01/07,04/11,100,136,Brake discs,Prime,09.6866.10,280mm,26mm,36mm,,6,Ventilated,88mm,"24,6mm",118Nm,2,,,,,,
GREAT WALL,HOVER,11/05,04/11,2.4 4x4 (CC6460),01/07,04/11,100,136,Brake discs,Prime,09.7377.10,313mm,18mm,80mm,,6,Ventilated,101mm,"16,6mm",118Nm,2,,,,,,
GREAT WALL,HOVER,11/05,04/11,2.4 4x4 (CC6460),01/07,04/11,100,136,Brake pads,Prime,P 34 005,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,
GREAT WALL,HOVER,11/05,04/11,2.4 4x4 (CC6460),01/07,04/11,100,136,Brake pads,Prime Ceramic,P34005N,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,
GREAT WALL,HOVER,11/05,04/11,2.4 4x4 (CC6460),01/07,04/11,100,136,Brake pads,Prime,P 59 021,,16mm,43mm,110mm,,,,,,,Sumitomo,Acoustic,"21875, 21876, 21877",D580 7460,With anti-squeal shim,
GREAT WALL,HOVER,11/05,04/11,2.4 4x4 (CC6460),01/07,04/11,100,136,Brake pads,Prime Ceramic,P59021N,,16mm,43mm,110mm,,,,,,,Sumitomo,Acoustic,"21875, 21876, 21877",D580 7460,With anti-squeal shim,
GREAT WALL,HOVER H5,06/10,>,2.4 4x4 (CC6461),06/10,>,100,136,Brake discs,Prime,09.6866.10,280mm,26mm,36mm,,6,Ventilated,88mm,"24,6mm",118Nm,2,,,,,,
GREAT WALL,HOVER H5,06/10,>,2.4 4x4 (CC6461),06/10,>,100,136,Brake discs,Prime,09.7377.10,313mm,18mm,80mm,,6,Ventilated,101mm,"16,6mm",118Nm,2,,,,,,
GREAT WALL,HOVER H5,06/10,>,2.4 4x4 (CC6461),06/10,>,100,136,Brake pads,Prime,P 34 005,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,
GREAT WALL,HOVER H5,06/10,>,2.4 4x4 (CC6461),06/10,>,100,136,Brake pads,Prime Ceramic,P34005N,,16mm,54mm,167mm,,,,,,,Sumitomo,Acoustic,"24370, 24595",D1039 7943,With anti-squeal shim,
GREAT WALL,HOVER H5,06/10,>,2.4 4x4 (CC6461),06/10,>,100,136,Brake pads,Prime,P 59 021,,16mm,43mm,110mm,,,,,,,Sumitomo,Acoustic,"21875, 21876, 21877",D580 7460,With anti-squeal shim,
