brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
HAVAL,H2,04/14,>,1.5,07/14,>,110,150,Brake pads,Prime,P 33 001,,18mm,62 - 56mm,134mm,,,,,,,,Acoustic,25614,,With anti-squeal shim,
HAVAL,H2,04/14,>,1.5,07/14,>,110,150,Brake pads,Prime Ceramic,P33001N,,18mm,62 - 56mm,134mm,,,,,,,,Acoustic,25614,,With anti-squeal shim,
HAVAL,H2,04/14,>,1.5,07/14,>,110,150,Brake pads,Prime,P 61 122,,18mm,50 - 53mm,99mm,,,,,,,Bosch,Without,"25839, 25840",D1891 9119,With accessoriesWith anti-squeal shimWith brake caliper bolts,
HAVAL,H2,04/14,>,1.5,07/14,>,110,150,Brake pads,Prime Ceramic,P61122N,,18mm,50 - 53mm,99mm,,,,,,,Bosch,Without,"25839, 25840",D1891 9119,With accessoriesWith anti-squeal shimWith brake caliper bolts,
HAVAL,H2,04/14,>,1.5 AWD,07/14,>,110,150,Brake pads,Prime,P 33 001,,18mm,62 - 56mm,134mm,,,,,,,,Acoustic,25614,,With anti-squeal shim,
HAVAL,H2,04/14,>,1.5 AWD,07/14,>,110,150,Brake pads,Prime Ceramic,P33001N,,18mm,62 - 56mm,134mm,,,,,,,,Acoustic,25614,,With anti-squeal shim,
HAVAL,H2,04/14,>,1.5 AWD,07/14,>,110,150,Brake pads,Prime,P 61 122,,18mm,50 - 53mm,99mm,,,,,,,Bosch,Without,"25839, 25840",D1891 9119,With accessoriesWith anti-squeal shimWith brake caliper bolts,
HAVAL,H2,04/14,>,1.5 AWD,07/14,>,110,150,Brake pads,Prime Ceramic,P61122N,,18mm,50 - 53mm,99mm,,,,,,,Bosch,Without,"25839, 25840",D1891 9119,With accessoriesWith anti-squeal shimWith brake caliper bolts,
HAVAL,H2S,01/16,>,1.5 T,01/16,>,110,150,Brake pads,Prime,P 33 002,,20mm,65mm,155mm,,,,,,,,Acoustic,,D2114 9348,With accessoriesWith anti-squeal shimWith piston clip,,Yes
HAVAL,H2S,01/16,>,1.5 T,01/16,>,110,150,Brake pads,Prime Ceramic,P33002N,,20mm,65mm,155mm,,,,,,,,Acoustic,,D2114 9348,With accessoriesWith anti-squeal shimWith piston clip,,Yes
HAVAL,H2S,01/16,>,1.5 T,01/16,>,110,150,Brake pads,Prime,P 61 122,,18mm,50 - 53mm,99mm,,,,,,,Bosch,Without,"25839, 25840",D1891 9119,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HAVAL,H2S,01/16,>,1.5 T,01/16,>,110,150,Brake pads,Prime Ceramic,P61122N,,18mm,50 - 53mm,99mm,,,,,,,Bosch,Without,"25839, 25840",D1891 9119,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HAVAL,H6,04/17,>,2.0 T,04/17,>,145,197,Brake discs,Prime,09.E619.11,340mm,28mm,51mm,,5,Ventilated,64mm,26mm,,1,,,,,,,
HAVAL,H6,04/17,>,2.0 T,04/17,>,145,197,Brake discs,Prime,09.E620.11,325mm,20mm,50mm,,5,Ventilated,64mm,18mm,,1,,,,,,,
HAVAL,H6,04/17,>,2.0 T,04/17,>,145,197,Brake pads,Prime,P 97 001,,20mm,65mm,155mm,,,,,,,,Acoustic,,,With accessoriesWith anti-squeal shimWith piston clip,,Yes
HAVAL,H6,04/17,>,2.0 T,04/17,>,145,197,Brake pads,Prime Ceramic,P97001N,,20mm,65mm,155mm,,,,,,,,Acoustic,,,With accessoriesWith anti-squeal shimWith piston clip,,Yes
