brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
HONDA,"ACCORD I (SJ, SY)",05/76,09/83,1.6 L/EX (SY),01/78,09/83,59,80,Brake discs,Prime,08.3854.10,231mm,12mm,41mm,,4,Solid,86mm,"10,5mm",,2,,,,,,
HONDA,"ACCORD I (SJ, SY)",05/76,09/83,1.6 L/EX (SY),01/78,09/83,59,80,Brake discs,Prime,08.4423.20,231mm,12mm,50mm,,4,Solid,61mm,10mm,,2,,,,,,
HONDA,"ACCORD I (SJ, SY)",05/76,09/83,1.6 L/EX (SY),01/78,09/83,59,80,Brake discs,Prime,09.3095.10,231mm,17mm,50mm,,4,Ventilated,61mm,15mm,,2,,,,,,
HONDA,"ACCORD I Hatchback (SJ, SY)",01/79,09/83,"1.6 L/EX (SJ, SY)",01/79,09/83,59,80,Brake discs,Prime,08.3854.10,231mm,12mm,41mm,,4,Solid,86mm,"10,5mm",,2,,,,,,
HONDA,"ACCORD I Hatchback (SJ, SY)",01/79,09/83,"1.6 L/EX (SJ, SY)",01/79,09/83,59,80,Brake discs,Prime,08.4423.20,231mm,12mm,50mm,,4,Solid,61mm,10mm,,2,,,,,,
HONDA,"ACCORD I Hatchback (SJ, SY)",01/79,09/83,"1.6 L/EX (SJ, SY)",01/79,09/83,59,80,Brake discs,Prime,09.3095.10,231mm,17mm,50mm,,4,Ventilated,61mm,15mm,,2,,,,,,
HONDA,"ACCORD II (AC, AD)",09/83,10/85,1.8 EX (AD),09/83,10/85,74,101,Brake pads,Prime,P 30 001,,15mm,49mm,127mm,,,,,,,Akebono,Without,21012,"D404 7293, D440 7293, D497 7376",With anti-squeal shim,,
HONDA,"ACCORD II (AC, AD)",09/83,10/85,1.8 EX (AD),09/83,10/85,74,101,Brake pads,Prime Ceramic,P30001N,,15mm,49mm,127mm,,,,,,,Akebono,Without,21012,"D404 7293, D440 7293, D497 7376",With anti-squeal shim,,
HONDA,"ACCORD II (AC, AD)",09/83,10/85,1.8 EX (AD),09/83,10/85,74,101,Brake pads,Prime,P 28 007,,13mm,39mm,85mm,,,,,,,Tokico,Without,"21043, 21401, 21407",D277 7180,With anti-squeal shim,,
HONDA,"ACCORD II (AC, AD)",09/83,10/85,1.8 EX (AD),09/83,10/85,74,101,Drums,Essential,14.3309.10,200mm,,72mm,"42,5mm",4,,"45,2mm",,,,,,,,,,201mm
HONDA,"ACCORD II Hatchback (AC, AD)",09/83,10/85,1.8 EX (AD),09/83,10/85,74,101,Brake pads,Prime,P 30 001,,15mm,49mm,127mm,,,,,,,Akebono,Without,21012,"D404 7293, D440 7293, D497 7376",With anti-squeal shim,
HONDA,"ACCORD II Hatchback (AC, AD)",09/83,10/85,1.8 EX (AD),09/83,10/85,74,101,Brake pads,Prime Ceramic,P30001N,,15mm,49mm,127mm,,,,,,,Akebono,Without,21012,"D404 7293, D440 7293, D497 7376",With anti-squeal shim,
HONDA,"ACCORD II Hatchback (AC, AD)",09/83,10/85,1.8 EX (AD),09/83,10/85,74,101,Brake pads,Prime,P 28 007,,13mm,39mm,85mm,,,,,,,Tokico,Without,"21043, 21401, 21407",D277 7180,With anti-squeal shim,
HONDA,ACCORD III (CA),11/85,12/89,2.0 12V (CA5),01/87,12/89,85,116,Brake discs,Prime,08.7104.11,239mm,10mm,48mm,,4,Solid,61mm,8mm,108Nm,2,,,,,,
HONDA,ACCORD III (CA),11/85,12/89,2.0 12V (CA5),01/87,12/89,85,116,Brake pads,Prime Ceramic,P28013N,,17mm,53mm,129mm,,,,,,,Akebono,Acoustic,"21446, 21447, 21448","D341 7235, D409 7235, D409 7445",With anti-squeal shim,
HONDA,ACCORD III (CA),11/85,12/89,2.0 12V (CA5),01/87,12/89,85,116,Brake pads,Prime,P 28 017,,13mm,35mm,89mm,,,,,,,Akebono,Acoustic,"21312, 21313, 21314","D277 7180, D339 7233, D364 7233, D373 7263, D374 7233, D374 7233A, D564 7443",With anti-squeal shim,
HONDA,ACCORD III (CA),11/85,12/89,2.0 12V (CA5),01/87,12/89,85,116,Brake pads,Prime Ceramic,P28017N,,13mm,35mm,89mm,,,,,,,Akebono,Acoustic,"21312, 21313, 21314","D277 7180, D339 7233, D364 7233, D373 7263, D374 7233, D374 7233A, D564 7443",With anti-squeal shim,
HONDA,ACCORD III (CA),11/85,12/89,2.0 EX (CA5),11/85,12/89,75,102,Brake discs,Prime,08.7104.11,239mm,10mm,48mm,,4,Solid,61mm,8mm,108Nm,2,,,,,,
HONDA,ACCORD III (CA),11/85,12/89,2.0 EX (CA5),11/85,12/89,75,102,Brake pads,Prime Ceramic,P28013N,,17mm,53mm,129mm,,,,,,,Akebono,Acoustic,"21446, 21447, 21448","D341 7235, D409 7235, D409 7445",With anti-squeal shim,
HONDA,ACCORD III (CA),11/85,12/89,2.0 EX (CA5),11/85,12/89,75,102,Brake pads,Prime,P 28 017,,13mm,35mm,89mm,,,,,,,Akebono,Acoustic,"21312, 21313, 21314","D277 7180, D339 7233, D364 7233, D373 7263, D374 7233, D374 7233A, D564 7443",With anti-squeal shim,
HONDA,ACCORD III (CA),11/85,12/89,2.0 EX (CA5),11/85,12/89,75,102,Brake pads,Prime Ceramic,P28017N,,13mm,35mm,89mm,,,,,,,Akebono,Acoustic,"21312, 21313, 21314","D277 7180, D339 7233, D364 7233, D373 7263, D374 7233, D374 7233A, D564 7443",With anti-squeal shim,
HONDA,ACCORD III (CA),11/85,12/89,2.0 EX (CA5),11/85,05/89,78,106,Brake discs,Prime,08.7104.11,239mm,10mm,48mm,,4,Solid,61mm,8mm,108Nm,2,,,,,,
HONDA,ACCORD III (CA),11/85,12/89,2.0 EX (CA5),11/85,05/89,78,106,Brake pads,Prime Ceramic,P28013N,,17mm,53mm,129mm,,,,,,,Akebono,Acoustic,"21446, 21447, 21448","D341 7235, D409 7235, D409 7445",With anti-squeal shim,
HONDA,ACCORD III (CA),11/85,12/89,2.0 EX (CA5),11/85,05/89,78,106,Brake pads,Prime,P 28 017,,13mm,35mm,89mm,,,,,,,Akebono,Acoustic,"21312, 21313, 21314","D277 7180, D339 7233, D364 7233, D373 7263, D374 7233, D374 7233A, D564 7443",With anti-squeal shim,
HONDA,ACCORD III (CA),11/85,12/89,2.0 EX (CA5),11/85,05/89,78,106,Brake pads,Prime Ceramic,P28017N,,13mm,35mm,89mm,,,,,,,Akebono,Acoustic,"21312, 21313, 21314","D277 7180, D339 7233, D364 7233, D373 7263, D374 7233, D374 7233A, D564 7443",With anti-squeal shim,
HONDA,ACCORD III (CA),11/85,12/89,2.0 EXi (CA5),01/86,12/89,85,116,Brake discs,Prime,08.7104.11,239mm,10mm,48mm,,4,Solid,61mm,8mm,108Nm,2,,,,,,
HONDA,ACCORD III (CA),11/85,12/89,2.0 EXi (CA5),01/86,12/89,85,116,Brake pads,Prime Ceramic,P28013N,,17mm,53mm,129mm,,,,,,,Akebono,Acoustic,"21446, 21447, 21448","D341 7235, D409 7235, D409 7445",With anti-squeal shim,
HONDA,ACCORD III (CA),11/85,12/89,2.0 EXi (CA5),01/86,12/89,85,116,Brake pads,Prime,P 28 017,,13mm,35mm,89mm,,,,,,,Akebono,Acoustic,"21312, 21313, 21314","D277 7180, D339 7233, D364 7233, D373 7263, D374 7233, D374 7233A, D564 7443",With anti-squeal shim,
HONDA,ACCORD III (CA),11/85,12/89,2.0 EXi (CA5),01/86,12/89,85,116,Brake pads,Prime Ceramic,P28017N,,13mm,35mm,89mm,,,,,,,Akebono,Acoustic,"21312, 21313, 21314","D277 7180, D339 7233, D364 7233, D373 7263, D374 7233, D374 7233A, D564 7443",With anti-squeal shim,
HONDA,ACCORD III Aerodeck (CA),11/85,12/89,2.0 EX (CA5),11/85,05/89,78,106,Brake discs,Prime,08.7104.11,239mm,10mm,48mm,,4,Solid,61mm,8mm,108Nm,2,,,,,,
HONDA,ACCORD III Aerodeck (CA),11/85,12/89,2.0 EX (CA5),11/85,05/89,78,106,Brake pads,Prime Ceramic,P28013N,,17mm,53mm,129mm,,,,,,,Akebono,Acoustic,"21446, 21447, 21448","D341 7235, D409 7235, D409 7445",With anti-squeal shim,
HONDA,ACCORD III Aerodeck (CA),11/85,12/89,2.0 EX (CA5),11/85,05/89,78,106,Brake pads,Prime,P 28 017,,13mm,35mm,89mm,,,,,,,Akebono,Acoustic,"21312, 21313, 21314","D277 7180, D339 7233, D364 7233, D373 7263, D374 7233, D374 7233A, D564 7443",With anti-squeal shim,
HONDA,ACCORD III Aerodeck (CA),11/85,12/89,2.0 EX (CA5),11/85,05/89,78,106,Brake pads,Prime Ceramic,P28017N,,13mm,35mm,89mm,,,,,,,Akebono,Acoustic,"21312, 21313, 21314","D277 7180, D339 7233, D364 7233, D373 7263, D374 7233, D374 7233A, D564 7443",With anti-squeal shim,
HONDA,ACCORD III Aerodeck (CA),11/85,12/89,2.0 EXi (CA5),10/87,12/89,85,116,Brake discs,Prime,08.7104.11,239mm,10mm,48mm,,4,Solid,61mm,8mm,108Nm,2,,,,,,
HONDA,ACCORD III Aerodeck (CA),11/85,12/89,2.0 EXi (CA5),10/87,12/89,85,116,Brake pads,Prime Ceramic,P28013N,,17mm,53mm,129mm,,,,,,,Akebono,Acoustic,"21446, 21447, 21448","D341 7235, D409 7235, D409 7445",With anti-squeal shim,
HONDA,ACCORD III Aerodeck (CA),11/85,12/89,2.0 EXi (CA5),10/87,12/89,85,116,Brake pads,Prime,P 28 017,,13mm,35mm,89mm,,,,,,,Akebono,Acoustic,"21312, 21313, 21314","D277 7180, D339 7233, D364 7233, D373 7263, D374 7233, D374 7233A, D564 7443",With anti-squeal shim,
HONDA,ACCORD III Aerodeck (CA),11/85,12/89,2.0 EXi (CA5),10/87,12/89,85,116,Brake pads,Prime Ceramic,P28017N,,13mm,35mm,89mm,,,,,,,Akebono,Acoustic,"21312, 21313, 21314","D277 7180, D339 7233, D364 7233, D373 7263, D374 7233, D374 7233A, D564 7443",With anti-squeal shim,
HONDA,ACCORD IV (CB),11/89,12/93,"2.2 (CB3, CB7)",10/91,10/93,103,140,Brake pads,Prime,P 54 014,,16mm,52mm,128mm,,,,,,,Sumitomo,Acoustic,"21647, 21648, 21649",D484 7365,With anti-squeal shim,
HONDA,ACCORD IV (CB),11/89,12/93,"2.2 (CB3, CB7)",10/91,10/93,103,140,Brake pads,Prime Ceramic,P54014N,,16mm,52mm,128mm,,,,,,,Sumitomo,Acoustic,"21647, 21648, 21649",D484 7365,With anti-squeal shim,
HONDA,ACCORD IV (CB),11/89,12/93,"2.2 (CB3, CB7)",10/91,10/93,103,140,Brake pads,Prime,P 79 027,,15mm,48mm,89mm,,,,,,,Akebono,Acoustic,"21719, 21720, 25201","D365 7256, D537 7418",With accessoriesWith anti-squeal shim,
HONDA,ACCORD IV (CB),11/89,12/93,"2.2 (CB3, CB7)",10/91,10/93,103,140,Brake pads,Prime Ceramic,P79027N,,15mm,48mm,89mm,,,,,,,Akebono,Acoustic,"21719, 21720, 25201","D365 7256, D537 7418",With accessoriesWith anti-squeal shim,
HONDA,ACCORD IV Aerodeck (CB),09/89,02/94,"2.2 (CB8, CB9)",05/92,12/93,103,140,Brake discs,Prime,09.6726.10,282mm,25mm,35mm,,4,Ventilated,92mm,23mm,108Nm,2,,,,,,
HONDA,ACCORD IV Aerodeck (CB),09/89,02/94,"2.2 (CB8, CB9)",05/92,12/93,103,140,Brake pads,Prime,P 28 021,,19mm,54mm,138mm,,,,,,,Akebono,Acoustic,"21879, 21880, 21881","D409 7235, D568 7448",With anti-squeal shim,
HONDA,ACCORD IV Aerodeck (CB),09/89,02/94,"2.2 (CB8, CB9)",05/92,12/93,103,140,Brake pads,Prime Ceramic,P28021N,,19mm,54mm,138mm,,,,,,,Akebono,Acoustic,"21879, 21880, 21881","D409 7235, D568 7448",With anti-squeal shim,
HONDA,ACCORD IV Aerodeck (CB),09/89,02/94,"2.2 (CB8, CB9)",05/92,12/93,103,140,Brake pads,Prime,P 28 026,,17mm,58mm,149mm,,,,,,,Akebono,Acoustic,"21651, 21652, 21653",D503 7382,With anti-squeal shim,
HONDA,ACCORD IV Aerodeck (CB),09/89,02/94,"2.2 (CB8, CB9)",05/92,12/93,103,140,Brake pads,Prime Ceramic,P28026N,,17mm,58mm,149mm,,,,,,,Akebono,Acoustic,"21651, 21652, 21653",D503 7382,With anti-squeal shim,
HONDA,ACCORD IV Aerodeck (CB),09/89,02/94,"2.2 (CB8, CB9)",05/92,12/93,103,140,Brake pads,Prime,P 79 027,,15mm,48mm,89mm,,,,,,,Akebono,Acoustic,"21719, 21720, 25201","D365 7256, D537 7418",With accessoriesWith anti-squeal shim,
HONDA,ACCORD IV Aerodeck (CB),09/89,02/94,"2.2 (CB8, CB9)",05/92,12/93,103,140,Brake pads,Prime Ceramic,P79027N,,15mm,48mm,89mm,,,,,,,Akebono,Acoustic,"21719, 21720, 25201","D365 7256, D537 7418",With accessoriesWith anti-squeal shim,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.0 Hybrid (CR6),01/13,04/16,146,199,Brake pads,Prime,P 28 077,,17mm,61mm,149mm,,,,,,,Akebono,Acoustic,"25792, 25793, 25794",D1654 8883,With anti-squeal shim,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.0 Hybrid (CR6),01/13,04/16,146,199,Brake pads,Prime Ceramic,P28077N,,17mm,61mm,149mm,,,,,,,Akebono,Acoustic,"25792, 25793, 25794",D1654 8883,With anti-squeal shim,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.0 Hybrid (CR6),01/13,04/16,146,199,Brake pads,Prime,P 28 072,,15mm,47mm,94mm,,,,,,,Nissin,Acoustic,"24435, 24661, 24662","D1336 8447, D1451 8447, D1451 8711",With anti-squeal shim,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.0 Hybrid (CR6),01/13,04/16,146,199,Brake pads,Prime Ceramic,P28072N,,15mm,47mm,94mm,,,,,,,Nissin,Acoustic,"24435, 24661, 24662","D1336 8447, D1451 8447, D1451 8711",With anti-squeal shim,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.0 Hybrid (CR6),01/13,04/16,146,199,Brake pads,Xtra,P 28 072X,,15mm,47mm,94mm,,,,,,,Nissin,Acoustic,"24435, 24661, 24662","D1336 8447, D1451 8447, D1451 8711",With anti-squeal shim,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.4 (CR2),11/13,>,129,175,Brake discs,Prime,09.C313.11,293mm,25mm,47mm,,5,Ventilated,64mm,23mm,,2,,,,,,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.4 (CR2),11/13,>,129,175,Brake discs,Xtra,09.C313.1X,293mm,25mm,47mm,,5,Ventilated,64mm,23mm,,2,,,,,,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.4 (CR2),11/13,>,129,175,Brake discs,Prime,09.D219.11,293mm,25mm,47mm,,5,Ventilated,64mm,23mm,,1,,,,,,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.4 (CR2),11/13,>,129,175,Brake discs,Prime,08.B271.11,282mm,9mm,49mm,,5,Solid,64mm,8mm,108Nm,2,,,,,,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.4 (CR2),11/13,>,129,175,Brake discs,Xtra,08.B271.1X,282mm,9mm,49mm,,5,Solid,64mm,8mm,108Nm,2,,,,,,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.4 (CR2),11/13,>,129,175,Brake discs,Prime,08.D326.11,282mm,9mm,49mm,,5,Solid,64mm,8mm,,1,,,,,,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.4 (CR2),11/13,>,129,175,Brake discs,Prime,08.D697.11,305mm,9mm,60mm,,5,Solid,64mm,8mm,,2,,,,,,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.4 (CR2),11/13,>,129,175,Brake pads,Prime,P 28 034,,17mm,59mm,149mm,,,,,,,Nissin,Acoustic,"23729, 24090, 24091","D1276 8392, D1506 7656, D1608 8392, D787 7656",With anti-squeal shim,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.4 (CR2),11/13,>,129,175,Brake pads,Prime Ceramic,P28034N,,17mm,59mm,149mm,,,,,,,Nissin,Acoustic,"23729, 24090, 24091","D1276 8392, D1506 7656, D1608 8392, D787 7656",With anti-squeal shim,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.4 (CR2),11/13,>,129,175,Brake pads,Xtra,P 28 034X,,17mm,59mm,149mm,,,,,,,Nissin,Acoustic,"23729, 24090, 24091","D1276 8392, D1506 7656, D1608 8392, D787 7656",With anti-squeal shim,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.4 (CR2),11/13,>,129,175,Brake pads,Prime,P 28 051,,15mm,48mm,89mm,,,,,,,Akebono,Acoustic,"24231, 24232, 24233","D1086 7418, D536 7418",With accessoriesWith anti-squeal shimWith piston clip,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.4 (CR2),11/13,>,129,175,Brake pads,Prime Ceramic,P28051N,,15mm,48mm,89mm,,,,,,,Akebono,Acoustic,"24231, 24232, 24233","D1086 7418, D536 7418",With accessoriesWith anti-squeal shimWith piston clip,
HONDA,ACCORD IX Saloon (CR),09/12,>,2.4 (CR2),11/13,>,129,175,Brake pads,Prime,P 28 072,,15mm,47mm,94mm,,,,,,,Nissin,Acoustic,"24435, 24661, 24662","D1336 8447, D1451 8447, D1451 8711",With anti-squeal shim,
