brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,directional
HSV,AVALANCHE Estate (VY),10/03,04/06,5.7 i V8 AWD,10/03,04/06,260,354,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,AVALANCHE Estate (VY),10/03,04/06,5.7 i V8 AWD,10/03,04/06,260,354,Brake pads,Prime Ceramic,P99013N,,16mm,64mm,183mm,,,,,,,Akebono,Without,24816,,With anti-squeal shim,,
HSV,AVALANCHE Estate (VY),10/03,04/06,5.7 i V8 AWD,10/03,04/06,260,354,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,AVALANCHE Estate (VY),10/03,04/06,5.7 i V8 AWD,10/03,04/06,260,354,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,AVALANCHE Pickup (VY),03/04,04/06,5.7 i V8 AWD,03/04,09/04,260,354,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,AVALANCHE Pickup (VY),03/04,04/06,5.7 i V8 AWD,03/04,09/04,260,354,Brake pads,Prime Ceramic,P99013N,,16mm,64mm,183mm,,,,,,,Akebono,Without,24816,,With anti-squeal shim,,
HSV,AVALANCHE Pickup (VY),03/04,04/06,5.7 i V8 AWD,03/04,09/04,260,354,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,AVALANCHE Pickup (VY),03/04,04/06,5.7 i V8 AWD,03/04,09/04,260,354,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,CLUBSPORT Saloon (VT),01/97,10/00,5.0 i V8,01/97,06/99,195,265,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,CLUBSPORT Saloon (VT),01/97,10/00,5.0 i V8,01/97,06/99,195,265,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,CLUBSPORT Saloon (VT),01/97,10/00,5.7 i V8,07/99,10/00,250,340,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,CLUBSPORT Saloon (VT),01/97,10/00,5.7 i V8,07/99,10/00,250,340,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,CLUBSPORT Saloon (VX),09/00,09/02,5.7 i V8,09/00,09/02,255,347,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,CLUBSPORT Saloon (VX),09/00,09/02,5.7 i V8,09/00,09/02,255,347,Brake pads,Prime Ceramic,P99013N,,16mm,64mm,183mm,,,,,,,Akebono,Without,24816,,With anti-squeal shim,,
