brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
HYUNDAI,ACCENT I (X-3)                                               / SOLARIS I (X-3),05/94,12/02,1.5 i 12V,10/94,01/00,65,88,Brake discs,Prime,08.4974.10,229mm,13mm,40mm,,4,Solid,86mm,"11,4mm",,2,,,,,,
HYUNDAI,ACCENT I (X-3)                                               / SOLARIS I (X-3),05/94,12/02,1.5 i 12V,10/94,01/00,65,88,Brake discs,Prime,09.5004.10,242mm,19mm,41mm,,4,Ventilated,86mm,"17,7mm",100Nm,2,,,,,,
HYUNDAI,ACCENT I (X-3)                                               / SOLARIS I (X-3),05/94,12/02,1.5 i 12V,10/94,01/00,65,88,Brake pads,Prime,P 30 024,,15mm,49mm,127mm,,,,,,,Akebono,Acoustic,"21012, 21773, 21774","D273 7178, D440 7293, D497 7376",With anti-squeal shim,
HYUNDAI,ACCENT I (X-3)                                               / SOLARIS I (X-3),05/94,12/02,1.5 i 12V,10/94,01/00,65,88,Brake pads,Prime Ceramic,P30024N,,15mm,49mm,127mm,,,,,,,Akebono,Acoustic,"21012, 21773, 21774","D273 7178, D440 7293, D497 7376",With anti-squeal shim,
HYUNDAI,ACCENT I (X-3)                                               / SOLARIS I (X-3),05/94,12/02,1.5 i 16V,12/95,01/00,73,99,Brake discs,Prime,08.4974.10,229mm,13mm,40mm,,4,Solid,86mm,"11,4mm",,2,,,,,,
HYUNDAI,ACCENT I (X-3)                                               / SOLARIS I (X-3),05/94,12/02,1.5 i 16V,12/95,01/00,73,99,Brake discs,Prime,09.5004.10,242mm,19mm,41mm,,4,Ventilated,86mm,"17,7mm",100Nm,2,,,,,,
HYUNDAI,ACCENT I (X-3)                                               / SOLARIS I (X-3),05/94,12/02,1.5 i 16V,12/95,01/00,73,99,Brake pads,Prime,P 30 024,,15mm,49mm,127mm,,,,,,,Akebono,Acoustic,"21012, 21773, 21774","D273 7178, D440 7293, D497 7376",With anti-squeal shim,
HYUNDAI,ACCENT I (X-3)                                               / SOLARIS I (X-3),05/94,12/02,1.5 i 16V,12/95,01/00,73,99,Brake pads,Prime Ceramic,P30024N,,15mm,49mm,127mm,,,,,,,Akebono,Acoustic,"21012, 21773, 21774","D273 7178, D440 7293, D497 7376",With anti-squeal shim,
HYUNDAI,ACCENT II (LC)                                               / SOLARIS II (LC),09/99,12/12,1.5,09/00,02/03,75,102,Brake discs,Prime,09.9537.10,241mm,19mm,52mm,,4,Ventilated,63mm,17mm,100Nm,2,,,,,,
HYUNDAI,ACCENT II (LC)                                               / SOLARIS II (LC),09/99,12/12,1.5,09/00,02/03,75,102,Brake discs,Prime,09.9537.20,241mm,19mm,52mm,,4,Ventilated,62mm,17mm,100Nm,2,,,,,,
HYUNDAI,ACCENT II (LC)                                               / SOLARIS II (LC),09/99,12/12,1.5,09/00,02/03,75,102,Brake pads,Prime,P 30 024,,15mm,49mm,127mm,,,,,,,Akebono,Acoustic,"21012, 21773, 21774","D273 7178, D440 7293, D497 7376",With anti-squeal shim,
HYUNDAI,ACCENT II (LC)                                               / SOLARIS II (LC),09/99,12/12,1.5,09/00,02/03,75,102,Brake pads,Prime Ceramic,P30024N,,15mm,49mm,127mm,,,,,,,Akebono,Acoustic,"21012, 21773, 21774","D273 7178, D440 7293, D497 7376",With anti-squeal shim,
HYUNDAI,ACCENT II (LC)                                               / SOLARIS II (LC),09/99,12/12,1.5,06/00,12/02,76,103,Brake discs,Prime,09.9537.10,241mm,19mm,52mm,,4,Ventilated,63mm,17mm,100Nm,2,,,,,,
HYUNDAI,ACCENT II (LC)                                               / SOLARIS II (LC),09/99,12/12,1.6,12/02,11/05,77,105,Brake discs,Prime,09.9537.10,241mm,19mm,52mm,,4,Ventilated,63mm,17mm,100Nm,2,,,,,,
HYUNDAI,ACCENT II (LC)                                               / SOLARIS II (LC),09/99,12/12,1.6,12/02,11/05,77,105,Brake discs,Prime,09.9537.20,241mm,19mm,52mm,,4,Ventilated,62mm,17mm,100Nm,2,,,,,,
HYUNDAI,ACCENT II (LC)                                               / SOLARIS II (LC),09/99,12/12,1.6,12/02,11/05,77,105,Brake pads,Prime,P 30 024,,15mm,49mm,127mm,,,,,,,Akebono,Acoustic,"21012, 21773, 21774","D273 7178, D440 7293, D497 7376",With anti-squeal shim,
HYUNDAI,ACCENT II (LC)                                               / SOLARIS II (LC),09/99,12/12,1.6,12/02,11/05,77,105,Brake pads,Prime Ceramic,P30024N,,15mm,49mm,127mm,,,,,,,Akebono,Acoustic,"21012, 21773, 21774","D273 7178, D440 7293, D497 7376",With anti-squeal shim,
HYUNDAI,ACCENT II Saloon (LC)                                        / SOLARIS II Saloon (LC),09/99,11/17,1.6,12/02,11/05,77,105,Brake discs,Prime,09.9537.10,241mm,19mm,52mm,,4,Ventilated,63mm,17mm,100Nm,2,,,,,,
HYUNDAI,ACCENT II Saloon (LC)                                        / SOLARIS II Saloon (LC),09/99,11/17,1.6,12/02,11/05,77,105,Brake discs,Prime,09.9537.20,241mm,19mm,52mm,,4,Ventilated,62mm,17mm,100Nm,2,,,,,,
HYUNDAI,ACCENT II Saloon (LC)                                        / SOLARIS II Saloon (LC),09/99,11/17,1.6,12/02,11/05,77,105,Brake pads,Prime,P 30 024,,15mm,49mm,127mm,,,,,,,Akebono,Acoustic,"21012, 21773, 21774","D273 7178, D440 7293, D497 7376",With anti-squeal shim,
HYUNDAI,ACCENT II Saloon (LC)                                        / SOLARIS II Saloon (LC),09/99,11/17,1.6,12/02,11/05,77,105,Brake pads,Prime Ceramic,P30024N,,15mm,49mm,127mm,,,,,,,Akebono,Acoustic,"21012, 21773, 21774","D273 7178, D440 7293, D497 7376",With anti-squeal shim,
HYUNDAI,ACCENT III (MC)                                              / SOLARIS III (MC),08/05,12/10,1.6 GLS,11/05,11/10,82,112,Brake discs,Prime,09.A445.11,256mm,22mm,47mm,,4,Ventilated,62mm,20mm,100Nm,2,,,,,,
HYUNDAI,ACCENT III (MC)                                              / SOLARIS III (MC),08/05,12/10,1.6 GLS,11/05,11/10,82,112,Brake discs,Prime,08.A602.11,262mm,10mm,64mm,,4,Solid,63mm,"8,4mm",100Nm,2,,,,,,
HYUNDAI,ACCENT III (MC)                                              / SOLARIS III (MC),08/05,12/10,1.6 GLS,11/05,11/10,82,112,Brake pads,Prime,P 30 026,,18mm,56mm,130mm,,,,,,,Mando,Acoustic,"24317, 24318, 24319",D1156 8266,With anti-squeal shim,
HYUNDAI,ACCENT III (MC)                                              / SOLARIS III (MC),08/05,12/10,1.6 GLS,11/05,11/10,82,112,Brake pads,Prime Ceramic,P30026N,,18mm,56mm,130mm,,,,,,,Mando,Acoustic,"24317, 24318, 24319",D1156 8266,With anti-squeal shim,
HYUNDAI,ACCENT III (MC)                                              / SOLARIS III (MC),08/05,12/10,1.6 GLS,11/05,11/10,82,112,Brake pads,Prime,P 30 025,,16mm,41mm,93mm,,,,,,,Mando,Acoustic,"24320, 24321, 24322",D1157 8267,With anti-squeal shim,
HYUNDAI,ACCENT III (MC)                                              / SOLARIS III (MC),08/05,12/10,1.6 GLS,11/05,11/10,82,112,Brake pads,Prime Ceramic,P30025N,,16mm,41mm,93mm,,,,,,,Mando,Acoustic,"24320, 24321, 24322",D1157 8267,With anti-squeal shim,
HYUNDAI,ACCENT III Saloon (MC)                                       / SOLARIS III Saloon (MC),11/05,12/12,1.6 GLS,11/05,11/10,82,112,Brake discs,Prime,09.A445.11,256mm,22mm,47mm,,4,Ventilated,62mm,20mm,100Nm,2,,,,,,
HYUNDAI,ACCENT III Saloon (MC)                                       / SOLARIS III Saloon (MC),11/05,12/12,1.6 GLS,11/05,11/10,82,112,Brake discs,Prime,08.A602.11,262mm,10mm,64mm,,4,Solid,63mm,"8,4mm",100Nm,2,,,,,,
HYUNDAI,ACCENT III Saloon (MC)                                       / SOLARIS III Saloon (MC),11/05,12/12,1.6 GLS,11/05,11/10,82,112,Brake pads,Prime,P 30 026,,18mm,56mm,130mm,,,,,,,Mando,Acoustic,"24317, 24318, 24319",D1156 8266,With anti-squeal shim,
HYUNDAI,ACCENT III Saloon (MC)                                       / SOLARIS III Saloon (MC),11/05,12/12,1.6 GLS,11/05,11/10,82,112,Brake pads,Prime Ceramic,P30026N,,18mm,56mm,130mm,,,,,,,Mando,Acoustic,"24317, 24318, 24319",D1156 8266,With anti-squeal shim,
HYUNDAI,ACCENT III Saloon (MC)                                       / SOLARIS III Saloon (MC),11/05,12/12,1.6 GLS,11/05,11/10,82,112,Brake pads,Prime,P 30 025,,16mm,41mm,93mm,,,,,,,Mando,Acoustic,"24320, 24321, 24322",D1157 8267,With anti-squeal shim,
HYUNDAI,ACCENT III Saloon (MC)                                       / SOLARIS III Saloon (MC),11/05,12/12,1.6 GLS,11/05,11/10,82,112,Brake pads,Prime Ceramic,P30025N,,16mm,41mm,93mm,,,,,,,Mando,Acoustic,"24320, 24321, 24322",D1157 8267,With anti-squeal shim,
HYUNDAI,ACCENT IV (RB)                                               / SOLARIS IV (RB),11/10,04/19,1.4,09/15,04/19,74,101,Brake discs,Prime,09.C171.11,256mm,22mm,44mm,,4,Ventilated,62mm,20mm,,2,,,,,,
HYUNDAI,ACCENT IV (RB)                                               / SOLARIS IV (RB),11/10,04/19,1.4,09/15,04/19,74,101,Brake discs,Prime,08.C172.10,262mm,10mm,44mm,,4,Solid,63mm,"8,4mm",,2,,,,,,
HYUNDAI,ACCENT IV (RB)                                               / SOLARIS IV (RB),11/10,04/19,1.4,09/15,04/19,74,101,Brake pads,Prime,P 18 025,,18mm,58mm,133mm,,,,,,,Mando,Acoustic,"25348, 25349, 25350",D1593 8806,With accessoriesWith anti-squeal shim,
HYUNDAI,ACCENT IV (RB)                                               / SOLARIS IV (RB),11/10,04/19,1.4,09/15,04/19,74,101,Brake pads,Prime Ceramic,P18025N,,18mm,58mm,133mm,,,,,,,Mando,Acoustic,"25348, 25349, 25350",D1593 8806,With accessoriesWith anti-squeal shim,
HYUNDAI,ACCENT IV (RB)                                               / SOLARIS IV (RB),11/10,04/19,1.4,09/15,04/19,74,101,Brake pads,Xtra,P 18 025X,,18mm,58mm,133mm,,,,,,,Mando,Acoustic,"25348, 25349, 25350",D1593 8806,With accessoriesWith anti-squeal shim,
HYUNDAI,ACCENT IV (RB)                                               / SOLARIS IV (RB),11/10,04/19,1.4,09/15,04/19,74,101,Brake pads,Prime,P 30 067,,16mm,41mm,100mm,,,,,,,Akebono,Acoustic,"25337, 25338, 25339","D1544 8428, D1594 8428, D2050 9280",With accessoriesWith anti-squeal shim,
HYUNDAI,ACCENT IV (RB)                                               / SOLARIS IV (RB),11/10,04/19,1.4,09/15,04/19,74,101,Brake pads,Prime Ceramic,P30067N,,16mm,41mm,100mm,,,,,,,Akebono,Acoustic,"25337, 25338, 25339","D1544 8428, D1594 8428, D2050 9280",With accessoriesWith anti-squeal shim,
HYUNDAI,ACCENT IV (RB)                                               / SOLARIS IV (RB),11/10,04/19,1.4,09/15,04/19,74,101,Brake pads,Xtra,P 30 067X,,16mm,41mm,100mm,,,,,,,Akebono,Acoustic,"25337, 25338, 25339","D1544 8428, D1594 8428, D2050 9280",With accessoriesWith anti-squeal shim,
HYUNDAI,ACCENT IV (RB)                                               / SOLARIS IV (RB),11/10,04/19,1.4,04/15,04/19,73,99,Brake pads,Prime,P 18 025,,18mm,58mm,133mm,,,,,,,Mando,Acoustic,"25348, 25349, 25350",D1593 8806,With accessoriesWith anti-squeal shim,
HYUNDAI,ACCENT IV (RB)                                               / SOLARIS IV (RB),11/10,04/19,1.4,04/15,04/19,73,99,Brake pads,Prime Ceramic,P18025N,,18mm,58mm,133mm,,,,,,,Mando,Acoustic,"25348, 25349, 25350",D1593 8806,With accessoriesWith anti-squeal shim,
HYUNDAI,ACCENT IV (RB)                                               / SOLARIS IV (RB),11/10,04/19,1.4,04/15,04/19,73,99,Brake pads,Xtra,P 18 025X,,18mm,58mm,133mm,,,,,,,Mando,Acoustic,"25348, 25349, 25350",D1593 8806,With accessoriesWith anti-squeal shim,
HYUNDAI,ACCENT IV (RB)                                               / SOLARIS IV (RB),11/10,04/19,1.4,04/15,04/19,73,99,Brake pads,Prime,P 30 067,,16mm,41mm,100mm,,,,,,,Akebono,Acoustic,"25337, 25338, 25339","D1544 8428, D1594 8428, D2050 9280",With accessoriesWith anti-squeal shim,
HYUNDAI,ACCENT IV (RB)                                               / SOLARIS IV (RB),11/10,04/19,1.4,04/15,04/19,73,99,Brake pads,Prime Ceramic,P30067N,,16mm,41mm,100mm,,,,,,,Akebono,Acoustic,"25337, 25338, 25339","D1544 8428, D1594 8428, D2050 9280",With accessoriesWith anti-squeal shim,
