brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
INFINITI,FX,07/08,>,30d AWD,04/10,>,175,238,Brake discs,Prime,09.D708.11,355mm,32mm,49mm,,5,Ventilated,68mm,30mm,,1,,,,,,
INFINITI,FX,07/08,>,30d AWD,04/10,>,175,238,Brake discs,Prime,09.E528.11,350mm,20mm,62mm,,5,Ventilated,68mm,18mm,,1,,,,,,
INFINITI,FX,07/08,>,30d AWD,04/10,>,175,238,Brake pads,Prime,P 56 089,,16mm,76mm,127mm,,,,,,,Akebono,Acoustic,"24920, 24994",D1346 8457,With anti-squeal shim,
INFINITI,FX,07/08,>,30d AWD,04/10,>,175,238,Brake pads,Prime Ceramic,P56089N,,16mm,76mm,127mm,,,,,,,Akebono,Acoustic,"24920, 24994",D1346 8457,With anti-squeal shim,
INFINITI,FX,07/08,>,30d AWD,04/10,>,175,238,Brake pads,Prime,P 56 095,,14mm,59mm,100mm,,,,,,,Akebono,Acoustic,"24921, 24995",D1347 8458,With anti-squeal shim,
INFINITI,FX,07/08,>,30d AWD,04/10,>,175,238,Brake pads,Prime Ceramic,P56095N,,14mm,59mm,100mm,,,,,,,Akebono,Acoustic,"24921, 24995",D1347 8458,With anti-squeal shim,
INFINITI,FX,07/08,>,37 AWD,10/08,>,235,320,Brake discs,Prime,09.B266.11,320mm,28mm,49mm,,5,Ventilated,68mm,26mm,,1,,,,,,
INFINITI,FX,07/08,>,37 AWD,10/08,>,235,320,Brake discs,Xtra,09.B266.1X,320mm,28mm,49mm,,5,Ventilated,68mm,26mm,,1,,,,,,
INFINITI,FX,07/08,>,37 AWD,10/08,>,235,320,Brake discs,Prime,09.D708.11,355mm,32mm,49mm,,5,Ventilated,68mm,30mm,,1,,,,,,
INFINITI,FX,07/08,>,37 AWD,10/08,>,235,320,Brake discs,Prime,09.B265.11,308mm,16mm,62mm,,5,Ventilated,68mm,14mm,,2,,,,,,
INFINITI,FX,07/08,>,37 AWD,10/08,>,235,320,Brake discs,Prime,09.E528.11,350mm,20mm,62mm,,5,Ventilated,68mm,18mm,,1,,,,,,
INFINITI,FX,07/08,>,37 AWD,10/08,>,235,320,Brake pads,Prime,P 56 089,,16mm,76mm,127mm,,,,,,,Akebono,Acoustic,"24920, 24994",D1346 8457,With anti-squeal shim,
INFINITI,FX,07/08,>,37 AWD,10/08,>,235,320,Brake pads,Prime Ceramic,P56089N,,16mm,76mm,127mm,,,,,,,Akebono,Acoustic,"24920, 24994",D1346 8457,With anti-squeal shim,
INFINITI,FX,07/08,>,37 AWD,10/08,>,235,320,Brake pads,Prime,P 56 095,,14mm,59mm,100mm,,,,,,,Akebono,Acoustic,"24921, 24995",D1347 8458,With anti-squeal shim,
INFINITI,FX,07/08,>,37 AWD,10/08,>,235,320,Brake pads,Prime Ceramic,P56095N,,14mm,59mm,100mm,,,,,,,Akebono,Acoustic,"24921, 24995",D1347 8458,With anti-squeal shim,
INFINITI,FX,07/08,>,50 AWD,10/08,>,287,390,Brake discs,Prime,09.D708.11,355mm,32mm,49mm,,5,Ventilated,68mm,30mm,,1,,,,,,,,,
INFINITI,FX,07/08,>,50 AWD,10/08,>,287,390,Brake discs,Prime,09.E528.11,350mm,20mm,62mm,,5,Ventilated,68mm,18mm,,1,,,,,,,,,
INFINITI,FX,07/08,>,50 AWD,10/08,>,287,390,Brake pads,Prime,P 56 089,,16mm,76mm,127mm,,,,,,,Akebono,Acoustic,"24920, 24994",D1346 8457,With anti-squeal shim,,,,
INFINITI,FX,07/08,>,50 AWD,10/08,>,287,390,Brake pads,Prime Ceramic,P56089N,,16mm,76mm,127mm,,,,,,,Akebono,Acoustic,"24920, 24994",D1346 8457,With anti-squeal shim,,,,
INFINITI,FX,07/08,>,50 AWD,10/08,>,287,390,Brake pads,Prime,P 56 095,,14mm,59mm,100mm,,,,,,,Akebono,Acoustic,"24921, 24995",D1347 8458,With anti-squeal shim,,,,
INFINITI,FX,07/08,>,50 AWD,10/08,>,287,390,Brake pads,Prime Ceramic,P56095N,,14mm,59mm,100mm,,,,,,,Akebono,Acoustic,"24921, 24995",D1347 8458,With anti-squeal shim,,,,
INFINITI,FX,07/08,>,50 AWD,10/08,>,287,390,UPGRADE GT kit,GT | M6 | D,1N1.9014A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
INFINITI,FX,07/08,>,50 AWD,10/08,>,287,390,UPGRADE GT kit,GT | M6 | TY1,1N2.9014A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
INFINITI,FX,07/08,>,50 AWD,10/08,>,287,390,UPGRADE GT kit,GT | M6 | TY3,1N3.9014A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
INFINITI,FX,07/08,>,50 AWD,10/08,>,287,390,UPGRADE GT kit,GT | M4 | D,2P1.8037A_,345mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
INFINITI,FX,07/08,>,50 AWD,10/08,>,287,390,UPGRADE GT kit,GT | M4 | TY1,2P2.8037A_,345mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
INFINITI,FX,07/08,>,50 AWD,10/08,>,287,390,UPGRADE GT kit,GT | M4 | TY3,2P3.8037A_,345mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
INFINITI,G Convertible,09/10,>,37,09/10,>,235,320,Brake discs,Prime,09.D708.11,355mm,32mm,49mm,,5,Ventilated,68mm,30mm,,1,,,,,,
INFINITI,G Convertible,09/10,>,37,09/10,>,235,320,Brake discs,Prime,09.D690.11,350mm,20mm,62mm,,5,Ventilated,68mm,18mm,,1,,,,,,
INFINITI,G Convertible,09/10,>,37,09/10,>,235,320,Brake pads,Prime,P 56 089,,16mm,76mm,127mm,,,,,,,Akebono,Acoustic,"24920, 24994",D1346 8457,With anti-squeal shim,
INFINITI,G Convertible,09/10,>,37,09/10,>,235,320,Brake pads,Prime Ceramic,P56089N,,16mm,76mm,127mm,,,,,,,Akebono,Acoustic,"24920, 24994",D1346 8457,With anti-squeal shim,
INFINITI,G Convertible,09/10,>,37,09/10,>,235,320,Brake pads,Prime,P 56 058,,16mm,59mm,157mm,,,,,,,Sumitomo,Acoustic,"23698, 23699",D888 7766,With anti-squeal shim,
INFINITI,G Convertible,09/10,>,37,09/10,>,235,320,Brake pads,Prime Ceramic,P56058N,,16mm,59mm,157mm,,,,,,,Sumitomo,Acoustic,"23698, 23699",D888 7766,With anti-squeal shim,
INFINITI,G Convertible,09/10,>,37,09/10,>,235,320,Brake pads,Prime Ceramic,P56094N,,17mm,59mm,157mm,,,,,,,Sumitomo,Acoustic,"23698, 23699",D888 8221,With anti-squeal shim,
INFINITI,G Convertible,09/10,>,37,09/10,>,235,320,Brake pads,Prime,P 56 095,,14mm,59mm,100mm,,,,,,,Akebono,Acoustic,"24921, 24995",D1347 8458,With anti-squeal shim,
INFINITI,G Convertible,09/10,>,37,09/10,>,235,320,Brake pads,Prime Ceramic,P56095N,,14mm,59mm,100mm,,,,,,,Akebono,Acoustic,"24921, 24995",D1347 8458,With anti-squeal shim,
INFINITI,G Convertible,09/10,>,37,09/10,>,235,320,Brake pads,Prime,P 56 046,,14mm,37mm,105mm,,,,,,,Akebono,Acoustic,"23871, 23872, 24088","D1288 8405, D1393 8501, D1626 8842, D905 7784",With anti-squeal shim,
INFINITI,G Convertible,09/10,>,37,09/10,>,235,320,Brake pads,Prime Ceramic,P56046N,,14mm,37mm,105mm,,,,,,,Akebono,Acoustic,"23871, 23872, 24088","D1288 8405, D1393 8501, D1626 8842, D905 7784",With anti-squeal shim,
INFINITI,G Convertible,09/10,>,37,09/10,>,235,320,Brake pads,Xtra Ceramic,P56046NX,,14mm,37mm,105mm,,,,,,,Akebono,Acoustic,"23871, 23872, 24088","D1288 8405, D1393 8501, D1626 8842, D905 7784",With anti-squeal shim,
INFINITI,G Coupe,09/07,>,37,09/10,>,235,320,Brake discs,Prime,09.E522.11,320mm,34mm,49mm,,5,Ventilated,68mm,32mm,,1,,,,,,,,,
INFINITI,G Coupe,09/07,>,37,09/10,>,235,320,Brake discs,Prime,09.D708.11,355mm,32mm,49mm,,5,Ventilated,68mm,30mm,,1,,,,,,,,,
INFINITI,G Coupe,09/07,>,37,09/10,>,235,320,Brake discs,Prime,09.B522.11,308mm,16mm,62mm,,5,Ventilated,68mm,14mm,,2,,,,,,,,,
INFINITI,G Coupe,09/07,>,37,09/10,>,235,320,Brake discs,Prime,09.D690.11,350mm,20mm,62mm,,5,Ventilated,68mm,18mm,,1,,,,,,,,,
INFINITI,G Coupe,09/07,>,37,09/10,>,235,320,Brake pads,Prime,P 56 089,,16mm,76mm,127mm,,,,,,,Akebono,Acoustic,"24920, 24994",D1346 8457,With anti-squeal shim,,,,
INFINITI,G Coupe,09/07,>,37,09/10,>,235,320,Brake pads,Prime Ceramic,P56089N,,16mm,76mm,127mm,,,,,,,Akebono,Acoustic,"24920, 24994",D1346 8457,With anti-squeal shim,,,,
INFINITI,G Coupe,09/07,>,37,09/10,>,235,320,Brake pads,Prime,P 56 058,,16mm,59mm,157mm,,,,,,,Sumitomo,Acoustic,"23698, 23699",D888 7766,With anti-squeal shim,,,,
INFINITI,G Coupe,09/07,>,37,09/10,>,235,320,Brake pads,Prime Ceramic,P56058N,,16mm,59mm,157mm,,,,,,,Sumitomo,Acoustic,"23698, 23699",D888 7766,With anti-squeal shim,,,,
INFINITI,G Coupe,09/07,>,37,09/10,>,235,320,Brake pads,Prime Ceramic,P56094N,,17mm,59mm,157mm,,,,,,,Sumitomo,Acoustic,"23698, 23699",D888 8221,With anti-squeal shim,,,,
INFINITI,G Coupe,09/07,>,37,09/10,>,235,320,Brake pads,Prime,P 56 080,,16mm,58mm,158mm,,,,,,,Teves,Acoustic,"24930, 24932, 24933",D1287 8404,With anti-squeal shim,,,,
INFINITI,G Coupe,09/07,>,37,09/10,>,235,320,Brake pads,Prime Ceramic,P56080N,,16mm,58mm,158mm,,,,,,,Teves,Acoustic,"24930, 24932, 24933",D1287 8404,With anti-squeal shim,,,,
INFINITI,G Coupe,09/07,>,37,09/10,>,235,320,Brake pads,Prime,P 56 095,,14mm,59mm,100mm,,,,,,,Akebono,Acoustic,"24921, 24995",D1347 8458,With anti-squeal shim,,,,
INFINITI,G Coupe,09/07,>,37,09/10,>,235,320,Brake pads,Prime Ceramic,P56095N,,14mm,59mm,100mm,,,,,,,Akebono,Acoustic,"24921, 24995",D1347 8458,With anti-squeal shim,,,,
