brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,length,number_of_pistons
IVECO,DAILY II Bus,01/89,05/99,"A 40-10 (95719111, 95719131, 95719311, 95719315,...",09/96,05/99,76,103,Brake discs,Prime,08.5959.10,290mm,22mm,111mm,,6,Solid,68mm,19mm,,1,,,,,,,,
IVECO,DAILY II Bus,01/89,05/99,"A 40-10 (95719111, 95719131, 95719311, 95719315,...",09/96,05/99,76,103,Brake discs,Prime,08.5952.10,289mm,22mm,85mm,,8,Solid,84mm,19mm,,1,,,,,,,,
IVECO,DAILY II Bus,01/89,05/99,Wear indicator,09/96,05/99,76,103,Brake pad accessories,Prime,A 00 351,,,,,,,,,,,,,,,,,300mm,
IVECO,DAILY II Bus,01/89,05/99,"A 40-10 (95719111, 95719131, 95719311, 95719315,...",09/96,05/99,76,103,LCV calipers,,F BR 100B,,,,,,,,,,,BREMBO,,,,,,,2
IVECO,DAILY II Bus,01/89,05/99,"A 40-10 (95719111, 95719131, 95719311, 95719315,...",09/96,05/99,76,103,LCV calipers,,F BR 101B,,,,,,,,,,,BREMBO,,,,,,,2
IVECO,DAILY II Platform/Chassis,01/89,05/99,"40-10 W 4x4 (15211104, 15211105, 15211111, 15211115,...",01/97,05/99,76,103,Brake discs,Prime,08.5959.10,290mm,22mm,111mm,,6,Solid,68mm,19mm,,1,,,,,,,
IVECO,DAILY II Platform/Chassis,01/89,05/99,"40-10 W 4x4 (15211104, 15211105, 15211111, 15211115,...",01/97,05/99,76,103,Brake discs,Prime,08.5952.10,289mm,22mm,85mm,,8,Solid,84mm,19mm,,1,,,,,,,
IVECO,DAILY II Platform/Chassis,01/89,05/99,Wear indicator,01/97,05/99,76,103,Brake pad accessories,Prime,A 00 351,,,,,,,,,,,,,,,,,300mm
IVECO,DAILY II Platform/Chassis,01/89,05/99,"49-12 (13130211, 13130231, 13130304, 13130311, 13130312,...",06/90,04/96,85,116,Brake discs,Prime,08.5079.10,280mm,16mm,142mm,,6,Solid,58mm,"14,5mm",,1,,,,,,,
IVECO,DAILY II Platform/Chassis,01/89,05/99,Wear indicator,06/90,04/96,85,116,Brake pad accessories,Prime,A 00 351,,,,,,,,,,,,,,,,,300mm
IVECO,DAILY II Van,01/89,08/09,"40-10 4x4 (15214104, 15214111, 15214117, 15215111)",01/97,05/99,76,103,Brake discs,Prime,08.5959.10,290mm,22mm,111mm,,6,Solid,68mm,19mm,,1,,,,,,,
IVECO,DAILY II Van,01/89,08/09,"40-10 4x4 (15214104, 15214111, 15214117, 15215111)",01/97,05/99,76,103,Brake discs,Prime,08.5952.10,289mm,22mm,85mm,,8,Solid,84mm,19mm,,1,,,,,,,
IVECO,DAILY II Van,01/89,08/09,Wear indicator,01/97,05/99,76,103,Brake pad accessories,Prime,A 00 351,,,,,,,,,,,,,,,,,300mm
IVECO,DAILY II Van,01/89,08/09,"49-12 V (13134124, 13134204, 13134211, 13134212,...",06/90,04/96,85,116,Brake discs,Prime,08.5079.10,280mm,16mm,142mm,,6,Solid,58mm,"14,5mm",,1,,,,,,,
IVECO,DAILY II Van,01/89,08/09,Wear indicator,06/90,04/96,85,116,Brake pad accessories,Prime,A 00 351,,,,,,,,,,,,,,,,,300mm
IVECO,DAILY III Platform/Chassis,03/98,10/09,40 C 13,05/99,04/06,92,125,Brake discs,Prime,08.5959.10,290mm,22mm,111mm,,6,Solid,68mm,19mm,,1,,,,,,,,
IVECO,DAILY III Platform/Chassis,03/98,10/09,40 C 13,05/99,04/06,92,125,Brake discs,Prime,08.5952.10,289mm,22mm,85mm,,8,Solid,84mm,19mm,,1,,,,,,,,
IVECO,DAILY III Platform/Chassis,03/98,10/09,40 C 13,05/99,04/06,92,125,Brake pads,Prime,P A6 017,,20mm,66mm,165mm,,,,,,,Brembo,Prepared for wear indicator,29121,D1487 8835,With anti-squeal shim,,,
IVECO,DAILY III Platform/Chassis,03/98,10/09,40 C 13,05/99,04/06,92,125,Brake pads,Prime Ceramic,PA6017N,,20mm,66mm,165mm,,,,,,,Brembo,Prepared for wear indicator,29121,D1487 8835,With anti-squeal shim,,,
IVECO,DAILY III Platform/Chassis,03/98,10/09,Wear indicator,05/99,04/06,92,125,Brake pad accessories,Prime,A 00 351,,,,,,,,,,,,,,,,,300mm,
IVECO,DAILY III Platform/Chassis,03/98,10/09,40 C 13,05/99,04/06,92,125,LCV calipers,,F BR 032B,,,,,,,,,,,BREMBO,,,,,,,2
IVECO,DAILY III Platform/Chassis,03/98,10/09,40 C 13,05/99,04/06,92,125,LCV calipers,,F BR 033B,,,,,,,,,,,BREMBO,,,,,,,2
IVECO,DAILY III Platform/Chassis,03/98,10/09,40 C 13,05/99,04/06,92,125,LCV calipers,,F BR 100B,,,,,,,,,,,BREMBO,,,,,,,2
IVECO,DAILY III Platform/Chassis,03/98,10/09,40 C 13,05/99,04/06,92,125,LCV calipers,,F BR 101B,,,,,,,,,,,BREMBO,,,,,,,2
