brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
JAGUAR,E-PACE (X540),09/17,>,2.0 AWD,09/17,>,221,300,Brake discs,Prime,09.C821.11,325mm,30mm,52mm,,5,Ventilated,64mm,28mm,,1,,,,,,
JAGUAR,E-PACE (X540),09/17,>,2.0 AWD,09/17,>,221,300,Brake discs,Prime,09.C492.11,349mm,34mm,52mm,,5,Ventilated,64mm,32mm,,1,,,,,,
JAGUAR,E-PACE (X540),09/17,>,2.0 AWD,09/17,>,221,300,Brake discs,Prime,08.C208.11,300mm,10mm,42mm,,5,Solid,64mm,8mm,,2,,,,,,
JAGUAR,E-PACE (X540),09/17,>,2.0 AWD,09/17,>,221,300,Brake discs,Xtra,08.C208.1X,300mm,10mm,42mm,,5,Solid,64mm,8mm,,2,,,,,,
JAGUAR,E-PACE (X540),09/17,>,2.0 AWD,09/17,>,221,300,Brake pads,Prime,P 36 036,,19mm,79mm,175mm,,,,,,,ATE,Without,"22485, 22486",,With accessoriesWith anti-squeal shimWith brake caliper bolts,
JAGUAR,E-PACE (X540),09/17,>,2.0 AWD,09/17,>,221,300,Brake pads,Prime Ceramic,P36036N,,19mm,79mm,175mm,,,,,,,ATE,Without,"22485, 22486",,With accessoriesWith anti-squeal shimWith brake caliper bolts,
JAGUAR,E-PACE (X540),09/17,>,2.0 AWD,09/17,>,221,300,Brake pads,Prime,P 44 028,,17mm,79mm,175mm,,,,,,,ATE,Prepared for wear indicator,"22485, 22486",D2133 9370,With accessoriesWith anti-squeal shimWith brake caliper bolts,
JAGUAR,E-PACE (X540),09/17,>,2.0 AWD,09/17,>,221,300,Brake pads,Prime Ceramic,P44028N,,17mm,79mm,175mm,,,,,,,ATE,Prepared for wear indicator,"22485, 22486",D2133 9370,With accessoriesWith anti-squeal shimWith brake caliper bolts,
JAGUAR,E-PACE (X540),09/17,>,2.0 AWD,09/17,>,221,300,Brake pads,Xtra Ceramic,P44028NX,,17mm,79mm,175mm,,,,,,,ATE,Prepared for wear indicator,"22485, 22486",D2133 9370,With accessoriesWith anti-squeal shimWith brake caliper bolts,
JAGUAR,E-PACE (X540),09/17,>,2.0 AWD,09/17,>,221,300,Brake pads,Prime,P 36 038,,20mm,77 - 78mm,177mm,,,,,,,CBI,Prepared for wear indicator,"26510, 26511",,With accessoriesWith anti-squeal shimWith brake caliper bolts,
