brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
JEEP,AVENGER (J2),12/22,>,Electric,12/22,>,115,156,Brake pads,Prime Ceramic,P61145N,,,,,,,,,,,,Without,,,,
JEEP,AVENGER (J2),12/22,>,Electric,12/22,>,115,156,Brake pads,Prime,P 61 122,,18mm,50 - 53mm,99mm,,,,,,,Bosch,Without,"25839, 25840",D1891 9119,With accessoriesWith anti-squeal shimWith brake caliper bolts,
JEEP,AVENGER (J2),12/22,>,Electric,12/22,>,115,156,Brake pads,Prime Ceramic,P61122N,,18mm,50 - 53mm,99mm,,,,,,,Bosch,Without,"25839, 25840",D1891 9119,With accessoriesWith anti-squeal shimWith brake caliper bolts,
JEEP,CHEROKEE (KJ),03/01,01/08,2.4 4x4,09/01,01/08,108,147,Brake discs,Prime,09.8864.11,288mm,28mm,65mm,,5,Ventilated,72mm,26mm,115Nm,2,,,,,,
JEEP,CHEROKEE (KJ),03/01,01/08,2.4 4x4,09/01,01/08,108,147,Brake discs,Max,09.8864.75,288mm,28mm,65mm,,5,Ventilated,72mm,26mm,115Nm,2,,,,,,
JEEP,CHEROKEE (KJ),03/01,01/08,2.4 4x4,09/01,01/08,108,147,Brake discs,Prime,08.A636.11,285mm,12mm,60mm,,5,Solid,72mm,11mm,115Nm,2,,,,,,
JEEP,CHEROKEE (KJ),03/01,01/08,2.4 4x4,09/01,01/08,108,147,Brake pads,Prime,P 37 007,,18mm,60mm,147mm,,,,,,,TRW,Acoustic,"23638, 23639, 24884","D7732 7988, D856 7988",With anti-squeal shim,
JEEP,CHEROKEE (KJ),03/01,01/08,2.4 4x4,09/01,01/08,108,147,Brake pads,Prime Ceramic,P37007N,,18mm,60mm,147mm,,,,,,,TRW,Acoustic,"23638, 23639, 24884","D7732 7988, D856 7988",With anti-squeal shim,
JEEP,CHEROKEE (KJ),03/01,01/08,2.4 4x4,09/01,01/08,108,147,Brake pads,Prime Ceramic,P37013N,,14mm,49mm,140 - 141mm,,,,,,,Kelsey Hayes,Without,"24355, 24898, 24899",D964 7863,With accessoriesWith anti-squeal shimWith piston clip,
JEEP,CHEROKEE (KJ),03/01,01/08,2.4 4x4,09/01,01/08,108,147,Brake pads,Prime,P 37 009,,14mm,49mm,141mm,,,,,,,Kelsey Hayes,Without,"24355, 24356, 24357",D981 7863,With accessoriesWith anti-squeal shimWith piston clip,
JEEP,CHEROKEE (KJ),03/01,01/08,2.4 4x4,09/01,01/08,108,147,Brake pads,Prime Ceramic,P37009N,,14mm,49mm,141mm,,,,,,,Kelsey Hayes,Without,"24355, 24356, 24357",D981 7863,With accessoriesWith anti-squeal shimWith piston clip,
JEEP,CHEROKEE (KJ),03/01,01/08,2.5 CRD 4x4,09/01,01/08,105,143,Brake discs,Prime,09.8864.11,288mm,28mm,65mm,,5,Ventilated,72mm,26mm,115Nm,2,,,,,,
JEEP,CHEROKEE (KJ),03/01,01/08,2.5 CRD 4x4,09/01,01/08,105,143,Brake discs,Max,09.8864.75,288mm,28mm,65mm,,5,Ventilated,72mm,26mm,115Nm,2,,,,,,
JEEP,CHEROKEE (KJ),03/01,01/08,2.5 CRD 4x4,09/01,01/08,105,143,Brake discs,Prime,08.A636.11,285mm,12mm,60mm,,5,Solid,72mm,11mm,115Nm,2,,,,,,
JEEP,CHEROKEE (KJ),03/01,01/08,2.5 CRD 4x4,09/01,01/08,105,143,Brake pads,Prime,P 37 007,,18mm,60mm,147mm,,,,,,,TRW,Acoustic,"23638, 23639, 24884","D7732 7988, D856 7988",With anti-squeal shim,
JEEP,CHEROKEE (KJ),03/01,01/08,2.5 CRD 4x4,09/01,01/08,105,143,Brake pads,Prime Ceramic,P37007N,,18mm,60mm,147mm,,,,,,,TRW,Acoustic,"23638, 23639, 24884","D7732 7988, D856 7988",With anti-squeal shim,
JEEP,CHEROKEE (KJ),03/01,01/08,2.5 CRD 4x4,09/01,01/08,105,143,Brake pads,Prime Ceramic,P37013N,,14mm,49mm,140 - 141mm,,,,,,,Kelsey Hayes,Without,"24355, 24898, 24899",D964 7863,With accessoriesWith anti-squeal shimWith piston clip,
JEEP,CHEROKEE (KJ),03/01,01/08,2.5 CRD 4x4,09/01,01/08,105,143,Brake pads,Prime,P 37 009,,14mm,49mm,141mm,,,,,,,Kelsey Hayes,Without,"24355, 24356, 24357",D981 7863,With accessoriesWith anti-squeal shimWith piston clip,
