brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
KG MOBILITY,REXTON (POE),11/23,>,2.2 e-XDI 4WD,11/23,>,149,203,Brake discs,Prime,09.D863.11,320mm,28mm,"56,5mm",,5,Ventilated,85mm,26mm,,1,,,,,,
KG MOBILITY,REXTON (POE),11/23,>,2.2 e-XDI 4WD,11/23,>,149,203,Brake pads,Prime,P 30 036,,18mm,61mm,157mm,,,,,,,Mando,Acoustic,"24351, 24568, 24569","D1202 8322, D1202 8929, D1917 8929",With accessoriesWith anti-squeal shim,
KG MOBILITY,REXTON (POE),11/23,>,2.2 e-XDI 4WD,11/23,>,149,203,Brake pads,Prime Ceramic,P30036N,,18mm,61mm,157mm,,,,,,,Mando,Acoustic,"24351, 24568, 24569","D1202 8322, D1202 8929, D1917 8929",With accessoriesWith anti-squeal shim,
KG MOBILITY,REXTON (POE),11/23,>,2.2 e-XDI 4WD,11/23,>,149,203,Brake pads,Prime,P 77 003,,16mm,53mm,111mm,,,,,,,,Acoustic,"20782, 20835, 20947",,With anti-squeal shim,
KG MOBILITY,REXTON (POE),11/23,>,2.2 e-XDI 4WD,11/23,>,149,203,Brake pads,Prime Ceramic,P77003N,,16mm,53mm,111mm,,,,,,,,Acoustic,"20782, 20835, 20947",,With anti-squeal shim,
KG MOBILITY,"TORRES (U100, J100)",11/23,>,1.5,11/23,>,120,163,Brake discs,Prime,09.D724.11,298mm,26mm,46mm,,5,Ventilated,67mm,24mm,,2,,,,,,
KG MOBILITY,"TORRES (U100, J100)",11/23,>,1.5,11/23,>,120,163,Brake discs,Prime,08.D415.11,284mm,10mm,58mm,,5,Solid,67mm,"8,4mm",,2,,,,,,
KG MOBILITY,"TORRES (U100, J100)",11/23,>,1.5,11/23,>,120,163,Brake pads,Prime,P 77 001,,18mm,57mm,133mm,,,,,,,Mando,Acoustic,"22590, 22591, 22592",D2140 9408,With anti-squeal shim,
KG MOBILITY,"TORRES (U100, J100)",11/23,>,1.5,11/23,>,120,163,Brake pads,Prime Ceramic,P77001N,,18mm,57mm,133mm,,,,,,,Mando,Acoustic,"22590, 22591, 22592",D2140 9408,With anti-squeal shim,
KG MOBILITY,"TORRES (U100, J100)",11/23,>,1.5,11/23,>,120,163,Brake pads,Prime,P 30 067,,16mm,41mm,100mm,,,,,,,Akebono,Acoustic,"25337, 25338, 25339","D1544 8428, D1594 8428, D2050 9280",With accessoriesWith anti-squeal shim,
KG MOBILITY,"TORRES (U100, J100)",11/23,>,1.5,11/23,>,120,163,Brake pads,Prime Ceramic,P30067N,,16mm,41mm,100mm,,,,,,,Akebono,Acoustic,"25337, 25338, 25339","D1544 8428, D1594 8428, D2050 9280",With accessoriesWith anti-squeal shim,
KG MOBILITY,"TORRES (U100, J100)",11/23,>,1.5,11/23,>,120,163,Brake pads,Xtra,P 30 067X,,16mm,41mm,100mm,,,,,,,Akebono,Acoustic,"25337, 25338, 25339","D1544 8428, D1594 8428, D2050 9280",With accessoriesWith anti-squeal shim,
KG MOBILITY,"TORRES (U100, J100)",11/23,>,1.5 4WD,11/23,>,120,163,Brake discs,Prime,09.D724.11,298mm,26mm,46mm,,5,Ventilated,67mm,24mm,,2,,,,,,
KG MOBILITY,"TORRES (U100, J100)",11/23,>,1.5 4WD,11/23,>,120,163,Brake discs,Prime,08.D415.11,284mm,10mm,58mm,,5,Solid,67mm,"8,4mm",,2,,,,,,
KG MOBILITY,"TORRES (U100, J100)",11/23,>,1.5 4WD,11/23,>,120,163,Brake pads,Prime,P 77 001,,18mm,57mm,133mm,,,,,,,Mando,Acoustic,"22590, 22591, 22592",D2140 9408,With anti-squeal shim,
KG MOBILITY,"TORRES (U100, J100)",11/23,>,1.5 4WD,11/23,>,120,163,Brake pads,Prime Ceramic,P77001N,,18mm,57mm,133mm,,,,,,,Mando,Acoustic,"22590, 22591, 22592",D2140 9408,With anti-squeal shim,
KG MOBILITY,"TORRES (U100, J100)",11/23,>,1.5 4WD,11/23,>,120,163,Brake pads,Prime,P 30 067,,16mm,41mm,100mm,,,,,,,Akebono,Acoustic,"25337, 25338, 25339","D1544 8428, D1594 8428, D2050 9280",With accessoriesWith anti-squeal shim,
KG MOBILITY,"TORRES (U100, J100)",11/23,>,1.5 4WD,11/23,>,120,163,Brake pads,Prime Ceramic,P30067N,,16mm,41mm,100mm,,,,,,,Akebono,Acoustic,"25337, 25338, 25339","D1544 8428, D1594 8428, D2050 9280",With accessoriesWith anti-squeal shim,
KG MOBILITY,"TORRES (U100, J100)",11/23,>,1.5 4WD,11/23,>,120,163,Brake pads,Xtra,P 30 067X,,16mm,41mm,100mm,,,,,,,Akebono,Acoustic,"25337, 25338, 25339","D1544 8428, D1594 8428, D2050 9280",With accessoriesWith anti-squeal shim,
