brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
KIA,CARENS I (FC),09/98,10/02,1.8 i,11/00,07/02,81,110,Brake discs,Prime,08.9466.10,261mm,10mm,40mm,,4,Solid,72mm,8mm,98Nm,2,,,,,,
KIA,CARENS I (FC),09/98,10/02,1.8 i,11/00,07/02,81,110,Brake pads,Prime,P 30 016,,15mm,51mm,129mm,,,,,,,Sumitomo,Acoustic,"23873, 23874, 23875","D1515 8724, D889 7767",With anti-squeal shim,
KIA,CARENS I (FC),09/98,10/02,1.8 i,11/00,07/02,81,110,Brake pads,Prime Ceramic,P30016N,,15mm,51mm,129mm,,,,,,,Sumitomo,Acoustic,"23873, 23874, 23875","D1515 8724, D889 7767",With anti-squeal shim,
KIA,CARENS I (FC),09/98,10/02,1.8 i,11/00,07/02,81,110,Brake pads,Prime,P 30 008,,13mm,42mm,99mm,,,,,,,Sumitomo,Acoustic,"23455, 23456, 23457",D775 7642,With anti-squeal shim,
KIA,CARENS I (FC),09/98,10/02,1.8 i,11/00,07/02,81,110,Brake pads,Prime Ceramic,P30008N,,13mm,42mm,99mm,,,,,,,Sumitomo,Acoustic,"23455, 23456, 23457",D775 7642,With anti-squeal shim,
KIA,CARENS III MPV (UN),05/06,12/13,2.0 CVVT,09/06,06/13,106,144,Brake discs,Prime,09.A706.11,280mm,26mm,47mm,,5,Ventilated,69mm,24mm,98Nm,2,,,,,,
KIA,CARENS III MPV (UN),05/06,12/13,2.0 CVVT,09/06,06/13,106,144,Brake discs,Prime,09.B551.11,280mm,26mm,47mm,,5,Ventilated,69mm,"24,4mm",,2,,,,,,
KIA,CARENS III MPV (UN),05/06,12/13,2.0 CVVT,09/06,06/13,106,144,Brake discs,Prime,08.A631.11,275mm,10mm,61mm,,5,Solid,76mm,"8,4mm",98Nm,2,,,,,,
KIA,CARENS III MPV (UN),05/06,12/13,2.0 CVVT,09/06,06/13,106,144,Brake pads,Prime,P 30 039,,17mm,61mm,138mm,,,,,,,Sumitomo,Acoustic,"24501, 24502, 24503","D1295 8412, D1295 8744",With anti-squeal shim,
KIA,CARENS III MPV (UN),05/06,12/13,2.0 CVVT,09/06,06/13,106,144,Brake pads,Prime Ceramic,P30039N,,17mm,61mm,138mm,,,,,,,Sumitomo,Acoustic,"24501, 24502, 24503","D1295 8412, D1295 8744",With anti-squeal shim,
KIA,CARENS III MPV (UN),05/06,12/13,2.0 CVVT,09/06,06/13,106,144,Brake pads,Prime,P 30 040,,16mm,44mm,101mm,,,,,,,Mando,Acoustic,"24491, 24492, 24493",D1296 8413,With anti-squeal shim,
KIA,CARENS III MPV (UN),05/06,12/13,2.0 CVVT,09/06,06/13,106,144,Brake pads,Prime Ceramic,P30040N,,16mm,44mm,101mm,,,,,,,Mando,Acoustic,"24491, 24492, 24493",D1296 8413,With anti-squeal shim,
KIA,CARENS IV,01/13,>,1.7 CRDi,03/13,08/16,100,136,Brake discs,Prime,09.A532.11,300mm,28mm,47mm,,5,Ventilated,69mm,"26,4mm",100Nm,2,,,,,,
