brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
LAMBORGHINI,AVENTADOR Coupe,03/11,>,6.5 LP 740-4 AWD,05/17,>,544,740,Brake pads,Prime,P 85 136,,17mm,93mm,188mm,,,,,,,Brembo,Prepared for wear indicator,24847,D1575 8788,With anti-squeal shimWith counterweights,
LAMBORGHINI,AVENTADOR Coupe,03/11,>,6.5 LP 740-4 AWD,05/17,>,544,740,Brake pads,Prime Ceramic,P85136N,,17mm,93mm,188mm,,,,,,,Brembo,Prepared for wear indicator,24847,D1575 8788,With anti-squeal shimWith counterweights,
LAMBORGHINI,AVENTADOR Coupe,03/11,>,6.5 LP 740-4 AWD,05/17,>,544,740,Brake pads,Xtra Ceramic,P85136NX,,17mm,93mm,188mm,,,,,,,Brembo,Prepared for wear indicator,24847,D1575 8788,With anti-squeal shimWith counterweights,
LAMBORGHINI,COUNTACH,01/74,12/91,LP500 S,01/82,12/85,276,375,Brake pads,Prime Ceramic,P06002N,,15mm,71mm,90mm,,,,,,,Teves,Prepared for wear indicator,20437,"D163 7015, D163 7090, D74 7001",With anti-squeal shim,
LAMBORGHINI,DIABLO,01/90,>,5.7,03/90,01/99,361,491,Brake discs,Prime,09.5024.10,328mm,32mm,81mm,,5,Ventilated,70mm,30mm,,2,,,,,,
LAMBORGHINI,DIABLO,01/90,>,5.7,03/90,01/99,361,491,Brake pads,Prime Ceramic,P06002N,,15mm,71mm,90mm,,,,,,,Teves,Prepared for wear indicator,20437,"D163 7015, D163 7090, D74 7001",With anti-squeal shim,
LAMBORGHINI,DIABLO,01/90,>,SV,01/98,>,390,530,Brake pads,Prime,P 85 078,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,DIABLO,01/90,>,SV,01/98,>,390,530,Brake pads,Prime Ceramic,P85078N,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,DIABLO,01/90,>,VT,08/98,>,390,530,Brake pads,Prime,P 85 078,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,DIABLO,01/90,>,VT,08/98,>,390,530,Brake pads,Prime Ceramic,P85078N,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,DIABLO,01/90,>,VT All-wheel Drive,01/90,08/98,361,492,Brake discs,Prime,09.5394.10,320mm,32mm,81mm,,5,Ventilated,70mm,30mm,,1,,,,,,
LAMBORGHINI,DIABLO,01/90,>,VT All-wheel Drive,01/90,08/98,361,492,Brake discs,Prime,09.5024.10,328mm,32mm,81mm,,5,Ventilated,70mm,30mm,,2,,,,,,
LAMBORGHINI,DIABLO,01/90,>,VT All-wheel Drive,01/90,08/98,361,492,Brake discs,Prime,09.5395.10,310mm,28mm,79mm,,5,Ventilated,70mm,26mm,,2,,,,,,
LAMBORGHINI,DIABLO,01/90,>,VT All-wheel Drive,01/90,08/98,361,492,Brake pads,Prime Ceramic,P06002N,,15mm,71mm,90mm,,,,,,,Teves,Prepared for wear indicator,20437,"D163 7015, D163 7090, D74 7001",With anti-squeal shim,
LAMBORGHINI,DIABLO Roadster,09/95,12/00,5.7,01/98,12/00,390,530,Brake pads,Prime,P 85 078,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,DIABLO Roadster,09/95,12/00,5.7,01/98,12/00,390,530,Brake pads,Prime Ceramic,P85078N,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,GALLARDO,08/03,>,5.0,08/03,>,368,500,Brake pads,Prime,P 85 078,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,GALLARDO,08/03,>,5.0,08/03,>,368,500,Brake pads,Prime Ceramic,P85078N,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,GALLARDO,08/03,>,5.0,07/05,>,382,520,Brake pads,Prime,P 85 078,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,GALLARDO,08/03,>,5.0,07/05,>,382,520,Brake pads,Prime Ceramic,P85078N,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,GALLARDO,08/03,>,5.0 Superleggera,03/07,12/09,390,530,Brake pads,Prime,P 85 078,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,GALLARDO,08/03,>,5.0 Superleggera,03/07,12/09,390,530,Brake pads,Prime Ceramic,P85078N,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,GALLARDO,08/03,>,5.2 AWD,03/10,>,419,570,Brake pads,Prime,P 85 078,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,GALLARDO,08/03,>,5.2 AWD,03/10,>,419,570,Brake pads,Prime Ceramic,P85078N,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,GALLARDO,08/03,>,5.2 LP 550-2,09/09,09/14,405,551,Brake pads,Prime,P 85 078,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,GALLARDO,08/03,>,5.2 LP 550-2,09/09,09/14,405,551,Brake pads,Prime Ceramic,P85078N,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,GALLARDO,08/03,>,5.2 LP560-4,06/08,>,412,560,Brake pads,Prime,P 85 078,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,GALLARDO,08/03,>,5.2 LP560-4,06/08,>,412,560,Brake pads,Prime Ceramic,P85078N,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,GALLARDO,08/03,>,5.2 LP560-4,06/08,>,412,560,Brake pads,Prime,P 02 001,,9mm,54mm,56mm,,,,,,,Brembo,Without,20610,D971 7872,With anti-squeal shim,
LAMBORGHINI,GALLARDO,08/03,>,5.2 LP560-4,06/08,>,412,560,Brake pads,Prime Ceramic,P02001N,,9mm,54mm,56mm,,,,,,,Brembo,Without,20610,D971 7872,With anti-squeal shim,
LAMBORGHINI,GALLARDO SPYDER,08/05,>,5.0,08/05,>,382,520,Brake pads,Prime,P 85 078,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,GALLARDO SPYDER,08/05,>,5.0,08/05,>,382,520,Brake pads,Prime Ceramic,P85078N,,17mm,74mm,97mm,,,,,,,Brembo,Electric,"23751, 23764, 23765",D1029 7934,With anti-squeal shim,
LAMBORGHINI,HURACÁN SPYDER,07/15,>,5.2 LP 580-2,11/16,>,426,579,Brake pads,Prime,P 65 016,,17mm,110mm,176mm,,,,,,,Brembo,Prepared for wear indicator,23961,D1130 8241,With anti-squeal shimWith counterweights,
LAMBORGHINI,HURACÁN SPYDER,07/15,>,5.2 LP 580-2,11/16,>,426,579,Brake pads,Prime Ceramic,P65016N,,17mm,110mm,176mm,,,,,,,Brembo,Prepared for wear indicator,23961,D1130 8241,With anti-squeal shimWith counterweights,
