brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
LANCIA,BETA (828_),08/73,07/82,1400 (828AB2),08/73,07/76,66,90,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA (828_),08/73,07/82,"1600 (828CB0, 828AB0)",08/73,07/82,74,101,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA (828_),08/73,07/82,1800 (828AB1),08/73,07/76,81,110,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA (828_),08/73,07/82,2000 (828CB1),07/78,07/82,85,115,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA Coupe (828_),09/74,12/84,1300 (828BC3),12/81,12/84,62,84,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA Coupe (828_),09/74,12/84,1600 (828BC0),04/76,12/84,74,101,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA Coupe (828_),09/74,12/84,"1800 (828AC1, 828BF)",09/74,12/76,88,120,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA Coupe (828_),09/74,12/84,2000 (828.BC),04/76,12/84,88,120,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA Coupe (828_),09/74,12/84,2000 (828BC_),01/81,12/84,85,116,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA Coupe (828_),09/74,12/84,2000 i.e. (828.BC),12/81,12/84,90,122,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA Coupe (828_),09/74,12/84,2000 VX (828.BC),07/83,12/84,99,135,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA H.P.E. (828_),05/76,09/84,1600 (828BF0),08/80,09/84,74,101,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA H.P.E. (828_),05/76,09/84,2000 (828.BF),04/79,09/84,85,116,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA H.P.E. (828_),05/76,09/84,2000 (828.BF),05/76,05/78,88,120,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA H.P.E. (828_),05/76,09/84,2000 i.e. (828BF),05/81,09/84,90,122,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA H.P.E. (828_),05/76,09/84,2000 Volumex (828.BF),07/83,09/84,99,135,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA Saloon (828_),09/75,10/86,1300 (828CB3),04/76,07/82,61,83,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA Saloon (828_),09/75,10/86,2000 (828CB1),04/76,07/78,88,120,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA Spider (828_),05/75,10/86,1600 (828BS0),05/76,10/86,74,100,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA Spider (828_),05/75,10/86,2000 (828BS1),04/79,10/86,85,116,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,BETA Spider (828_),05/75,10/86,2000 (828BS1),05/76,11/79,88,120,Brake discs,Prime,08.2597.10,251mm,"12,7mm",66mm,,4,Solid,49mm,"11,5mm",,2,,,,,,
LANCIA,DELTA I (831_),09/79,01/94,1.6 HF Turbo (831AB.020S),04/87,03/89,97,132,Brake discs,Prime,09.4768.10,257mm,20mm,52mm,,4,Ventilated,59mm,"18,2mm",,2,,,,,,
LANCIA,DELTA I (831_),09/79,01/94,1.6 HF Turbo (831AB.020S),04/87,03/89,97,132,Brake discs,Prime,08.3636.10,227mm,"10,8mm",46mm,,4,Solid,62mm,9mm,86Nm,2,,,,,,
LANCIA,DELTA I (831_),09/79,01/94,1.6 HF Turbo (831AB.020S),04/87,03/89,97,132,Brake pads,Prime,P 23 017,,17mm,67mm,104mm,,,,,,,TRW,Electric,"20833, 20834, 20838",,With anti-squeal shimWith brake caliper bolts,
LANCIA,DELTA I (831_),09/79,01/94,1.6 HF Turbo (831AB.020S),04/87,03/89,97,132,Brake pads,Prime Ceramic,P23017N,,17mm,67mm,104mm,,,,,,,TRW,Electric,"20833, 20834, 20838",,With anti-squeal shimWith brake caliper bolts,
