brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,max_diameter
LAND ROVER,110/127 (LDH),09/83,12/90,2.5 D 4x4,09/83,07/90,51,69,Brake discs,Prime,08.5347.11,298mm,14mm,70mm,,5,Solid,101mm,13mm,130Nm,2,,,,,,,
LAND ROVER,110/127 (LDH),09/83,12/90,2.5 D 4x4,09/83,07/90,51,69,Drums,Essential,14.3179.10,279mm,,87mm,68mm,5,,"114,3mm",,,,,,,,,,281mm
LAND ROVER,110/127 (LDH),09/83,12/90,2.5 TD 4x4,09/86,07/90,63,86,Brake discs,Prime,08.5347.11,298mm,14mm,70mm,,5,Solid,101mm,13mm,130Nm,2,,,,,,,
LAND ROVER,110/127 (LDH),09/83,12/90,2.5 TD 4x4,09/86,07/90,63,86,Drums,Essential,14.3179.10,279mm,,87mm,68mm,5,,"114,3mm",,,,,,,,,,281mm
LAND ROVER,110/127 (LDH),09/83,12/90,3.5 4x4,09/83,07/90,98,133,Brake discs,Prime,08.5347.11,298mm,14mm,70mm,,5,Solid,101mm,13mm,130Nm,2,,,,,,,
LAND ROVER,110/127 (LDH),09/83,12/90,3.5 4x4,09/83,07/90,98,133,Drums,Essential,14.3179.10,279mm,,87mm,68mm,5,,"114,3mm",,,,,,,,,,281mm
LAND ROVER,90 I (LDV),01/84,08/90,2.5 4x4,09/85,08/90,62,84,Brake discs,Prime,08.5347.11,298mm,14mm,70mm,,5,Solid,101mm,13mm,130Nm,2,,,,,,,
LAND ROVER,90 I (LDV),01/84,08/90,2.5 4x4,09/85,08/90,62,84,Drums,Essential,14.3179.10,279mm,,87mm,68mm,5,,"114,3mm",,,,,,,,,,281mm
LAND ROVER,DEFENDER Cabrio (L316),08/90,02/16,2.2 Td4 4x4 (L317),08/11,02/16,90,122,Brake discs,Prime,08.5347.11,298mm,14mm,70mm,,5,Solid,101mm,13mm,130Nm,2,,,,,,,
LAND ROVER,DEFENDER Cabrio (L316),08/90,02/16,2.2 Td4 4x4 (L317),08/11,02/16,90,122,Brake discs,Prime,09.5488.11,298mm,24mm,70mm,,5,Ventilated,102mm,22mm,130Nm,2,,,,,,,
