brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
LEXUS,CT (ZWA10_),12/10,>,"200h (ZWA10_, ZWA10R)",09/11,>,100,136,Brake discs,Prime,09.B494.11,255mm,25mm,49mm,,5,Ventilated,55mm,22mm,103Nm,2,,,,,,
LEXUS,CT (ZWA10_),12/10,>,"200h (ZWA10_, ZWA10R)",09/11,>,100,136,Brake discs,Prime,08.A534.31,259mm,9mm,30mm,,5,Solid,55mm,"7,5mm",103Nm,2,,,,,,
LEXUS,CT (ZWA10_),12/10,>,"200h (ZWA10_, ZWA10R)",09/11,>,100,136,Brake discs,Xtra,08.A534.3X,259mm,9mm,30mm,,5,Solid,55mm,"7,5mm",103Nm,2,,,,,,
LEXUS,CT (ZWA10_),12/10,>,"200h (ZWA10_, ZWA10R)",09/11,>,100,136,Brake discs,Prime,08.D416.11,279mm,10mm,30mm,,5,Solid,55mm,"8,5mm",,2,,,,,,
LEXUS,CT (ZWA10_),12/10,>,"200h (ZWA10_, ZWA10R)",09/11,>,100,136,Brake pads,Prime,P 83 106,,16mm,50mm,123mm,,,,,,,Akebono,Without,24451,D1184 8538,With anti-squeal shim,
LEXUS,CT (ZWA10_),12/10,>,"200h (ZWA10_, ZWA10R)",09/11,>,100,136,Brake pads,Prime Ceramic,P83106N,,16mm,50mm,123mm,,,,,,,Akebono,Without,24451,D1184 8538,With anti-squeal shim,
LEXUS,CT (ZWA10_),12/10,>,"200h (ZWA10_, ZWA10R)",09/11,>,100,136,Brake pads,Prime,P 83 133,,14mm,42mm,99mm,,,,,,,Akebono,Acoustic,"25016, 25017, 25018","D1354 8463, D1423 8463",With anti-squeal shim,
LEXUS,CT (ZWA10_),12/10,>,"200h (ZWA10_, ZWA10R)",09/11,>,100,136,Brake pads,Prime Ceramic,P83133N,,14mm,42mm,99mm,,,,,,,Akebono,Acoustic,"25016, 25017, 25018","D1354 8463, D1423 8463",With anti-squeal shim,
LEXUS,ES (_V6_),06/12,06/18,"300h (ASV60_, AVV60_, AVV60R)",06/12,06/18,151,205,Brake discs,Prime,09.A417.11,296mm,28mm,49mm,,5,Ventilated,62mm,25mm,103Nm,2,,,,,,
LEXUS,ES (_V6_),06/12,06/18,"300h (ASV60_, AVV60_, AVV60R)",06/12,06/18,151,205,Brake discs,Xtra,09.A417.1X,296mm,28mm,49mm,,5,Ventilated,62mm,25mm,103Nm,2,,,,,,
