brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
MG,MG 3 (ZP2_),02/24,>,1.5 Hybrid+,02/24,>,143,194,Brake pads,Prime Ceramic,P51007N,,16mm,50mm,150mm,,,,,,,,Acoustic,"25344, 25345, 25346",,With anti-squeal shimWith piston clip,
MG,MG 5,10/20,>,1.5 FWD,03/22,>,84,114,Brake pads,Prime,P 85 072,,20mm,55mm,146mm,,,,,,,Teves,Electric,"23130, 23131, 23187",D768 7709,With accessoriesWith anti-squeal shimWith piston clip,
MG,MG 5,10/20,>,1.5 FWD,03/22,>,84,114,Brake pads,Prime Ceramic,P85072N,,20mm,55mm,146mm,,,,,,,Teves,Electric,"23130, 23131, 23187",D768 7709,With accessoriesWith anti-squeal shimWith piston clip,
MG,MG 5,10/20,>,1.5 FWD,03/22,>,84,114,Brake pads,Xtra,P 85 072X,,20mm,55mm,146mm,,,,,,,Teves,Electric,"23130, 23131, 23187",D768 7709,With accessoriesWith anti-squeal shimWith piston clip,
MG,MG 5,10/20,>,1.5 FWD,03/22,>,84,114,Brake pads,Prime,P 36 022,,19mm,67 - 72mm,156mm,,,,,,,Teves,Prepared for wear indicator,"24084, 24326",D1241 8358,With accessoriesWith anti-squeal shimWith piston clip,
MG,MG 5,10/20,>,1.5 FWD,03/22,>,84,114,Brake pads,Prime Ceramic,P36022N,,19mm,67 - 72mm,156mm,,,,,,,Teves,Prepared for wear indicator,"24084, 24326",D1241 8358,With accessoriesWith anti-squeal shimWith piston clip,
MG,MG 5,10/20,>,1.5 FWD,03/22,>,84,114,Brake pads,Prime,P 85 020,,17mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1017 7920, D1023 7773, D1112 7773, D340 7335, D894 7773",With accessoriesWith anti-squeal shimWith brake caliper bolts,
MG,MG 5,10/20,>,1.5 FWD,03/22,>,84,114,Brake pads,Prime Ceramic,P85020N,,17mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1017 7920, D1023 7773, D1112 7773, D340 7335, D894 7773",With accessoriesWith anti-squeal shimWith brake caliper bolts,
MG,MG 5,10/20,>,1.5 FWD,03/22,>,84,114,Brake pads,Xtra,P 85 020X,,17mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1017 7920, D1023 7773, D1112 7773, D340 7335, D894 7773",With accessoriesWith anti-squeal shimWith brake caliper bolts,
MG,MG 5,10/20,>,1.5 FWD,03/22,>,84,114,Brake pads,Prime,P 85 125,,16mm,56 - 61mm,123mm,,,,,,,Teves,Without,"25008, 25010",D1761 8990,With accessoriesWith anti-squeal shim,
MG,MG 5,10/20,>,1.5 FWD,03/22,>,84,114,Brake pads,Prime Ceramic,P85125N,,16mm,56 - 61mm,123mm,,,,,,,Teves,Without,"25008, 25010",D1761 8990,With accessoriesWith anti-squeal shim,
MG,MG 5,10/20,>,1.5 FWD,03/22,>,84,114,Brake pads,Xtra,P 85 125X,,16mm,56 - 61mm,123mm,,,,,,,Teves,Without,"25008, 25010",D1761 8990,With accessoriesWith anti-squeal shim,
MG,MG 6 Hatchback,11/10,>,1.8 T,11/10,>,118,160,Brake discs,Prime,09.7879.11,284mm,22mm,38mm,,5,Ventilated,64mm,19mm,125Nm,2,,,,,,
MG,MG 6 Hatchback,11/10,>,1.8 T,11/10,>,118,160,Brake discs,Prime,09.8003.11,285mm,28mm,44mm,,5,Ventilated,59mm,26mm,100Nm,2,,,,,,
MG,MG 6 Hatchback,11/10,>,1.8 T,11/10,>,118,160,Brake pads,Prime,P 52 017,,19mm,67 - 70mm,156 - 155mm,,,,,,,Teves,Prepared for wear indicator,"23112, 23114",D1462 8662,With accessoriesWith anti-squeal shimWith piston clip,
MG,MG 6 Hatchback,11/10,>,1.8 T,11/10,>,118,160,Brake pads,Prime Ceramic,P52017N,,19mm,67 - 70mm,156 - 155mm,,,,,,,Teves,Prepared for wear indicator,"23112, 23114",D1462 8662,With accessoriesWith anti-squeal shimWith piston clip,
MG,MG 6 Hatchback,11/10,>,1.8 T,11/10,>,118,160,Brake pads,Prime,P 06 025,,17mm,45mm,123mm,,,,,,,Teves,Prepared for wear indicator,"21934, 21935","D1442 7631, D692 7286, D692 7567, D763 7631",With accessoriesWith anti-squeal shimWith piston clip,
MG,MG 6 Hatchback,11/10,>,1.8 T,11/10,>,118,160,Brake pads,Prime Ceramic,P06025N,,17mm,45mm,123mm,,,,,,,Teves,Prepared for wear indicator,"21934, 21935","D1442 7631, D692 7286, D692 7567, D763 7631",With accessoriesWith anti-squeal shimWith piston clip,
MG,MG 6 Saloon,11/10,>,1.8 T,11/10,>,118,160,Brake discs,Prime,09.7879.11,284mm,22mm,38mm,,5,Ventilated,64mm,19mm,125Nm,2,,,,,,
MG,MG 6 Saloon,11/10,>,1.8 T,11/10,>,118,160,Brake discs,Prime,09.8003.11,285mm,28mm,44mm,,5,Ventilated,59mm,26mm,100Nm,2,,,,,,
MG,MG 6 Saloon,11/10,>,1.8 T,11/10,>,118,160,Brake pads,Prime,P 52 017,,19mm,67 - 70mm,156 - 155mm,,,,,,,Teves,Prepared for wear indicator,"23112, 23114",D1462 8662,With accessoriesWith anti-squeal shimWith piston clip,
