brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
MITSUBISHI,3000 GT Coupe (Z1_A),06/89,08/00,3.0 Turbo 4WD (Z16A),01/90,08/99,210,286,Brake pads,Prime,P 54 019,,15mm,65 - 75mm,119mm,,,,,,,Akebono,Acoustic,"24286, 24287",D531 7413,With anti-squeal shim,
MITSUBISHI,3000 GT Coupe (Z1_A),06/89,08/00,3.0 Turbo 4WD (Z16A),01/90,08/99,210,286,Brake pads,Prime Ceramic,P54019N,,15mm,65 - 75mm,119mm,,,,,,,Akebono,Acoustic,"24286, 24287",D531 7413,With anti-squeal shim,
MITSUBISHI,3000 GT Coupe (Z1_A),06/89,08/00,3.0 Turbo 4WD (Z16A),01/90,08/99,210,286,Brake pads,Prime,P 54 048,,17mm,60 - 69mm,81mm,,,,,,,Sumitomo,Acoustic,"23492, 23493",D631 7510,With anti-squeal shim,
MITSUBISHI,3000 GT Coupe (Z1_A),06/89,08/00,3.0 Turbo 4WD (Z16A),01/90,08/99,210,286,Brake pads,Prime Ceramic,P54048N,,17mm,60 - 69mm,81mm,,,,,,,Sumitomo,Acoustic,"23492, 23493",D631 7510,With anti-squeal shim,
MITSUBISHI,3000 GT Coupe (Z1_A),06/89,08/00,3.0 Turbo 4WD (Z16A),01/90,08/99,210,286,Brake pads,Prime,P 59 027,,15mm,41mm,108mm,,,,,,,Akebono,Acoustic,"23361, 23362, 23363","D508 7387, D698 7387, D714 7387",With anti-squeal shim,
MITSUBISHI,3000 GT Coupe (Z1_A),06/89,08/00,3.0 Turbo 4WD (Z16A),01/90,08/99,210,286,Brake pads,Prime Ceramic,P59027N,,15mm,41mm,108mm,,,,,,,Akebono,Acoustic,"23361, 23362, 23363","D508 7387, D698 7387, D714 7387",With anti-squeal shim,
MITSUBISHI,ASX (GA_W_),11/09,>,1.8 DI-D 4WD (GA6W),06/10,>,110,150,Brake discs,Prime,09.N264.11,294mm,26mm,46mm,,5,Ventilated,69mm,"24,4mm",,2,,,,,,
MITSUBISHI,ASX (GA_W_),11/09,>,1.8 DI-D 4WD (GA6W),06/10,>,110,150,Brake discs,Xtra,09.N264.1X,294mm,26mm,46mm,,5,Ventilated,69mm,"24,4mm",,2,,,,,,
MITSUBISHI,ASX (GA_W_),11/09,>,1.8 DI-D 4WD (GA6W),06/10,>,110,150,Brake discs,Prime,08.C247.11,302mm,10mm,60mm,,5,Solid,80mm,"8,4mm",,2,,,,,,
MITSUBISHI,ASX (GA_W_),11/09,>,1.8 DI-D 4WD (GA6W),06/10,>,110,150,Brake discs,Xtra,08.C247.1X,302mm,10mm,60mm,,5,Solid,80mm,"8,4mm",,2,,,,,,
