brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,directional
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake discs,Prime,09.B355.11,276mm,26mm,46mm,,5,Ventilated,60mm,23mm,120Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake discs,Max,09.B355.75,276mm,26mm,46mm,,5,Ventilated,60mm,23mm,120Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake discs,Prime,09.B356.11,300mm,26mm,46mm,,5,Ventilated,71mm,23mm,110Nm,1,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake discs,Prime,09.C377.11,321mm,30mm,46mm,,5,Ventilated,71mm,27mm,,1,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake discs,Prime,09.B781.13,355mm,32mm,45mm,,5,Ventilated,71mm,30mm,,1,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake discs,Prime,08.B357.11,268mm,12mm,45mm,,5,Solid,60mm,10mm,110Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake discs,Xtra,08.B357.1X,268mm,12mm,45mm,,5,Solid,60mm,10mm,110Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake discs,Prime,08.B351.11,292mm,12mm,45mm,,5,Solid,71mm,10mm,110Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake discs,Xtra,08.B351.1X,292mm,12mm,45mm,,5,Solid,71mm,10mm,110Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake pads,Prime,P 59 055,,19mm,62mm,142mm,,,,,,,Mando,Acoustic,"24412, 24413, 24414","D1404 8512, D1557 8769, D1745 8971",With accessoriesWith anti-squeal shim,,Yes
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake pads,Prime Ceramic,P59055N,,19mm,62mm,142mm,,,,,,,Mando,Acoustic,"24412, 24413, 24414","D1404 8512, D1557 8769, D1745 8971",With accessoriesWith anti-squeal shim,,Yes
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake pads,Xtra,P 59 055X,,19mm,62mm,142mm,,,,,,,Mando,Acoustic,"24412, 24413, 24414","D1404 8512, D1557 8769, D1745 8971",With accessoriesWith anti-squeal shim,,Yes
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake pads,Prime,P 59 076,,19mm,60mm,148mm,,,,,,,Bosch,Acoustic,"25031, 25032, 25033","D1497 8697, D1522 8730",With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake pads,Prime Ceramic,P59076N,,19mm,60mm,148mm,,,,,,,Bosch,Acoustic,"25031, 25032, 25033","D1497 8697, D1522 8730",With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake pads,Xtra,P 59 076X,,19mm,60mm,148mm,,,,,,,Bosch,Acoustic,"25031, 25032, 25033","D1497 8697, D1522 8730",With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake pads,Prime,P 59 077,,19mm,61mm,148mm,,,,,,,Bosch,Acoustic,"25034, 25035, 25036",D1467 8667,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake pads,Prime Ceramic,P59077N,,19mm,61mm,148mm,,,,,,,Bosch,Acoustic,"25034, 25035, 25036",D1467 8667,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake pads,Xtra,P 59 077X,,19mm,61mm,148mm,,,,,,,Bosch,Acoustic,"25034, 25035, 25036",D1467 8667,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake pads,Prime,P 59 080,,16mm,43mm,117mm,,,,,,,TRW,Acoustic,"25096, 25097, 25098",D1468 8668,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake pads,Prime Ceramic,P59080N,,16mm,43mm,117mm,,,,,,,TRW,Acoustic,"25096, 25097, 25098",D1468 8668,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.4 Turbo (68),12/09,10/15,103,140,Brake pads,Xtra,P 59 080X,,16mm,43mm,117mm,,,,,,,TRW,Acoustic,"25096, 25097, 25098",D1468 8668,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake discs,Prime,09.B355.11,276mm,26mm,46mm,,5,Ventilated,60mm,23mm,120Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake discs,Max,09.B355.75,276mm,26mm,46mm,,5,Ventilated,60mm,23mm,120Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake discs,Prime,09.B356.11,300mm,26mm,46mm,,5,Ventilated,71mm,23mm,110Nm,1,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake discs,Prime,09.C377.11,321mm,30mm,46mm,,5,Ventilated,71mm,27mm,,1,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake discs,Prime,08.B357.11,268mm,12mm,45mm,,5,Solid,60mm,10mm,110Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake discs,Xtra,08.B357.1X,268mm,12mm,45mm,,5,Solid,60mm,10mm,110Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake discs,Prime,08.B351.11,292mm,12mm,45mm,,5,Solid,71mm,10mm,110Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake discs,Xtra,08.B351.1X,292mm,12mm,45mm,,5,Solid,71mm,10mm,110Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake pads,Prime,P 59 055,,19mm,62mm,142mm,,,,,,,Mando,Acoustic,"24412, 24413, 24414","D1404 8512, D1557 8769, D1745 8971",With accessoriesWith anti-squeal shim,,Yes
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake pads,Prime Ceramic,P59055N,,19mm,62mm,142mm,,,,,,,Mando,Acoustic,"24412, 24413, 24414","D1404 8512, D1557 8769, D1745 8971",With accessoriesWith anti-squeal shim,,Yes
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake pads,Xtra,P 59 055X,,19mm,62mm,142mm,,,,,,,Mando,Acoustic,"24412, 24413, 24414","D1404 8512, D1557 8769, D1745 8971",With accessoriesWith anti-squeal shim,,Yes
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake pads,Prime,P 59 076,,19mm,60mm,148mm,,,,,,,Bosch,Acoustic,"25031, 25032, 25033","D1497 8697, D1522 8730",With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake pads,Prime Ceramic,P59076N,,19mm,60mm,148mm,,,,,,,Bosch,Acoustic,"25031, 25032, 25033","D1497 8697, D1522 8730",With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake pads,Xtra,P 59 076X,,19mm,60mm,148mm,,,,,,,Bosch,Acoustic,"25031, 25032, 25033","D1497 8697, D1522 8730",With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake pads,Prime,P 59 077,,19mm,61mm,148mm,,,,,,,Bosch,Acoustic,"25034, 25035, 25036",D1467 8667,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake pads,Prime Ceramic,P59077N,,19mm,61mm,148mm,,,,,,,Bosch,Acoustic,"25034, 25035, 25036",D1467 8667,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake pads,Xtra,P 59 077X,,19mm,61mm,148mm,,,,,,,Bosch,Acoustic,"25034, 25035, 25036",D1467 8667,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake pads,Prime,P 59 080,,16mm,43mm,117mm,,,,,,,TRW,Acoustic,"25096, 25097, 25098",D1468 8668,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake pads,Prime Ceramic,P59080N,,16mm,43mm,117mm,,,,,,,TRW,Acoustic,"25096, 25097, 25098",D1468 8668,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 SIDI (68),12/12,10/15,125,170,Brake pads,Xtra,P 59 080X,,16mm,43mm,117mm,,,,,,,TRW,Acoustic,"25096, 25097, 25098",D1468 8668,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake discs,Prime,09.B355.11,276mm,26mm,46mm,,5,Ventilated,60mm,23mm,120Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake discs,Max,09.B355.75,276mm,26mm,46mm,,5,Ventilated,60mm,23mm,120Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake discs,Prime,09.B356.11,300mm,26mm,46mm,,5,Ventilated,71mm,23mm,110Nm,1,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake discs,Prime,09.C377.11,321mm,30mm,46mm,,5,Ventilated,71mm,27mm,,1,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake discs,Prime,09.B781.13,355mm,32mm,45mm,,5,Ventilated,71mm,30mm,,1,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake discs,Prime,08.B357.11,268mm,12mm,45mm,,5,Solid,60mm,10mm,110Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake discs,Xtra,08.B357.1X,268mm,12mm,45mm,,5,Solid,60mm,10mm,110Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake discs,Prime,08.B351.11,292mm,12mm,45mm,,5,Solid,71mm,10mm,110Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake discs,Xtra,08.B351.1X,292mm,12mm,45mm,,5,Solid,71mm,10mm,110Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake pads,Prime,P 59 055,,19mm,62mm,142mm,,,,,,,Mando,Acoustic,"24412, 24413, 24414","D1404 8512, D1557 8769, D1745 8971",With accessoriesWith anti-squeal shim,,Yes
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake pads,Prime Ceramic,P59055N,,19mm,62mm,142mm,,,,,,,Mando,Acoustic,"24412, 24413, 24414","D1404 8512, D1557 8769, D1745 8971",With accessoriesWith anti-squeal shim,,Yes
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake pads,Xtra,P 59 055X,,19mm,62mm,142mm,,,,,,,Mando,Acoustic,"24412, 24413, 24414","D1404 8512, D1557 8769, D1745 8971",With accessoriesWith anti-squeal shim,,Yes
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake pads,Prime,P 59 076,,19mm,60mm,148mm,,,,,,,Bosch,Acoustic,"25031, 25032, 25033","D1497 8697, D1522 8730",With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake pads,Prime Ceramic,P59076N,,19mm,60mm,148mm,,,,,,,Bosch,Acoustic,"25031, 25032, 25033","D1497 8697, D1522 8730",With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake pads,Xtra,P 59 076X,,19mm,60mm,148mm,,,,,,,Bosch,Acoustic,"25031, 25032, 25033","D1497 8697, D1522 8730",With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake pads,Prime,P 59 077,,19mm,61mm,148mm,,,,,,,Bosch,Acoustic,"25034, 25035, 25036",D1467 8667,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake pads,Prime Ceramic,P59077N,,19mm,61mm,148mm,,,,,,,Bosch,Acoustic,"25034, 25035, 25036",D1467 8667,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake pads,Xtra,P 59 077X,,19mm,61mm,148mm,,,,,,,Bosch,Acoustic,"25034, 25035, 25036",D1467 8667,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake pads,Prime,P 59 080,,16mm,43mm,117mm,,,,,,,TRW,Acoustic,"25096, 25097, 25098",D1468 8668,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake pads,Prime Ceramic,P59080N,,16mm,43mm,117mm,,,,,,,TRW,Acoustic,"25096, 25097, 25098",D1468 8668,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,1.6 Turbo (68),12/09,10/15,132,180,Brake pads,Xtra,P 59 080X,,16mm,43mm,117mm,,,,,,,TRW,Acoustic,"25096, 25097, 25098",D1468 8668,With accessoriesWith anti-squeal shim,,
OPEL,ASTRA J (P10),09/09,04/16,2.0 CDTI (68),06/11,10/15,121,165,Brake discs,Prime,09.B355.11,276mm,26mm,46mm,,5,Ventilated,60mm,23mm,120Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,2.0 CDTI (68),06/11,10/15,121,165,Brake discs,Max,09.B355.75,276mm,26mm,46mm,,5,Ventilated,60mm,23mm,120Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,2.0 CDTI (68),06/11,10/15,121,165,Brake discs,Prime,09.B356.11,300mm,26mm,46mm,,5,Ventilated,71mm,23mm,110Nm,1,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,2.0 CDTI (68),06/11,10/15,121,165,Brake discs,Prime,09.C377.11,321mm,30mm,46mm,,5,Ventilated,71mm,27mm,,1,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,2.0 CDTI (68),06/11,10/15,121,165,Brake discs,Prime,08.B357.11,268mm,12mm,45mm,,5,Solid,60mm,10mm,110Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,2.0 CDTI (68),06/11,10/15,121,165,Brake discs,Xtra,08.B357.1X,268mm,12mm,45mm,,5,Solid,60mm,10mm,110Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,2.0 CDTI (68),06/11,10/15,121,165,Brake discs,Prime,08.B351.11,292mm,12mm,45mm,,5,Solid,71mm,10mm,110Nm,2,,,,,,,
OPEL,ASTRA J (P10),09/09,04/16,2.0 CDTI (68),06/11,10/15,121,165,Brake discs,Xtra,08.B351.1X,292mm,12mm,45mm,,5,Solid,71mm,10mm,110Nm,2,,,,,,,
