brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,directional
POLESTAR,POLESTAR 2 (534),02/19,>,EV,04/19,12/23,300,408,Brake discs,Prime,09.C936.11,345mm,30mm,48mm,,5,Ventilated,64mm,"27,5mm",,1,,,,,,,
POLESTAR,POLESTAR 2 (534),02/19,>,EV,04/19,12/23,300,408,Brake discs,Xtra,09.C936.1X,345mm,30mm,48mm,,5,Ventilated,64mm,"27,5mm",,1,,,,,,,
POLESTAR,POLESTAR 2 (534),02/19,>,EV,04/19,12/23,300,408,Brake discs,Prime,09.C938.11,320mm,20mm,43mm,,5,Ventilated,64mm,"17,5mm",,2,,,,,,,
POLESTAR,POLESTAR 2 (534),02/19,>,EV,04/19,12/23,300,408,Brake discs,Xtra,09.C938.1X,320mm,20mm,43mm,,5,Ventilated,64mm,"17,5mm",,2,,,,,,,
POLESTAR,POLESTAR 2 (534),02/19,>,EV,04/19,12/23,300,408,Brake discs,Prime,09.C939.11,340mm,20mm,43mm,,5,Ventilated,64mm,"17,5mm",,2,,,,,,,
POLESTAR,POLESTAR 2 (534),02/19,>,EV,04/19,12/23,300,408,Brake pads,Prime Ceramic,P94001N,,18mm,95mm,138mm,,,,,,,,Prepared for wear indicator,"26531, 26532",,With accessoriesWith anti-squeal shimWith piston clip,,Yes
POLESTAR,POLESTAR 2 (534),02/19,>,EV,04/19,12/23,300,408,Brake pads,Prime,P 86 027,,18mm,75mm,182mm,,,,,,,Teves,Prepared for wear indicator,"22317, 22318",D1865 9094,With accessoriesWith anti-squeal shimWith piston clip,,
POLESTAR,POLESTAR 2 (534),02/19,>,EV,04/19,12/23,300,408,Brake pads,Prime Ceramic,P86027N,,18mm,75mm,182mm,,,,,,,Teves,Prepared for wear indicator,"22317, 22318",D1865 9094,With accessoriesWith anti-squeal shimWith piston clip,,
POLESTAR,POLESTAR 2 (534),02/19,>,EV,04/19,12/23,300,408,Brake pads,Prime,P 86 029,,16mm,56 - 60mm,122mm,,,,,,,Teves,Prepared for wear indicator,"22141, 22142",D1821 9057,With accessoriesWith anti-squeal shim,,
POLESTAR,POLESTAR 2 (534),02/19,>,EV,04/19,12/23,300,408,Brake pads,Prime Ceramic,P86029N,,16mm,56 - 60mm,122mm,,,,,,,Teves,Prepared for wear indicator,"22141, 22142",D1821 9057,With accessoriesWith anti-squeal shim,,
POLESTAR,POLESTAR 2 (534),02/19,>,EV,04/19,12/23,300,408,Brake pads,Xtra Ceramic,P86029NX,,16mm,56 - 60mm,122mm,,,,,,,Teves,Prepared for wear indicator,"22141, 22142",D1821 9057,With accessoriesWith anti-squeal shim,,
POLESTAR,POLESTAR 2 (534),02/19,>,EV,04/21,>,170,231,Brake discs,Prime,09.C936.11,345mm,30mm,48mm,,5,Ventilated,64mm,"27,5mm",,1,,,,,,,
