brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
PONTIAC,FIREBIRD,09/81,10/92,5.0,12/81,10/89,112,152,Brake pads,Prime Ceramic,P59063N,,16mm,68 - 73mm,123 - 152mm,,,,,,,Bendix,Acoustic,"24650, 24651, 24652","D202 7070A, D202 7480A, D767 7480A",With anti-squeal shim,
PONTIAC,FIREBIRD (FS87),10/92,12/02,3.4,11/92,12/95,119,162,Brake pads,Prime Ceramic,P07002N,,18mm,69 - 67mm,148 - 212mm,,,,,,,Delco Moraine,Acoustic,"24714, 24715, 24716",D505 7384,With anti-squeal shim,
PONTIAC,FIREBIRD (FS87),10/92,12/02,3.4,11/92,12/95,119,162,Brake pads,Prime Ceramic,P09005N,,16mm,67 - 68mm,148 - 212mm,,,,,,,Delco Moraine,Acoustic,"24714, 24715, 24716",D505 7384,With accessoriesWith anti-squeal shimWith piston clip,
PONTIAC,FIREBIRD (FS87),10/92,12/02,3.4,11/92,12/95,119,162,Brake pads,Prime Ceramic,P59062N,,17mm,67 - 69mm,148 - 212mm,,,,,,,Delco Moraine,Acoustic,,D623 7384,With accessoriesWith anti-squeal shimWith piston clip,
PONTIAC,FIREBIRD (FS87),10/92,12/02,3.4,11/92,12/95,119,162,Brake pads,Prime,P 15 004,,14mm,55mm,114mm,,,,,,,Lucas,Acoustic,"23242, 23243, 23244","D217 7138, D413 7301",With accessoriesWith anti-squeal shimWith brake caliper bolts,
PONTIAC,FIREBIRD (FS87),10/92,12/02,3.4,11/92,12/95,119,162,Brake pads,Prime Ceramic,P15004N,,14mm,55mm,114mm,,,,,,,Lucas,Acoustic,"23242, 23243, 23244","D217 7138, D413 7301",With accessoriesWith anti-squeal shimWith brake caliper bolts,
PONTIAC,FIREBIRD (FS87),10/92,12/02,3.8,10/94,12/97,149,203,Brake pads,Prime Ceramic,P07002N,,18mm,69 - 67mm,148 - 212mm,,,,,,,Delco Moraine,Acoustic,"24714, 24715, 24716",D505 7384,With anti-squeal shim,
PONTIAC,FIREBIRD (FS87),10/92,12/02,3.8,10/94,12/97,149,203,Brake pads,Prime Ceramic,P09005N,,16mm,67 - 68mm,148 - 212mm,,,,,,,Delco Moraine,Acoustic,"24714, 24715, 24716",D505 7384,With accessoriesWith anti-squeal shimWith piston clip,
PONTIAC,FIREBIRD (FS87),10/92,12/02,3.8,10/94,12/97,149,203,Brake pads,Prime Ceramic,P59062N,,17mm,67 - 69mm,148 - 212mm,,,,,,,Delco Moraine,Acoustic,,D623 7384,With accessoriesWith anti-squeal shimWith piston clip,
PONTIAC,FIREBIRD (FS87),10/92,12/02,3.8,10/94,12/97,149,203,Brake pads,Prime,P 15 004,,14mm,55mm,114mm,,,,,,,Lucas,Acoustic,"23242, 23243, 23244","D217 7138, D413 7301",With accessoriesWith anti-squeal shimWith brake caliper bolts,
