brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
RAM,1500 Crew Cab Pickup (DS),09/10,12/18,3.0 TD 4WD,09/13,12/18,179,243,Brake pads,Prime Ceramic,P18013N,,19mm,61mm,178mm,,,,,,,TRW,Without,22223,D1084 7991,With anti-squeal shim,
RAM,1500 Crew Cab Pickup (DS),09/10,12/18,3.0 TD 4WD,09/13,12/18,179,243,Brake pads,Prime Ceramic,P18010N,,16mm,49mm,166mm,,,,,,,,Without,24803,"D967 7867, D967 7869",With anti-squeal shim,
RAM,1500 Crew Cab Pickup (DS),09/10,12/18,5.7 4WD,09/12,12/18,295,401,Brake pads,Prime Ceramic,P18013N,,19mm,61mm,178mm,,,,,,,TRW,Without,22223,D1084 7991,With anti-squeal shim,
RAM,1500 Crew Cab Pickup (DS),09/10,12/18,5.7 4WD,09/12,12/18,295,401,Brake pads,Prime Ceramic,P18010N,,16mm,49mm,166mm,,,,,,,,Without,24803,"D967 7867, D967 7869",With anti-squeal shim,
RAM,1500 Crew Cab Pickup (DS),09/10,12/18,5.7 4WD,09/10,12/18,291,396,Brake discs,Prime,09.9144.11,336mm,28mm,68mm,,5,Ventilated,80mm,"26,4mm",,1,,,,,,
RAM,1500 Crew Cab Pickup (DS),09/10,12/18,5.7 4WD,09/10,12/18,291,396,Brake pads,Prime Ceramic,P18013N,,19mm,61mm,178mm,,,,,,,TRW,Without,22223,D1084 7991,With anti-squeal shim,
RAM,1500 Crew Cab Pickup (DS),09/10,12/18,5.7 4WD,09/10,12/18,291,396,Brake pads,Prime Ceramic,P18010N,,16mm,49mm,166mm,,,,,,,,Without,24803,"D967 7867, D967 7869",With anti-squeal shim,
RAM,1500 Crew Cab Pickup (DT),12/18,>,5.7 4x4,12/18,>,295,401,Brake pads,Prime Ceramic,P23193N,,20mm,69mm,202mm,,,,,,,,Acoustic,,D2179 9424,With anti-squeal shim,
RAM,1500 Crew Cab Pickup (DT),12/18,>,5.7 4x4,12/18,>,295,401,Brake pads,Prime,P 23 194,,19mm,59mm,149mm,,,,,,,,Acoustic,,D2169 9414,With anti-squeal shim,
RAM,1500 Crew Cab Pickup (DT),12/18,>,5.7 4x4,12/18,>,295,401,Brake pads,Prime Ceramic,P23194N,,19mm,59mm,149mm,,,,,,,,Acoustic,,D2169 9414,With anti-squeal shim,
RAM,1500 Extended Cab Pickup (DS),09/10,12/18,3.0 TD 4WD,09/13,12/18,179,243,Brake pads,Prime Ceramic,P18013N,,19mm,61mm,178mm,,,,,,,TRW,Without,22223,D1084 7991,With anti-squeal shim,
RAM,1500 Extended Cab Pickup (DS),09/10,12/18,3.0 TD 4WD,09/13,12/18,179,243,Brake pads,Prime Ceramic,P18010N,,16mm,49mm,166mm,,,,,,,,Without,24803,"D967 7867, D967 7869",With anti-squeal shim,
RAM,1500 Standard Cab Pickup (DS),09/09,12/18,3.0 TD 4WD,09/13,12/18,179,243,Brake pads,Prime Ceramic,P18013N,,19mm,61mm,178mm,,,,,,,TRW,Without,22223,D1084 7991,With anti-squeal shim,
RAM,1500 Standard Cab Pickup (DS),09/09,12/18,3.0 TD 4WD,09/13,12/18,179,243,Brake pads,Prime Ceramic,P18010N,,16mm,49mm,166mm,,,,,,,,Without,24803,"D967 7867, D967 7869",With anti-squeal shim,
RAM,2500 Crew Cab Pickup (DJ),09/10,>,6.7 D 4WD,09/12,>,276,375,Brake pads,Prime,P 18 039,,21mm,71mm,214mm,,,,,,,,Acoustic,,D1399 8507,With anti-squeal shim,
RAM,2500 Crew Cab Pickup (DJ),09/10,>,6.7 D 4WD,09/12,>,276,375,Brake pads,Prime Ceramic,P18039N,,21mm,71mm,214mm,,,,,,,,Acoustic,,D1399 8507,With anti-squeal shim,
RAM,2500 Extended Crew Cab Pickup (DJ),09/10,>,6.7 D 4WD,09/12,>,276,375,Brake pads,Prime,P 18 039,,21mm,71mm,214mm,,,,,,,,Acoustic,,D1399 8507,With anti-squeal shim,
RAM,2500 Extended Crew Cab Pickup (DJ),09/10,>,6.7 D 4WD,09/12,>,276,375,Brake pads,Prime Ceramic,P18039N,,21mm,71mm,214mm,,,,,,,,Acoustic,,D1399 8507,With anti-squeal shim,
RAM,2500 Standard Cab Pickup (DJ),09/09,>,6.7 D 4WD,09/12,>,276,375,Brake pads,Prime,P 18 039,,21mm,71mm,214mm,,,,,,,,Acoustic,,D1399 8507,With anti-squeal shim,
RAM,2500 Standard Cab Pickup (DJ),09/09,>,6.7 D 4WD,09/12,>,276,375,Brake pads,Prime Ceramic,P18039N,,21mm,71mm,214mm,,,,,,,,Acoustic,,D1399 8507,With anti-squeal shim,
