brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
RENAULT,11 (B/C37_),03/83,09/95,"1.4 (B/C373, B/C37R)",03/83,12/88,49,67,Brake pads,Prime,P 68 008,,18mm,65mm,100mm,,,,,,,Lucas,Electric,21463,"D1146 8256, D292 7194, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
RENAULT,11 (B/C37_),03/83,09/95,"1.4 (B/C373, B/C37R)",03/83,12/88,49,67,Brake pads,Prime Ceramic,P68008N,,18mm,65mm,100mm,,,,,,,Lucas,Electric,21463,"D1146 8256, D292 7194, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
RENAULT,11 (B/C37_),03/83,09/95,"1.4 (B/C373, B/C37R)",03/83,12/88,49,67,Brake pads,Prime,P 68 038,,18mm,65mm,100mm,,,,,,,Lucas,Without,21463,"D1146 8256, D1579 8256, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
RENAULT,11 (B/C37_),03/83,09/95,"1.4 (B/C373, B/C37R)",03/83,12/88,49,67,Brake pads,Prime Ceramic,P68038N,,18mm,65mm,100mm,,,,,,,Lucas,Without,21463,"D1146 8256, D1579 8256, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
RENAULT,11 (B/C37_),03/83,09/95,"1.4 (B/C373, B/C37R)",03/83,12/88,49,67,Brake pads,Prime,P 68 010,,18mm,54mm,105mm,,,,,,,Bendix,Electric,"20905, 20906, 20986, 20987",D371 7261,With anti-squeal shim,
RENAULT,11 (B/C37_),03/83,09/95,1.4 Turbo (B/C375),04/84,12/86,77,105,Brake discs,Prime,09.3148.14,238mm,20mm,41mm,,4,Ventilated,61mm,"17,7mm",85Nm,2,,,,,,
RENAULT,11 (B/C37_),03/83,09/95,1.4 Turbo (B/C375),04/84,12/86,77,105,Brake pads,Prime,P 68 008,,18mm,65mm,100mm,,,,,,,Lucas,Electric,21463,"D1146 8256, D292 7194, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
RENAULT,11 (B/C37_),03/83,09/95,1.4 Turbo (B/C375),04/84,12/86,77,105,Brake pads,Prime Ceramic,P68008N,,18mm,65mm,100mm,,,,,,,Lucas,Electric,21463,"D1146 8256, D292 7194, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
RENAULT,11 (B/C37_),03/83,09/95,1.4 Turbo (B/C375),04/84,12/86,77,105,Brake pads,Prime,P 68 038,,18mm,65mm,100mm,,,,,,,Lucas,Without,21463,"D1146 8256, D1579 8256, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
RENAULT,11 (B/C37_),03/83,09/95,1.4 Turbo (B/C375),04/84,12/86,77,105,Brake pads,Prime Ceramic,P68038N,,18mm,65mm,100mm,,,,,,,Lucas,Without,21463,"D1146 8256, D1579 8256, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
RENAULT,11 (B/C37_),03/83,09/95,1.4 Turbo (B/C375),04/84,12/86,77,105,Brake pads,Prime,P 68 010,,18mm,54mm,105mm,,,,,,,Bendix,Electric,"20905, 20906, 20986, 20987",D371 7261,With anti-squeal shim,
RENAULT,11 (B/C37_),03/83,09/95,1.4 Turbo (B/C375),04/84,12/86,77,105,Brake pads,Prime,P 61 032,,11mm,55mm,105mm,,,,,,,Bendix,Prepared for wear indicator,"20973, 20974","D1458 8658, D1482 8658",With anti-squeal shim,
RENAULT,11 (B/C37_),03/83,09/95,1.4 Turbo (B/C375),04/84,12/86,77,105,Brake pads,Prime Ceramic,P61032N,,11mm,55mm,105mm,,,,,,,Bendix,Prepared for wear indicator,"20973, 20974","D1458 8658, D1482 8658",With anti-squeal shim,
RENAULT,11 (B/C37_),03/83,09/95,Assembly kit,04/84,12/86,77,105,Brake pad accessories,Prime,A 02 215,,,,,,,,,,,Bendix,,,,,
RENAULT,11 (B/C37_),03/83,09/95,1.7 (B/C37F),10/84,12/88,55,75,Brake pads,Prime,P 68 008,,18mm,65mm,100mm,,,,,,,Lucas,Electric,21463,"D1146 8256, D292 7194, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
RENAULT,11 (B/C37_),03/83,09/95,1.7 (B/C37F),10/84,12/88,55,75,Brake pads,Prime Ceramic,P68008N,,18mm,65mm,100mm,,,,,,,Lucas,Electric,21463,"D1146 8256, D292 7194, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
RENAULT,11 (B/C37_),03/83,09/95,1.7 (B/C37F),10/84,12/88,55,75,Brake pads,Prime,P 68 038,,18mm,65mm,100mm,,,,,,,Lucas,Without,21463,"D1146 8256, D1579 8256, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
RENAULT,11 (B/C37_),03/83,09/95,1.7 (B/C37F),10/84,12/88,55,75,Brake pads,Prime Ceramic,P68038N,,18mm,65mm,100mm,,,,,,,Lucas,Without,21463,"D1146 8256, D1579 8256, D371 7261",With accessoriesWith anti-squeal shimWith brake caliper bolts,
RENAULT,11 (B/C37_),03/83,09/95,1.7 (B/C37F),10/84,12/88,55,75,Brake pads,Prime,P 68 010,,18mm,54mm,105mm,,,,,,,Bendix,Electric,"20905, 20906, 20986, 20987",D371 7261,With anti-squeal shim,
RENAULT,12 (117_),10/69,12/84,1.3 (1170),10/69,08/80,40,54,Brake pads,Prime,P 68 004,,14mm,42mm,109mm,,,,,,,Bendix,Prepared for wear indicator,"20140, 20141",D192 7078,With anti-squeal shim,
RENAULT,12 (117_),10/69,12/84,1.3 (1170),07/75,04/80,37,50,Brake pads,Prime,P 68 004,,14mm,42mm,109mm,,,,,,,Bendix,Prepared for wear indicator,"20140, 20141",D192 7078,With anti-squeal shim,,
RENAULT,12 (117_),10/69,12/84,1.3 (1170),07/75,04/80,37,50,Drums,Essential,14.3187.10,180mm,,86mm,53mm,3,,47mm,,,,,,,,,,181mm
RENAULT,12 (117_),10/69,12/84,1.3 TS (1177),08/72,08/80,44,60,Brake pads,Prime,P 68 004,,14mm,42mm,109mm,,,,,,,Bendix,Prepared for wear indicator,"20140, 20141",D192 7078,With anti-squeal shim,
RENAULT,12 (117_),10/69,12/84,1.4 (1179),08/76,05/79,49,67,Drums,Essential,14.3187.10,180mm,,86mm,53mm,3,,47mm,,,,,,,,,,181mm
RENAULT,"12 Variable (117_, 133_)",08/70,12/83,1.3 (1337),08/73,08/80,44,60,Brake pads,Prime,P 68 004,,14mm,42mm,109mm,,,,,,,Bendix,Prepared for wear indicator,"20140, 20141",D192 7078,With anti-squeal shim,
RENAULT,16 (115_),09/65,08/80,1.5,09/65,10/75,40,55,Brake discs,Prime,08.2284.10,254mm,12mm,40mm,,3,Solid,84mm,11mm,,2,,,,,,
RENAULT,16 (115_),09/65,08/80,1.6 TL,07/75,08/80,40,54,Brake discs,Prime,08.2284.10,254mm,12mm,40mm,,3,Solid,84mm,11mm,,2,,,,,,
