brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 -16,01/89,12/93,93,126,Brake discs,Prime,09.5035.10,280mm,"23,4mm",44mm,,4,Ventilated,68mm,"21,5mm",120Nm,2,,,,,,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 -16,01/89,12/93,93,126,Brake discs,Prime,08.5037.10,258mm,9mm,43mm,,4,Solid,68mm,"7,5mm",120Nm,2,,,,,,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 -16,01/89,12/93,93,126,Brake pads,Prime,P 71 003,,15mm,38mm,125mm,,,,,,,Teves,Without,"21089, 21090",D322 7221,With accessoriesWith anti-squeal shimWith piston clip,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 -16,01/89,12/93,93,126,Brake pads,Prime Ceramic,P71003N,,15mm,38mm,125mm,,,,,,,Teves,Without,"21089, 21090",D322 7221,With accessoriesWith anti-squeal shimWith piston clip,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 c,11/80,08/84,79,107,Brake discs,Prime,08.2970.20,280mm,"12,7mm",66mm,,4,Solid,86mm,"11,7mm",120Nm,2,,,,,,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 c,11/80,08/84,79,107,Brake pads,Prime Ceramic,P06001N,,15mm,53mm,56mm,,,,,,,Teves,Without,20009,"D2 7199, D21 755, D30 7200, D30 735, D322 7221",With anti-squeal shim,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 c,07/82,12/88,74,101,Brake discs,Prime,08.2970.20,280mm,"12,7mm",66mm,,4,Solid,86mm,"11,7mm",120Nm,2,,,,,,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 c,07/82,12/88,74,101,Brake discs,Prime,08.5037.10,258mm,9mm,43mm,,4,Solid,68mm,"7,5mm",120Nm,2,,,,,,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 c,07/82,12/88,74,101,Brake pads,Prime Ceramic,P06001N,,15mm,53mm,56mm,,,,,,,Teves,Without,20009,"D2 7199, D21 755, D30 7200, D30 735, D322 7221",With anti-squeal shim,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 c,07/82,12/88,74,101,Brake pads,Prime,P 71 003,,15mm,38mm,125mm,,,,,,,Teves,Without,"21089, 21090",D322 7221,With accessoriesWith anti-squeal shimWith piston clip,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 c,07/82,12/88,74,101,Brake pads,Prime Ceramic,P71003N,,15mm,38mm,125mm,,,,,,,Teves,Without,"21089, 21090",D322 7221,With accessoriesWith anti-squeal shimWith piston clip,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 EMS,01/79,12/80,87,118,Brake pads,Prime Ceramic,P06001N,,15mm,53mm,56mm,,,,,,,Teves,Without,20009,"D2 7199, D21 755, D30 7200, D30 735, D322 7221",With anti-squeal shim,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 i,09/80,08/90,81,110,Brake discs,Prime,08.2970.20,280mm,"12,7mm",66mm,,4,Solid,86mm,"11,7mm",120Nm,2,,,,,,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 i,09/80,08/90,81,110,Brake discs,Prime,08.5037.10,258mm,9mm,43mm,,4,Solid,68mm,"7,5mm",120Nm,2,,,,,,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 i,09/80,08/90,81,110,Brake pads,Prime Ceramic,P06001N,,15mm,53mm,56mm,,,,,,,Teves,Without,20009,"D2 7199, D21 755, D30 7200, D30 735, D322 7221",With anti-squeal shim,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 i,09/80,08/90,81,110,Brake pads,Prime,P 71 003,,15mm,38mm,125mm,,,,,,,Teves,Without,"21089, 21090",D322 7221,With accessoriesWith anti-squeal shimWith piston clip,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 i,09/80,08/90,81,110,Brake pads,Prime Ceramic,P71003N,,15mm,38mm,125mm,,,,,,,Teves,Without,"21089, 21090",D322 7221,With accessoriesWith anti-squeal shimWith piston clip,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 i,11/80,08/90,85,115,Brake discs,Prime,08.2970.20,280mm,"12,7mm",66mm,,4,Solid,86mm,"11,7mm",120Nm,2,,,,,,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 i,11/80,08/90,85,115,Brake discs,Prime,08.5037.10,258mm,9mm,43mm,,4,Solid,68mm,"7,5mm",120Nm,2,,,,,,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 i,11/80,08/90,85,115,Brake pads,Prime Ceramic,P06001N,,15mm,53mm,56mm,,,,,,,Teves,Without,20009,"D2 7199, D21 755, D30 7200, D30 735, D322 7221",With anti-squeal shim,
SAAB,"900 I (AC4, AM4)",01/79,12/93,2.0 i,11/80,08/90,85,115,Brake pads,Prime,P 71 003,,15mm,38mm,125mm,,,,,,,Teves,Without,"21089, 21090",D322 7221,With accessoriesWith anti-squeal shimWith piston clip,
