brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.6 i,02/93,10/02,55,75,Brake discs,Prime,08.4177.10,239mm,12mm,35mm,,4,Solid,65mm,10mm,120Nm,2,,,,,,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.6 i,02/93,10/02,55,75,Brake discs,Prime,09.4765.14,239mm,20mm,39mm,,4,Ventilated,65mm,18mm,120Nm,2,,,,,,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.6 i,02/93,10/02,55,75,Brake discs,Prime,09.5166.11,256mm,20mm,39mm,,4,Ventilated,65mm,18mm,110Nm,2,,,,,,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.6 i,02/93,10/02,55,75,Brake discs,Prime,09.6728.10,280mm,22mm,39mm,,4,Ventilated,65mm,20mm,110Nm,2,,,,,,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.6 i,02/93,10/02,55,75,Brake pads,Prime,P 85 012,,20mm,48 - 49mm,138mm,,,,,,,Kelsey Hayes,Without,"20887, 20888","D206 7126, D280 7209, D307 7210, D569 7209",With accessoriesWith anti-squeal shim,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.6 i,07/96,10/02,74,101,Brake discs,Prime,08.4177.10,239mm,12mm,35mm,,4,Solid,65mm,10mm,120Nm,2,,,,,,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.6 i,07/96,10/02,74,101,Brake discs,Prime,09.4765.14,239mm,20mm,39mm,,4,Ventilated,65mm,18mm,120Nm,2,,,,,,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.6 i,07/96,10/02,74,101,Brake discs,Prime,09.5166.11,256mm,20mm,39mm,,4,Ventilated,65mm,18mm,110Nm,2,,,,,,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.6 i,07/96,10/02,74,101,Brake pads,Prime,P 85 032,,16mm,70mm,119mm,,,,,,,Lucas,Without,21945,"D696 7570, D704 7578",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.6 i,07/96,10/02,74,101,Brake pads,Prime Ceramic,P85032N,,16mm,70mm,119mm,,,,,,,Lucas,Without,21945,"D696 7570, D704 7578",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.6 i,07/96,10/02,74,101,Brake pads,Prime,P 85 031,,15mm,50 - 51mm,142mm,,,,,,,VW II,Without,"21866, 21868",D694 7569,With accessoriesWith anti-squeal shimWith piston clip,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.8 i,02/93,09/02,66,90,Brake discs,Prime,08.4177.10,239mm,12mm,35mm,,4,Solid,65mm,10mm,120Nm,2,,,,,,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.8 i,02/93,09/02,66,90,Brake discs,Prime,09.4765.14,239mm,20mm,39mm,,4,Ventilated,65mm,18mm,120Nm,2,,,,,,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.8 i,02/93,09/02,66,90,Brake pads,Prime,P 85 012,,20mm,48 - 49mm,138mm,,,,,,,Kelsey Hayes,Without,"20887, 20888","D206 7126, D280 7209, D307 7210, D569 7209",With accessoriesWith anti-squeal shim,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.8 i,02/93,09/02,66,90,Brake pads,Prime Ceramic,P85005N,,15mm,49 - 51mm,138mm,,,,,,,Kelsey Hayes,Without,"20887, 20888","D280 7183, D280 7243, D569 7183",With anti-squeal shim,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,1.8 i,02/93,09/02,66,90,Brake pads,Prime,P 85 031,,15mm,50 - 51mm,142mm,,,,,,,VW II,Without,"21866, 21868",D694 7569,With accessoriesWith anti-squeal shimWith piston clip,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,2.0 i,02/93,06/99,85,115,Brake discs,Prime,09.5166.11,256mm,20mm,39mm,,4,Ventilated,65mm,18mm,110Nm,2,,,,,,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,2.0 i,02/93,06/99,85,115,Brake discs,Prime,08.5005.14,226mm,10mm,71mm,,4,Solid,40mm,8mm,,2,,,,,,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,2.0 i,02/93,06/99,85,115,Brake discs,Max,08.5005.75,226mm,10mm,71mm,,4,Solid,40mm,8mm,,2,,,,,,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,2.0 i,02/93,06/99,85,115,Brake pads,Prime,P 85 015,,16mm,69mm,119mm,,,,,,,TRW,Without,20168,"D227 7177, D696 7570",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,2.0 i,02/93,06/99,85,115,Brake pads,Prime Ceramic,P85015N,,16mm,69mm,119mm,,,,,,,TRW,Without,20168,"D227 7177, D696 7570",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,2.0 i,02/93,06/99,85,115,Brake pads,Prime,P 85 032,,16mm,70mm,119mm,,,,,,,Lucas,Without,21945,"D696 7570, D704 7578",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,2.0 i,02/93,06/99,85,115,Brake pads,Prime Ceramic,P85032N,,16mm,70mm,119mm,,,,,,,Lucas,Without,21945,"D696 7570, D704 7578",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,2.0 i,02/93,06/99,85,115,Brake pads,Prime,P 85 017,,15mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1112 8216, D306 7208, D340 7234, D340 7335",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SEAT,"CORDOBA (6K1, 6K2)",02/93,12/02,2.0 i,02/93,06/99,85,115,Brake pads,Prime Ceramic,P85017N,,15mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1112 8216, D306 7208, D340 7234, D340 7335",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SEAT,IBIZA II (6K1),03/93,05/02,1.4 i,09/93,02/02,44,60,Brake discs,Prime,08.4177.10,239mm,12mm,35mm,,4,Solid,65mm,10mm,120Nm,2,,,,,,
SEAT,IBIZA II (6K1),03/93,05/02,1.4 i,09/93,02/02,44,60,Brake discs,Prime,09.4765.14,239mm,20mm,39mm,,4,Ventilated,65mm,18mm,120Nm,2,,,,,,
SEAT,IBIZA II (6K1),03/93,05/02,1.4 i,09/93,02/02,44,60,Brake discs,Prime,08.2631.30,239mm,10mm,39mm,,4,Solid,65mm,8mm,120Nm,2,,,,,,
SEAT,IBIZA II (6K1),03/93,05/02,1.4 i,09/93,02/02,44,60,Brake pads,Prime,P 85 012,,20mm,48 - 49mm,138mm,,,,,,,Kelsey Hayes,Without,"20887, 20888","D206 7126, D280 7209, D307 7210, D569 7209",With accessoriesWith anti-squeal shim,
SEAT,IBIZA II (6K1),03/93,05/02,1.4 i,09/93,02/02,44,60,Brake pads,Prime,P 85 031,,15mm,50 - 51mm,142mm,,,,,,,VW II,Without,"21866, 21868",D694 7569,With accessoriesWith anti-squeal shimWith piston clip,
SEAT,IBIZA II (6K1),03/93,05/02,2.0 i,03/93,08/99,85,115,Brake discs,Prime,09.5166.11,256mm,20mm,39mm,,4,Ventilated,65mm,18mm,110Nm,2,,,,,,
SEAT,IBIZA II (6K1),03/93,05/02,2.0 i,03/93,08/99,85,115,Brake discs,Prime,08.5005.14,226mm,10mm,71mm,,4,Solid,40mm,8mm,,2,,,,,,
SEAT,IBIZA II (6K1),03/93,05/02,2.0 i,03/93,08/99,85,115,Brake discs,Max,08.5005.75,226mm,10mm,71mm,,4,Solid,40mm,8mm,,2,,,,,,
SEAT,IBIZA II (6K1),03/93,05/02,2.0 i,03/93,08/99,85,115,Brake pads,Prime,P 85 015,,16mm,69mm,119mm,,,,,,,TRW,Without,20168,"D227 7177, D696 7570",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SEAT,IBIZA II (6K1),03/93,05/02,2.0 i,03/93,08/99,85,115,Brake pads,Prime Ceramic,P85015N,,16mm,69mm,119mm,,,,,,,TRW,Without,20168,"D227 7177, D696 7570",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SEAT,IBIZA II (6K1),03/93,05/02,2.0 i,03/93,08/99,85,115,Brake pads,Prime,P 85 032,,16mm,70mm,119mm,,,,,,,Lucas,Without,21945,"D696 7570, D704 7578",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SEAT,IBIZA II (6K1),03/93,05/02,2.0 i,03/93,08/99,85,115,Brake pads,Prime Ceramic,P85032N,,16mm,70mm,119mm,,,,,,,Lucas,Without,21945,"D696 7570, D704 7578",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SEAT,IBIZA II (6K1),03/93,05/02,2.0 i,03/93,08/99,85,115,Brake pads,Prime,P 85 017,,15mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1112 8216, D306 7208, D340 7234, D340 7335",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SEAT,IBIZA II (6K1),03/93,05/02,2.0 i,03/93,08/99,85,115,Brake pads,Prime Ceramic,P85017N,,15mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1112 8216, D306 7208, D340 7234, D340 7335",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SEAT,IBIZA II (6K1),03/93,05/02,2.0 i 16V,08/96,08/99,110,150,Brake discs,Prime,09.6728.10,280mm,22mm,39mm,,4,Ventilated,65mm,20mm,110Nm,2,,,,,,
SEAT,IBIZA II (6K1),03/93,05/02,2.0 i 16V,08/96,08/99,110,150,Brake discs,Prime,08.5005.14,226mm,10mm,71mm,,4,Solid,40mm,8mm,,2,,,,,,
SEAT,IBIZA II (6K1),03/93,05/02,2.0 i 16V,08/96,08/99,110,150,Brake discs,Max,08.5005.75,226mm,10mm,71mm,,4,Solid,40mm,8mm,,2,,,,,,
SEAT,IBIZA II (6K1),03/93,05/02,2.0 i 16V,08/96,08/99,110,150,Brake pads,Prime,P 85 011,,20mm,69mm,119mm,,,,,,,Lucas,Without,20168,D684 7571,With accessoriesWith anti-squeal shimWith brake caliper bolts,
