brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,brake_disc_diameter,brake_disc_thickness,beyond_ev_disc,beyond_ev_pad
SKODA,ELROQ (PYL),11/24,>,85,11/24,>,210,286,Brake pads,Prime,P 85 192,,15mm,69mm,143mm,,,,,,,CBI,Electric,26416,,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
SKODA,ELROQ (PYL),11/24,>,85,11/24,>,210,286,Brake pads,Prime Ceramic,P85192N,,15mm,69mm,143mm,,,,,,,CBI,Electric,26416,,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
SKODA,ELROQ (PYL),11/24,>,85,11/24,>,210,286,Brake pads,Prime,P 85 194,,19mm,78mm,185mm,,,,,,,,Electric,26407,,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
SKODA,ELROQ (PYL),11/24,>,85,11/24,>,210,286,Brake pads,Prime Ceramic,P85194N,,19mm,78mm,185mm,,,,,,,,Electric,26407,,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
SKODA,ELROQ (PYL),11/24,>,85,11/24,>,210,286,Disc and Pad Kit,Beyond EV Kit,KT 08 043,340mm,15mm,69mm,143mm,9,Solid,65mm,"25,5mm",,4,CBI,Electric,26416,,With accessoriesWith anti-squeal shimWith brake caliper bolts,,340mm,27mm,09.E949.1E,P 85 192E
SKODA,ENYAQ iV Coupe (5AC),07/21,>,60,01/25,>,150,204,Brake pads,Prime,P 85 192,,15mm,69mm,143mm,,,,,,,CBI,Electric,26416,,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SKODA,ENYAQ iV Coupe (5AC),07/21,>,60,01/25,>,150,204,Brake pads,Prime Ceramic,P85192N,,15mm,69mm,143mm,,,,,,,CBI,Electric,26416,,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SKODA,ENYAQ iV Coupe (5AC),07/21,>,60,01/25,>,150,204,Brake pads,Prime,P 85 194,,19mm,78mm,185mm,,,,,,,,Electric,26407,,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SKODA,ENYAQ iV Coupe (5AC),07/21,>,60,01/25,>,150,204,Brake pads,Prime Ceramic,P85194N,,19mm,78mm,185mm,,,,,,,,Electric,26407,,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SKODA,ENYAQ iV Coupe (5AC),07/21,>,85,10/23,>,210,286,Brake pads,Prime,P 85 192,,15mm,69mm,143mm,,,,,,,CBI,Electric,26416,,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
SKODA,ENYAQ iV Coupe (5AC),07/21,>,85,10/23,>,210,286,Brake pads,Prime Ceramic,P85192N,,15mm,69mm,143mm,,,,,,,CBI,Electric,26416,,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
SKODA,ENYAQ iV Coupe (5AC),07/21,>,85,10/23,>,210,286,Brake pads,Prime,P 85 194,,19mm,78mm,185mm,,,,,,,,Electric,26407,,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
SKODA,ENYAQ iV Coupe (5AC),07/21,>,85,10/23,>,210,286,Brake pads,Prime Ceramic,P85194N,,19mm,78mm,185mm,,,,,,,,Electric,26407,,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
SKODA,ENYAQ iV Coupe (5AC),07/21,>,85,10/23,>,210,286,Disc and Pad Kit,Beyond EV Kit,KT 08 043,340mm,15mm,69mm,143mm,9,Solid,65mm,"25,5mm",,4,CBI,Electric,26416,,With accessoriesWith anti-squeal shimWith brake caliper bolts,,340mm,27mm,09.E949.1E,P 85 192E
SKODA,ENYAQ iV Coupe (5AC),07/21,>,RS,10/21,>,250,340,Brake pads,Prime,P 85 192,,15mm,69mm,143mm,,,,,,,CBI,Electric,26416,,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
