brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
SMART,CABRIO (450),03/00,01/04,0.6 (450.432),06/02,01/04,52,71,Brake discs,Prime,08.8163.11,280mm,9mm,38mm,,3,Solid,58mm,8mm,120Nm,2,,,,,,
SMART,CABRIO (450),03/00,01/04,0.6 (450.432),06/02,01/04,52,71,Brake discs,Prime,08.8163.21,280mm,"9,6mm",38mm,,3,Solid,58mm,8mm,120Nm,2,,,,,,
SMART,CABRIO (450),03/00,01/04,0.6 (450.432),06/02,01/04,52,71,Brake pads,Prime,P 50 038,,16mm,70mm,90mm,,,,,,,Bosch,Acoustic,"21999, 23002",D1252 8370,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,CABRIO (450),03/00,01/04,0.6 (450.432),06/02,01/04,52,71,Brake pads,Prime Ceramic,P50038N,,16mm,70mm,90mm,,,,,,,Bosch,Acoustic,"21999, 23002",D1252 8370,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,CABRIO (450),03/00,01/04,"0.7 (450.452, 450.432)",01/03,01/04,45,61,Brake discs,Prime,08.8163.11,280mm,9mm,38mm,,3,Solid,58mm,8mm,120Nm,2,,,,,,
SMART,CABRIO (450),03/00,01/04,"0.7 (450.452, 450.432)",01/03,01/04,45,61,Brake discs,Prime,08.8163.21,280mm,"9,6mm",38mm,,3,Solid,58mm,8mm,120Nm,2,,,,,,
SMART,CABRIO (450),03/00,01/04,"0.7 (450.452, 450.432)",01/03,01/04,45,61,Brake pads,Prime,P 50 038,,16mm,70mm,90mm,,,,,,,Bosch,Acoustic,"21999, 23002",D1252 8370,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,CABRIO (450),03/00,01/04,"0.7 (450.452, 450.432)",01/03,01/04,45,61,Brake pads,Prime Ceramic,P50038N,,16mm,70mm,90mm,,,,,,,Bosch,Acoustic,"21999, 23002",D1252 8370,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,CITY-COUPE (450),07/98,01/04,0.6 (450.330),06/02,01/04,52,71,Brake discs,Prime,08.8163.11,280mm,9mm,38mm,,3,Solid,58mm,8mm,120Nm,2,,,,,,
SMART,CITY-COUPE (450),07/98,01/04,0.6 (450.330),06/02,01/04,52,71,Brake discs,Prime,08.8163.21,280mm,"9,6mm",38mm,,3,Solid,58mm,8mm,120Nm,2,,,,,,
SMART,CITY-COUPE (450),07/98,01/04,0.6 (450.330),06/02,01/04,52,71,Brake pads,Prime,P 50 038,,16mm,70mm,90mm,,,,,,,Bosch,Acoustic,"21999, 23002",D1252 8370,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,CITY-COUPE (450),07/98,01/04,0.6 (450.330),06/02,01/04,52,71,Brake pads,Prime Ceramic,P50038N,,16mm,70mm,90mm,,,,,,,Bosch,Acoustic,"21999, 23002",D1252 8370,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,CITY-COUPE (450),07/98,01/04,"0.6 (450.352, 450.353)",01/01,01/04,45,61,Brake discs,Prime,08.8163.11,280mm,9mm,38mm,,3,Solid,58mm,8mm,120Nm,2,,,,,,
SMART,CITY-COUPE (450),07/98,01/04,"0.6 (450.352, 450.353)",01/01,01/04,45,61,Brake discs,Prime,08.8163.21,280mm,"9,6mm",38mm,,3,Solid,58mm,8mm,120Nm,2,,,,,,
SMART,CITY-COUPE (450),07/98,01/04,"0.6 (450.352, 450.353)",01/01,01/04,45,61,Brake pads,Prime,P 50 038,,16mm,70mm,90mm,,,,,,,Bosch,Acoustic,"21999, 23002",D1252 8370,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,CITY-COUPE (450),07/98,01/04,"0.6 (450.352, 450.353)",01/01,01/04,45,61,Brake pads,Prime Ceramic,P50038N,,16mm,70mm,90mm,,,,,,,Bosch,Acoustic,"21999, 23002",D1252 8370,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,CITY-COUPE (450),07/98,01/04,"0.7 (450.352, 450.332)",01/03,01/04,45,61,Brake discs,Prime,08.8163.11,280mm,9mm,38mm,,3,Solid,58mm,8mm,120Nm,2,,,,,,
SMART,CITY-COUPE (450),07/98,01/04,"0.7 (450.352, 450.332)",01/03,01/04,45,61,Brake discs,Prime,08.8163.21,280mm,"9,6mm",38mm,,3,Solid,58mm,8mm,120Nm,2,,,,,,
SMART,CITY-COUPE (450),07/98,01/04,"0.7 (450.352, 450.332)",01/03,01/04,45,61,Brake pads,Prime,P 50 038,,16mm,70mm,90mm,,,,,,,Bosch,Acoustic,"21999, 23002",D1252 8370,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,CITY-COUPE (450),07/98,01/04,"0.7 (450.352, 450.332)",01/03,01/04,45,61,Brake pads,Prime Ceramic,P50038N,,16mm,70mm,90mm,,,,,,,Bosch,Acoustic,"21999, 23002",D1252 8370,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,FORFOUR (454),01/04,06/06,1.3 (454.031),01/04,06/06,70,95,Brake discs,Prime,09.9991.11,256mm,24mm,46mm,,4,Ventilated,69mm,"21,5mm",108Nm,2,,,,,,
SMART,FORFOUR (454),01/04,06/06,1.3 (454.031),01/04,06/06,70,95,Brake discs,Prime,08.A607.11,250mm,10mm,39mm,,4,Solid,69mm,8mm,108Nm,2,,,,,,
SMART,FORFOUR (454),01/04,06/06,1.3 (454.031),01/04,06/06,70,95,Brake pads,Prime,P 50 055,,17mm,73mm,130mm,,,,,,,Lucas,Acoustic,21920,D1494 8694,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,FORFOUR (454),01/04,06/06,1.3 (454.031),01/04,06/06,70,95,Brake pads,Prime,P 54 023,,17mm,47mm,87mm,,,,,,,Lucas,Acoustic,"21861, 23549",D838 7713,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,FORFOUR (454),01/04,06/06,1.3 (454.031),01/04,06/06,70,95,Brake pads,Prime Ceramic,P54023N,,17mm,47mm,87mm,,,,,,,Lucas,Acoustic,"21861, 23549",D838 7713,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,FORFOUR (454),01/04,06/06,1.5 (454.032),01/04,06/06,80,109,Brake discs,Prime,09.9991.11,256mm,24mm,46mm,,4,Ventilated,69mm,"21,5mm",108Nm,2,,,,,,
SMART,FORFOUR (454),01/04,06/06,1.5 (454.032),01/04,06/06,80,109,Brake discs,Prime,08.A607.11,250mm,10mm,39mm,,4,Solid,69mm,8mm,108Nm,2,,,,,,
SMART,FORFOUR (454),01/04,06/06,1.5 (454.032),01/04,06/06,80,109,Brake pads,Prime,P 50 055,,17mm,73mm,130mm,,,,,,,Lucas,Acoustic,21920,D1494 8694,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,FORFOUR (454),01/04,06/06,1.5 (454.032),01/04,06/06,80,109,Brake pads,Prime,P 54 023,,17mm,47mm,87mm,,,,,,,Lucas,Acoustic,"21861, 23549",D838 7713,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,FORFOUR (454),01/04,06/06,1.5 (454.032),01/04,06/06,80,109,Brake pads,Prime Ceramic,P54023N,,17mm,47mm,87mm,,,,,,,Lucas,Acoustic,"21861, 23549",D838 7713,With accessoriesWith anti-squeal shimWith brake caliper bolts,
SMART,FORFOUR (454),01/04,06/06,1.5 BRABUS (454.034),05/05,06/06,130,177,Brake discs,Prime,08.A607.11,250mm,10mm,39mm,,4,Solid,69mm,8mm,108Nm,2,,,,,,
