brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
SSANGYONG,ACTYON I,11/05,>,2.3 4x4,11/06,>,110,150,Brake discs,Prime,09.B974.11,294mm,28mm,56mm,,5,Ventilated,85mm,"25,4mm",,2,,,,,,
SSANGYONG,ACTYON I,11/05,>,2.3 4x4,11/06,>,110,150,Brake discs,Prime,08.D568.11,299mm,"10,5mm",68mm,,5,Solid,85mm,"8,5mm",,2,,,,,,
SSANGYONG,ACTYON I,11/05,>,2.3 4x4,11/06,>,110,150,Brake pads,Prime,P 30 013,,17mm,58mm,149mm,,,,,,,Mando,Acoustic,"23569, 23570, 23571","D864 7739, D864 7792, D903 7781",With anti-squeal shim,
SSANGYONG,ACTYON I,11/05,>,2.3 4x4,11/06,>,110,150,Brake pads,Prime Ceramic,P30013N,,17mm,58mm,149mm,,,,,,,Mando,Acoustic,"23569, 23570, 23571","D864 7739, D864 7792, D903 7781",With anti-squeal shim,
SSANGYONG,ACTYON I,11/05,>,2.3 4x4,11/06,>,110,150,Brake pads,Prime,P 15 010,,15mm,44mm,99mm,,,,,,,Sangshin,Acoustic,"23673, 23674, 23675",,With anti-squeal shim,
SSANGYONG,ACTYON I,11/05,>,2.3 4x4,11/06,>,110,150,Brake pads,Prime Ceramic,P15010N,,15mm,44mm,99mm,,,,,,,Sangshin,Acoustic,"23673, 23674, 23675",,With anti-squeal shim,
SSANGYONG,ACTYON I,11/05,>,200 Xdi 4WD,10/06,>,104,141,Brake discs,Prime,09.B974.11,294mm,28mm,56mm,,5,Ventilated,85mm,"25,4mm",,2,,,,,,
SSANGYONG,ACTYON I,11/05,>,200 Xdi 4WD,10/06,>,104,141,Brake discs,Prime,08.D568.11,299mm,"10,5mm",68mm,,5,Solid,85mm,"8,5mm",,2,,,,,,
SSANGYONG,ACTYON I,11/05,>,200 Xdi 4WD,10/06,>,104,141,Brake pads,Prime,P 30 013,,17mm,58mm,149mm,,,,,,,Mando,Acoustic,"23569, 23570, 23571","D864 7739, D864 7792, D903 7781",With anti-squeal shim,
SSANGYONG,ACTYON I,11/05,>,200 Xdi 4WD,10/06,>,104,141,Brake pads,Prime Ceramic,P30013N,,17mm,58mm,149mm,,,,,,,Mando,Acoustic,"23569, 23570, 23571","D864 7739, D864 7792, D903 7781",With anti-squeal shim,
SSANGYONG,ACTYON I,11/05,>,200 Xdi 4WD,10/06,>,104,141,Brake pads,Prime,P 15 010,,15mm,44mm,99mm,,,,,,,Sangshin,Acoustic,"23673, 23674, 23675",,With anti-squeal shim,
