brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
TRIUMPH,2.5 PI MK I,01/68,12/75,2.5,01/68,12/75,99,134,Brake pads,Prime Ceramic,P24004N,,15mm,71mm,89mm,,,,,,,Lockheed,Without,"20364, 20365",D81 7014,With anti-squeal shim,
TRIUMPH,2.5 PI MK I,01/68,12/75,2.5,10/68,10/75,90,122,Brake pads,Prime Ceramic,P24004N,,15mm,71mm,89mm,,,,,,,Lockheed,Without,"20364, 20365",D81 7014,With anti-squeal shim,
TRIUMPH,2.5 PI MK I Estate,01/68,12/75,2.5,01/68,12/75,99,134,Brake pads,Prime Ceramic,P24004N,,15mm,71mm,89mm,,,,,,,Lockheed,Without,"20364, 20365",D81 7014,With anti-squeal shim,
TRIUMPH,2.5 PI MK I Estate,01/68,12/75,2.5,10/68,10/74,90,122,Brake pads,Prime Ceramic,P24004N,,15mm,71mm,89mm,,,,,,,Lockheed,Without,"20364, 20365",D81 7014,With anti-squeal shim,
TRIUMPH,2000 MK I,01/68,03/72,2.0,01/68,03/72,66,90,Brake pads,Prime Ceramic,P24004N,,15mm,71mm,89mm,,,,,,,Lockheed,Without,"20364, 20365",D81 7014,With anti-squeal shim,
TRIUMPH,2000 MK I Estate,01/68,12/75,2.0,01/68,12/75,66,90,Brake pads,Prime Ceramic,P24004N,,15mm,71mm,89mm,,,,,,,Lockheed,Without,"20364, 20365",D81 7014,With anti-squeal shim,
TRIUMPH,2000 MKII,03/72,12/77,2.0,03/72,04/75,65,88,Brake pads,Prime Ceramic,P24004N,,15mm,71mm,89mm,,,,,,,Lockheed,Without,"20364, 20365",D81 7014,With anti-squeal shim,
TRIUMPH,2000 MKII,03/72,12/77,2.0 TC,04/75,12/77,68,93,Brake pads,Prime Ceramic,P24004N,,15mm,71mm,89mm,,,,,,,Lockheed,Without,"20364, 20365",D81 7014,With anti-squeal shim,
TRIUMPH,2000 MKII Estate,03/72,12/75,2.0,03/72,12/75,66,91,Brake pads,Prime Ceramic,P24004N,,15mm,71mm,89mm,,,,,,,Lockheed,Without,"20364, 20365",D81 7014,With anti-squeal shim,
TRIUMPH,2000 MKII Estate,03/72,12/75,2.0 TC,03/72,12/75,68,92,Brake pads,Prime Ceramic,P24004N,,15mm,71mm,89mm,,,,,,,Lockheed,Without,"20364, 20365",D81 7014,With anti-squeal shim,
TRIUMPH,2500,05/74,12/77,S,04/75,12/77,79,108,Brake pads,Prime Ceramic,P24004N,,15mm,71mm,89mm,,,,,,,Lockheed,Without,"20364, 20365",D81 7014,With anti-squeal shim,
TRIUMPH,2500,05/74,12/77,TC,05/74,04/75,74,100,Brake pads,Prime Ceramic,P24004N,,15mm,71mm,89mm,,,,,,,Lockheed,Without,"20364, 20365",D81 7014,With anti-squeal shim,
TRIUMPH,2500 Estate,05/74,12/79,S,04/75,12/77,79,108,Brake pads,Prime Ceramic,P24004N,,15mm,71mm,89mm,,,,,,,Lockheed,Without,"20364, 20365",D81 7014,With anti-squeal shim,
TRIUMPH,2500 Estate,05/74,12/79,TC,05/74,04/75,74,100,Brake pads,Prime Ceramic,P24004N,,15mm,71mm,89mm,,,,,,,Lockheed,Without,"20364, 20365",D81 7014,With anti-squeal shim,
TRIUMPH,HERALD (1GET),01/61,12/71,1200,01/68,12/69,35,48,Brake discs,Prime,08.1581.10,232mm,"9,6mm",26mm,,4,Solid,67mm,"8,3mm",,2,,,,,,
