brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
VOLVO,"140 (142, 144)",08/66,08/75,1.8 S,07/67,01/72,74,101,Brake discs,Prime,08.1646.10,272mm,"12,7mm",69mm,,5,Solid,68mm,"11,4mm",,2,,,,,,
VOLVO,"140 (142, 144)",08/66,08/75,2.0,08/68,07/74,60,82,Brake discs,Prime,08.1646.10,272mm,"12,7mm",69mm,,5,Solid,68mm,"11,4mm",,2,,,,,,
VOLVO,"140 (142, 144)",08/66,08/75,2.0,09/70,04/75,91,124,Brake discs,Prime,08.1646.10,272mm,"12,7mm",69mm,,5,Solid,68mm,"11,4mm",,2,,,,,,
VOLVO,"140 (142, 144)",08/66,08/75,2.0,08/71,07/72,70,95,Brake discs,Prime,08.1646.10,272mm,"12,7mm",69mm,,5,Solid,68mm,"11,4mm",,2,,,,,,
VOLVO,"140 (142, 144)",08/66,08/75,2.0 S,11/68,09/72,74,101,Brake discs,Prime,08.1646.10,272mm,"12,7mm",69mm,,5,Solid,68mm,"11,4mm",,2,,,,,,
VOLVO,"140 (142, 144)",08/66,08/75,2.0 S,09/72,08/75,85,116,Brake discs,Prime,08.1646.10,272mm,"12,7mm",69mm,,5,Solid,68mm,"11,4mm",,2,,,,,,
VOLVO,140 Estate (145),08/66,02/75,1.8 S,08/66,07/68,55,75,Brake discs,Prime,08.1646.10,272mm,"12,7mm",69mm,,5,Solid,68mm,"11,4mm",,2,,,,,,
VOLVO,140 Estate (145),08/66,02/75,1.8 S,08/66,07/68,74,101,Brake discs,Prime,08.1646.10,272mm,"12,7mm",69mm,,5,Solid,68mm,"11,4mm",,2,,,,,,
VOLVO,140 Estate (145),08/66,02/75,2.0 S,08/72,07/74,70,95,Brake discs,Prime,08.1646.10,272mm,"12,7mm",69mm,,5,Solid,68mm,"11,4mm",,2,,,,,,
VOLVO,164 (164),08/68,04/75,2.9,08/72,07/74,118,160,Brake discs,Prime,08.1646.10,272mm,"12,7mm",69mm,,5,Solid,68mm,"11,4mm",,2,,,,,,
VOLVO,164 (164),08/68,04/75,2.9,08/72,07/74,118,160,Brake discs,Prime,08.2473.10,272mm,"14,3mm",71mm,,5,Solid,68mm,"13,1mm",,2,,,,,,
VOLVO,164 (164),08/68,04/75,2.9,08/72,07/74,118,160,Brake discs,Prime,09.2716.10,273mm,24mm,63mm,,5,Ventilated,68mm,"22,8mm",,2,,,,,,
VOLVO,164 (164),08/68,04/75,2.9 E,08/68,07/73,96,131,Brake discs,Prime,08.1646.10,272mm,"12,7mm",69mm,,5,Solid,68mm,"11,4mm",,2,,,,,,
VOLVO,164 (164),08/68,04/75,2.9 E,08/68,07/73,96,131,Brake discs,Prime,08.2473.10,272mm,"14,3mm",71mm,,5,Solid,68mm,"13,1mm",,2,,,,,,
VOLVO,164 (164),08/68,04/75,2.9 E,08/68,07/73,96,131,Brake discs,Prime,09.2716.10,273mm,24mm,63mm,,5,Ventilated,68mm,"22,8mm",,2,,,,,,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/76,07/79,66,90,Brake discs,Prime,09.3442.10,263mm,24mm,64mm,,5,Ventilated,68mm,"22,8mm",110Nm,2,,,,,,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/76,07/79,66,90,Brake discs,Prime,08.3441.24,281mm,"9,6mm",73mm,,5,Solid,68mm,"8,4mm",110Nm,2,,,,,,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/76,07/79,66,90,Brake pads,Prime,P 86 003,,16mm,60mm,98mm,,,,,,,Lucas,Without,20153,D43 7254,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/76,07/79,66,90,Brake pads,Prime Ceramic,P86003N,,16mm,60mm,98mm,,,,,,,Lucas,Without,20153,D43 7254,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/76,07/79,66,90,Brake pads,Prime,P 86 002,,15mm,56mm,61mm,,,,,,,Teves,Without,20755,D861 7736,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/76,07/79,66,90,Brake pads,Prime Ceramic,P86002N,,15mm,56mm,61mm,,,,,,,Teves,Without,20755,D861 7736,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,09/78,08/83,71,97,Brake discs,Prime,09.3442.10,263mm,24mm,64mm,,5,Ventilated,68mm,"22,8mm",110Nm,2,,,,,,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,09/78,08/83,71,97,Brake discs,Prime,08.3441.24,281mm,"9,6mm",73mm,,5,Solid,68mm,"8,4mm",110Nm,2,,,,,,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,09/78,08/83,71,97,Brake pads,Prime,P 86 003,,16mm,60mm,98mm,,,,,,,Lucas,Without,20153,D43 7254,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,09/78,08/83,71,97,Brake pads,Prime Ceramic,P86003N,,16mm,60mm,98mm,,,,,,,Lucas,Without,20153,D43 7254,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,09/78,08/83,71,97,Brake pads,Prime,P 86 002,,15mm,56mm,61mm,,,,,,,Teves,Without,20755,D861 7736,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,09/78,08/83,71,97,Brake pads,Prime Ceramic,P86002N,,15mm,56mm,61mm,,,,,,,Teves,Without,20755,D861 7736,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/74,07/76,60,82,Brake discs,Prime,09.3442.10,263mm,24mm,64mm,,5,Ventilated,68mm,"22,8mm",110Nm,2,,,,,,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/74,07/76,60,82,Brake discs,Prime,08.3441.24,281mm,"9,6mm",73mm,,5,Solid,68mm,"8,4mm",110Nm,2,,,,,,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/74,07/76,60,82,Brake pads,Prime,P 86 003,,16mm,60mm,98mm,,,,,,,Lucas,Without,20153,D43 7254,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/74,07/76,60,82,Brake pads,Prime Ceramic,P86003N,,16mm,60mm,98mm,,,,,,,Lucas,Without,20153,D43 7254,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/74,07/76,60,82,Brake pads,Prime,P 86 002,,15mm,56mm,61mm,,,,,,,Teves,Without,20755,D861 7736,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/74,07/76,60,82,Brake pads,Prime Ceramic,P86002N,,15mm,56mm,61mm,,,,,,,Teves,Without,20755,D861 7736,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/84,07/85,76,103,Brake discs,Prime,09.3442.10,263mm,24mm,64mm,,5,Ventilated,68mm,"22,8mm",110Nm,2,,,,,,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/84,07/85,76,103,Brake discs,Prime,08.3441.24,281mm,"9,6mm",73mm,,5,Solid,68mm,"8,4mm",110Nm,2,,,,,,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/84,07/85,76,103,Brake pads,Prime,P 86 003,,16mm,60mm,98mm,,,,,,,Lucas,Without,20153,D43 7254,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/84,07/85,76,103,Brake pads,Prime Ceramic,P86003N,,16mm,60mm,98mm,,,,,,,Lucas,Without,20153,D43 7254,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/84,07/85,76,103,Brake pads,Prime,P 86 002,,15mm,56mm,61mm,,,,,,,Teves,Without,20755,D861 7736,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,08/84,07/85,76,103,Brake pads,Prime Ceramic,P86002N,,15mm,56mm,61mm,,,,,,,Teves,Without,20755,D861 7736,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,10/82,08/84,100,136,Brake discs,Prime,09.3442.10,263mm,24mm,64mm,,5,Ventilated,68mm,"22,8mm",110Nm,2,,,,,,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,10/82,08/84,100,136,Brake discs,Prime,08.3441.24,281mm,"9,6mm",73mm,,5,Solid,68mm,"8,4mm",110Nm,2,,,,,,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,10/82,08/84,100,136,Brake pads,Prime,P 86 003,,16mm,60mm,98mm,,,,,,,Lucas,Without,20153,D43 7254,With anti-squeal shim,
VOLVO,"240 (P242, P244)",08/74,12/93,2.0,10/82,08/84,100,136,Brake pads,Prime Ceramic,P86003N,,16mm,60mm,98mm,,,,,,,Lucas,Without,20153,D43 7254,With anti-squeal shim,
