brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
VW,"1500,1600 (31)",04/61,12/73,1.5,04/61,07/73,33,45,Brake discs,Prime,08.2691.10,278mm,"9,5mm",84mm,,4,Solid,40mm,8mm,,2,,,,,,
VW,"1500,1600 (31)",04/61,12/73,1.5,04/61,07/73,33,45,Brake pads,Prime Ceramic,P06001N,,15mm,53mm,56mm,,,,,,,Teves,Without,20009,"D2 7199, D21 755, D30 7200, D30 735, D322 7221",With anti-squeal shim,
VW,"1500,1600 (31)",04/61,12/73,1.5 S,08/63,07/65,40,54,Brake discs,Prime,08.2691.10,278mm,"9,5mm",84mm,,4,Solid,40mm,8mm,,2,,,,,,
VW,"1500,1600 (31)",04/61,12/73,1.5 S,08/63,07/65,40,54,Brake pads,Prime Ceramic,P06001N,,15mm,53mm,56mm,,,,,,,Teves,Without,20009,"D2 7199, D21 755, D30 7200, D30 735, D322 7221",With anti-squeal shim,
VW,"1500,1600 (31)",04/61,12/73,1.6,08/65,07/73,40,54,Brake discs,Prime,08.2691.10,278mm,"9,5mm",84mm,,4,Solid,40mm,8mm,,2,,,,,,
VW,"1500,1600 (31)",04/61,12/73,1.6,08/65,07/73,40,54,Brake pads,Prime Ceramic,P06001N,,15mm,53mm,56mm,,,,,,,Teves,Without,20009,"D2 7199, D21 755, D30 7200, D30 735, D322 7221",With anti-squeal shim,
VW,"1500,1600 (31)",04/61,12/73,1.6 L,07/64,07/73,37,50,Brake discs,Prime,08.2691.10,278mm,"9,5mm",84mm,,4,Solid,40mm,8mm,,2,,,,,,
VW,"1500,1600 (31)",04/61,12/73,1.6 L,07/64,07/73,37,50,Brake pads,Prime Ceramic,P06001N,,15mm,53mm,56mm,,,,,,,Teves,Without,20009,"D2 7199, D21 755, D30 7200, D30 735, D322 7221",With anti-squeal shim,
VW,"1500,1600 (31)",04/61,12/73,1.6 TL,08/65,07/73,40,54,Brake discs,Prime,08.2691.10,278mm,"9,5mm",84mm,,4,Solid,40mm,8mm,,2,,,,,,
VW,"1500,1600 (31)",04/61,12/73,1.6 TL,08/65,07/73,40,54,Brake pads,Prime Ceramic,P06001N,,15mm,53mm,56mm,,,,,,,Teves,Without,20009,"D2 7199, D21 755, D30 7200, D30 735, D322 7221",With anti-squeal shim,
VW,"1500,1600 Hatchback (31)",08/65,03/75,1.5 L,07/68,07/73,33,45,Brake discs,Prime,08.2691.10,278mm,"9,5mm",84mm,,4,Solid,40mm,8mm,,2,,,,,,
VW,"1500,1600 Hatchback (31)",08/65,03/75,1.5 L,07/68,07/73,33,45,Brake pads,Prime Ceramic,P06001N,,15mm,53mm,56mm,,,,,,,Teves,Without,20009,"D2 7199, D21 755, D30 7200, D30 735, D322 7221",With anti-squeal shim,
VW,"1500,1600 Hatchback (31)",08/65,03/75,1.6 TL,08/65,07/73,40,54,Brake discs,Prime,08.2691.10,278mm,"9,5mm",84mm,,4,Solid,40mm,8mm,,2,,,,,,
VW,"1500,1600 Hatchback (31)",08/65,03/75,1.6 TL,08/65,07/73,40,54,Brake pads,Prime Ceramic,P06001N,,15mm,53mm,56mm,,,,,,,Teves,Without,20009,"D2 7199, D21 755, D30 7200, D30 735, D322 7221",With anti-squeal shim,
VW,"1500,1600 Variant (36)",04/61,07/73,1.5,04/61,07/73,33,45,Brake discs,Prime,08.2691.10,278mm,"9,5mm",84mm,,4,Solid,40mm,8mm,,2,,,,,,
VW,"1500,1600 Variant (36)",04/61,07/73,1.5,04/61,07/73,33,45,Brake pads,Prime Ceramic,P06001N,,15mm,53mm,56mm,,,,,,,Teves,Without,20009,"D2 7199, D21 755, D30 7200, D30 735, D322 7221",With anti-squeal shim,
VW,"1500,1600 Variant (36)",04/61,07/73,1.5 S,08/63,07/65,40,54,Brake discs,Prime,08.2691.10,278mm,"9,5mm",84mm,,4,Solid,40mm,8mm,,2,,,,,,
VW,"1500,1600 Variant (36)",04/61,07/73,1.5 S,08/63,07/65,40,54,Brake pads,Prime Ceramic,P06001N,,15mm,53mm,56mm,,,,,,,Teves,Without,20009,"D2 7199, D21 755, D30 7200, D30 735, D322 7221",With anti-squeal shim,
VW,"1500,1600 Variant (36)",04/61,07/73,1.6 L,08/65,07/73,40,54,Brake discs,Prime,08.2691.10,278mm,"9,5mm",84mm,,4,Solid,40mm,8mm,,2,,,,,,
VW,"1500,1600 Variant (36)",04/61,07/73,1.6 L,08/65,07/73,40,54,Brake pads,Prime Ceramic,P06001N,,15mm,53mm,56mm,,,,,,,Teves,Without,20009,"D2 7199, D21 755, D30 7200, D30 735, D322 7221",With anti-squeal shim,
VW,"AMAROK (2HA, 2HB, S1B, S6B, S7A, S7B)",09/10,>,2.0 BiTDI,09/10,08/12,120,163,Brake discs,Prime,09.B973.11,303mm,28mm,57mm,,5,Ventilated,76mm,26mm,,1,,,,,,
VW,"AMAROK (2HA, 2HB, S1B, S6B, S7A, S7B)",09/10,>,2.0 BiTDI,09/10,08/12,120,163,Brake pads,Prime,P 85 173,,19mm,76mm,164mm,,,,,,,CBI,Prepared for wear indicator,22644,D2196 9437,With accessoriesWith anti-squeal shimWith brake caliper bolts,
VW,"AMAROK (2HA, 2HB, S1B, S6B, S7A, S7B)",09/10,>,2.0 BiTDI,09/10,08/12,120,163,Brake pads,Prime Ceramic,P85173N,,19mm,76mm,164mm,,,,,,,CBI,Prepared for wear indicator,22644,D2196 9437,With accessoriesWith anti-squeal shimWith brake caliper bolts,
VW,"AMAROK (2HA, 2HB, S1B, S6B, S7A, S7B)",09/10,>,2.0 BiTDI,09/10,08/12,120,163,Brake pads,Prime,P 85 115,,19mm,67mm,165mm,,,,,,,Bosch,Without,24484,D1555 8767,With accessoriesWith anti-squeal shimWith brake caliper bolts,
VW,"AMAROK (2HA, 2HB, S1B, S6B, S7A, S7B)",09/10,>,2.0 BiTDI,09/10,08/12,120,163,Brake pads,Prime Ceramic,P85115N,,19mm,67mm,165mm,,,,,,,Bosch,Without,24484,D1555 8767,With accessoriesWith anti-squeal shimWith brake caliper bolts,
