Manufacturer,Model,Series,Engine,Cylinders,Capacity,Fuel_Type,Fuel_Air_Intake,Year,4WD_Filter_Kit,Filter_Guard_Kit,_skip_reason
FORD,PE,G6E,FORD,4,,,MPFI,1991-1996,K-17020,,Model looks like engine code
FORD,,,,,,P,MPFI,1996-1999,K-17030,,No model
FORD,,,,,2.6,P,MPFI,1999-2002,K-17030,,No model
FORD,,,,4,2.5,D,TURBO DIESEL,05/00-2002,K-19010,,No model
FORD,WL,,,4,2.5,D,TURBO DIESEL,05/00-2002,K-19020,,Model looks like engine code
FORD,PG,G6E,,4,2.6,P,MPFI,2002-2004,K-17030,,Model looks like engine code
FORD,COURIER,PG,WL,4,2.5,D,TURBO DIESEL,2002-2004,K-19010,,Model looks like engine code
FORD,COURIER,PG,WL,4,2.5,D,TURBO DIESEL,2002-2004,K-19020,,Model looks like engine code
FORD,COURIER,PH,G6E,4,2.6,P,MPFI,2005-2006,K-17030,,Model looks like engine code
FORD,COURIER,PH,WL,4,2.5,D,TURBO DIESEL,2004-2006,K-19010,,Model looks like engine code
FORD,COURIER,PH,WL,4,2.5,D,TURBO DIESEL,2004-2006,K-19020,,Model looks like engine code
FORD,COURIER,PH,WL,4,2.5,D,TURBO DIESEL,2005-2006,K-19020,,Model looks like engine code
FORD,EVEREST,UA,P5AT,5,3.2,D,TURBO DIESEL,,K-17010,FG-1002,No valid year range
FORD,FG-1002,FG-1002,FORD,5,3.2,D,TURBO DIESEL,,K-50170,,No valid year range
FORD,FORD,EVEREST,UA,4,2.0,D,PANEL AIR FILTER,,K-19030,,No valid year range
FORD,RAIDER,UV,G6,4,2.6,P,MPFI,1991-1995,K-17020,,Model looks like engine code
FORD,RANGER,PJ,WL-AT,4,2.5,D,MPFI,,K-11100,,No valid year range
FORD,RANGER,PJ,WE-AT,4,3.0,D,MPFI,,K-11100,,No valid year range
FORD,RANGER,PK,WL-AT,4,2.5,D,MPFI,,K-11100,,No valid year range
FORD,RANGER,PK,WE-AT,4,3.0,D,MPFI,,K-11100,,No valid year range
FORD,RANGER,PX,P4AT,4,2.2,D,DI,,K-17010,FG-1002,No valid year range
FORD,FG-1002,FORD,RANGER,5,3.2,D,DI,,K-17010,FG-1002,No valid year range
FORD,FG-1002,FORD,RANGER,5,3.2,D,DI,,K-50170,FG-1002,No valid year range
FORD,FG-1002,FORD,RANGER,4,2.0,D,PANEL AIR FILTER,,K-19030,,No valid year range
HOLDEN,CVRC,HOLDEN,COLORADO,4,2.2,D,DIESEL INJ,2014-2020,K-15131,,Model looks like engine code
HOLDEN,COLORADO,RC,HFV6 (LCA),6,3.6,P,MPFI,,K-23020,,No valid year range
HOLDEN,COLORADO,RG,LVN,4,2.5,D,DI,,K-65010,,No valid year range
HOLDEN,COLORADO,RG,LWH,4,2.8,D,DI,,K-65010,FG-1001,No valid year range
HOLDEN,FG-1001,HOLDEN,COLORADO 7,4,2.8,D,DI,,K-65010,FG-1001,No valid year range
HOLDEN,FG-1001,HOLDEN,RODEO,4,3.0,D,TURBO DIESEL,2003-2008,K-15250,,Model looks like engine code
HOLDEN,1,,,,,,,,K-19040,,No valid year range
HOLDEN,,,,,,,CARTRIDGE OIL FILTER,,K-19040,,No valid year range
HOLDEN,,,,,,,CARTRIDGE OIL FILTER,,K-19040,,No valid year range
HOLDEN,,,,,,,CARTRIDGE OIL FILTER,,K-19040,,No valid year range
HOLDEN,,,,,,,CARTRIDGE OIL FILTER,,K-19050,,No valid year range
HOLDEN,,,,,,,SPIN-ON OIL FILTER,,K-19050,,No valid year range
HOLDEN,,,,,,,SPIN-ON OIL FILTER,,K-19050,,No valid year range
HOLDEN,,,,,,,SPIN-ON OIL FILTER,,K-19050,,No valid year range
ISUZU,RG,LWN,HYUNDAI,4,,,MPFI,2003-2005,K-23010,,Model looks like engine code
ISUZU,,,,,,P,MPFI,2006-2008,K-23020,,No model
ISUZU,10/2016-ON,,,,2.8,D,CRD TURBO,,K-65030,,No valid year range
ISUZU,,,,4,2.5,D,CRD TURBO,2008-ON,K-28010,,No model
ISUZU,G4KG,,,4,2.4,P,MPFI,2008-ON,K-28020,,Model looks like engine code
ISUZU,TF,4JJ1,10/2008-05/2012,4,3.0,D,DI,,K-15131,,No valid year range
ISUZU,D-MAX,TF,4JJ1-TC,4,3.0,D,DI,,K-15310,FG-1003,No valid year range
ISUZU,FG-1003,ISUZU,D-MAX,4,3.0,D,DI,,K-15310,FG-1003,No valid year range
ISUZU,FG-1003,ISUZU,D-MAX,4,3.0,D,CRD TURBO,,K-15350,,No valid year range
ISUZU,D-MAX,TFS,4JJ3-TCX,4,3.0,D,CRD TURBO,,K-15350,,No valid year range
ISUZU,MU-X,UC,4JJ1,4,3.0,D,DI,,K-15310,FG-1003,No valid year range
ISUZU,FG-1003,ISUZU,MU-X,4,3.0,D,DI,,K-15310,FG-1003,No valid year range
ISUZU,FG-1003,ISUZU,MU-X,4,3.0,D,CRD TURBO,,K-15350,,No valid year range
ISUZU,MU-X,UCS,4JJ3-TCX,4,3.0,D,CRD TURBO,,K-15350,,No valid year range
ISUZU,SC28R150,Q5,10/2017-ON,4,2.8,D,CRD,1998-2007,K-11230,FG-1001,Model looks like engine code
MAZDA,FG-1001,LDV,T60,4,2.5,D,TURBO DIESEL,2000-2006,K-19010,,Model looks like engine code
MAZDA,B2500,WL,,4,2.5,D,TURBO DIESEL,2000-2006,K-19020,,Model looks like engine code
MAZDA,B2600,,,4,2.6,P,G6 EFI,1991-1999,K-17020,,Model looks like engine code
MAZDA,B2600,G6,,4,2.6,P,,1999-2006,K-17030,,Model looks like engine code
MAZDA,BRAVO,B2500,WL-T,4,2.5,D,TURBO DIESEL,1999-2006,K-19010,,Model looks like engine code
MAZDA,BRAVO,B2500,WL-T,4,2.5,D,TURBO DIESEL,1999-2006,K-19020,,Model looks like engine code
MAZDA,BRAVO,B2600,G6E,4,2.6,P,MPFI,1992-1999,K-17020,,Model looks like engine code
MAZDA,BRAVO,B2600,G6E,4,2.6,P,MPFI,1996-1999,K-17020,,Model looks like engine code
MAZDA,BRAVO,B2600,G6E,4,2.6,P,MPFI,1999-2006,K-17030,,Model looks like engine code
MAZDA,BRAVO,B2600,G6E,4,2.6,P,MPFI,1999-2006,K-17030,,Model looks like engine code
MAZDA,BT-50,B2500,WLAT,4,2.5,D,TURBO DIESEL,2006-2009,K-11100,,Model looks like engine code
MAZDA,BT-50,B2500 BOSS,WLAT,4,2.5,D,TURBO DIESEL,2009-2011,K-11100,,Model looks like engine code
MAZDA,BT-50,B3000,WEAT,4,3.0,D,TURBO DIESEL,2006-2009,K-11100,,Model looks like engine code
